gen,best,mean,std
0,33.783393898915136,12.28153784764165,5.509765977965096
1,33.783393898915136,17.597222295592683,5.987627720828844
2,34.179917069647644,30.221079268960533,3.998400696185721
3,38.738508315678956,33.67285800457406,0.8053153511992072
4,38.738508315678956,34.07413911497581,1.1822509196275364
5,53.24109822612272,35.027239049082354,2.721286880455689
6,61.28957298262513,38.988627448889524,6.7182993262974575
7,61.28957298262513,44.153455170024344,7.215752450646941
8,61.28957298262513,49.01713975843069,5.764521998171837
9,61.28957298262513,51.65053998066159,3.3772342554607038
10,61.28957298262513,52.9481324767986,2.9444817084963923
11,61.28957298262513,53.691982131734655,2.5839576017127808
12,63.379599134282856,55.094947929096186,2.7529907449102664
13,63.379599134282856,55.66550224419584,2.6955971689763456
14,63.37959913428285,56.35145241360387,2.6340771190840284
