gen,best,mean,std,best_log,mean_log,std_log
0,88.84090461150807,19.95461221024936,20.47607186722578,88.84090461150807,19.95461221024936,20.47607186722578
1,88.84090461150807,34.03500351177493,21.577655638888725,88.84090461150807,34.03500351177493,21.577655638888725
2,89.44090461150806,42.93530705106179,21.926571337477007,89.44090461150806,42.93530705106179,21.926571337477007
3,89.64090461150806,50.88662333913368,21.54450709551905,89.64090461150806,50.88662333913368,21.54450709551905
4,91.73157441175589,55.58225181445886,20.82913492176884,91.73157441175589,55.58225181445886,20.82913492176884
5,91.73157441175589,60.13222276744333,19.236430322208665,91.73157441175589,60.13222276744333,19.236430322208665
6,91.73157441175589,61.76033977153338,18.93391399201578,91.73157441175589,61.76033977153338,18.93391399201578
7,91.73157441175589,62.60059352566664,17.785321717570646,91.73157441175589,62.60059352566664,17.785321717570646
8,91.75974528872258,61.76296300196087,18.549747694148465,91.75974528872258,61.76296300196087,18.549747694148465
9,91.75974528872258,64.99242071578688,17.143753437886367,91.75974528872258,64.99242071578688,17.143753437886367
10,91.75974528872258,64.49323168242454,19.28740807947541,91.75974528872258,64.49323168242454,19.28740807947541
11,91.75974528872258,65.68887055973661,16.48257913532356,91.75974528872258,65.68887055973661,16.48257913532356
12,91.75974528872258,67.07376905260219,16.857068486957992,91.75974528872258,67.07376905260219,16.857068486957992
13,91.75974528872258,67.47507304999094,20.225003677659764,91.75974528872258,67.47507304999094,20.225003677659764
14,91.76451856747524,69.63414433635471,19.778621968274543,91.76451856747524,69.63414433635471,19.778621968274543
15,91.76451856747524,69.76330368290922,18.202002687097995,91.76451856747524,69.76330368290922,18.202002687097995
16,91.76451856747524,69.3423656972835,17.292568966640673,91.76451856747524,69.3423656972835,17.292568966640673
17,91.76451856747524,71.3280678582652,17.210120467620833,91.76451856747524,71.3280678582652,17.210120467620833
18,91.76451856747524,67.34697257870026,18.58683496128509,91.76451856747524,67.34697257870026,18.58683496128509
19,91.76451856747524,68.78348432902321,18.00709046170399,91.76451856747524,68.78348432902321,18.00709046170399
20,91.96451856747524,68.74549872699832,19.59819042869525,91.96451856747524,68.74549872699832,19.59819042869525
21,91.96451856747524,70.79843560911259,16.828430554038135,91.96451856747524,70.79843560911259,16.828430554038135
22,91.96451856747524,70.36052168834672,18.37960521134418,91.96451856747524,70.36052168834672,18.37960521134418
23,91.96451856747524,71.92150633518821,16.84598401516772,91.96451856747524,71.92150633518821,16.84598401516772
24,91.96451856747524,72.36419453585918,18.250399021471136,91.96451856747524,72.36419453585918,18.250399021471136
25,92.36451856747524,71.04987996797232,17.687011463982845,92.36451856747524,71.04987996797232,17.687011463982845
26,92.36451856747524,73.10864801778743,14.634818340788202,92.36451856747524,73.10864801778743,14.634818340788202
27,92.56451856747525,70.74122114726771,16.209541302623432,92.56451856747525,70.74122114726771,16.209541302623432
28,92.56451856747525,71.74428724011031,15.89808642742985,92.56451856747525,71.74428724011031,15.89808642742985
29,92.56451856747523,71.49249992638818,17.3455653178787,92.56451856747523,71.49249992638818,17.3455653178787
