gen,best,mean,std,best_log,mean_log,std_log
0,75.6917323025988,26.80233119293147,31.653704513505712,75.6917323025988,26.80233119293147,31.653704513505712
1,75.6917323025988,53.74837623090583,23.994636638818434,75.6917323025988,53.74837623090583,23.994636638818434
2,75.6917323025988,63.154260782721856,14.961175021454377,75.6917323025988,63.154260782721856,14.961175021454377
3,89.53173230259883,67.15549182676962,10.384593113821325,89.53173230259883,67.15549182676962,10.384593113821325
4,89.53173230259883,69.74936251438093,7.85471098536594,89.53173230259883,69.74936251438093,7.85471098536594
5,89.53173230259883,70.58195160131258,9.822193200365824,89.53173230259883,70.58195160131258,9.822193200365824
6,89.53173230259883,73.48940576446213,8.52368590886214,89.53173230259883,73.48940576446213,8.52368590886214
7,89.53173230259883,74.21520334104446,6.748127615162856,89.53173230259883,74.21520334104446,6.748127615162856
8,89.53173230259883,71.83348241573007,14.562789347428549,89.53173230259883,71.83348241573007,14.562789347428549
9,94.08936470590376,74.28651639747699,10.225720108989137,94.08936470590376,74.28651639747699,10.225720108989137
10,94.08936470590376,76.18994040302454,6.858472823253311,94.08936470590376,76.18994040302454,6.858472823253311
11,94.08936470590376,74.97123539807494,10.138956484264725,94.08936470590376,74.97123539807494,10.138956484264725
12,94.08936470590376,73.08227011193803,15.134746308555004,94.08936470590376,73.08227011193803,15.134746308555004
13,94.08936470590376,75.69423749885385,10.818374960990422,94.08936470590376,75.69423749885385,10.818374960990422
14,94.08936470590376,76.9761112203507,12.141776217463573,94.08936470590376,76.9761112203507,12.141776217463573
15,94.18001907417188,78.14777696824753,11.558152676321296,94.18001907417188,78.14777696824753,11.558152676321296
16,94.18001907417188,78.21959264346255,14.7203539229163,94.18001907417188,78.21959264346255,14.7203539229163
17,94.18001907417188,81.14243387924553,7.3882347267440736,94.18001907417188,81.14243387924553,7.3882347267440736
18,94.18001907417188,80.35711215613584,10.154755697534826,94.18001907417188,80.35711215613584,10.154755697534826
19,94.18001907417188,80.45737035543385,12.723787688243528,94.18001907417188,80.45737035543385,12.723787688243528
20,94.18001907417188,81.97240252775508,9.392788680205165,94.18001907417188,81.97240252775508,9.392788680205165
21,94.18001907417188,82.8504415186908,8.163255469837909,94.18001907417188,82.8504415186908,8.163255469837909
22,94.18001907417188,83.58374554601792,11.376100354718512,94.18001907417188,83.58374554601792,11.376100354718512
23,94.18001907417188,84.86087434535402,10.533934762969055,94.18001907417188,84.86087434535402,10.533934762969055
24,94.18001907417188,84.77114739276261,10.39882214345992,94.18001907417188,84.77114739276261,10.39882214345992
25,94.18001907417188,85.18066015882373,8.934670959342931,94.18001907417188,85.18066015882373,8.934670959342931
26,94.18001907417188,85.1580554461222,8.935268118227949,94.18001907417188,85.1580554461222,8.935268118227949
27,94.18001907417188,85.16880093401198,9.51011302188592,94.18001907417188,85.16880093401198,9.51011302188592
28,94.18001907417188,84.41420503185455,13.771449762534209,94.18001907417188,84.41420503185455,13.771449762534209
29,94.18001907417188,86.59441094678766,8.26505936999485,94.18001907417188,86.59441094678766,8.26505936999485
