gen,best,mean,std,best_log,mean_log,std_log
0,45.58878161558049,2.9056852181571555,9.720106117354725,83.2694498414656,9.571479209367414,17.54103348083695
1,45.58878161558049,9.22852176708492,10.447097131315628,83.2694498414656,21.01242830927489,18.68612147642597
2,45.58878161558049,14.217602939039397,10.092753619062776,83.2694498414656,30.057928791199824,18.05394086736144
3,64.40410677890262,17.658289311733572,12.570526350557843,87.2049356227129,35.283103464117715,19.754471709105783
4,65.46943684659085,21.57913977054089,14.533653070762032,87.31016122184879,41.27388916631162,21.28409538592588
5,65.46943684659085,26.56322323489478,16.043821100861713,87.31016122184879,49.23333594992887,23.575220719964864
6,65.46943684659085,29.82680303202645,16.035802515775977,87.31016122184879,54.26444831579005,22.89002831655573
7,65.46943684659085,34.44131843453934,16.063977381889558,87.31016122184879,61.20828170961045,22.55045805656091
8,65.46943684659085,36.30516779431552,15.690657171234124,87.31016122184879,64.26549425023636,22.10215314909364
9,65.46943684659085,36.65922761258616,17.707471719094013,87.31016122184879,63.46516996606114,25.11276150270197
10,65.46943684659085,36.834822020081525,17.309610471265096,87.31016122184879,64.1726647381292,23.77038116026375
11,65.46943684659085,38.28850596112336,16.983494695915663,87.31016122184879,66.09505872368321,23.25050184620056
12,65.76871299567253,37.560733308626,16.801138613333446,87.36943684659073,65.54249630348231,23.657798669200545
13,65.76871299567253,39.38565546424893,15.369901856534044,87.36943684659073,68.64328330688487,21.05893513275272
14,65.76871299567253,42.03149520115848,15.400195137109256,87.36943684659073,71.40992171102194,20.224090037318888
15,65.76871299567253,42.4683593910441,16.201939948432912,87.36943684659073,71.51081613644223,21.355504316496653
16,65.76871299567253,41.17199210219246,17.15538884888477,87.36943684659073,69.75047414146701,23.361719362150648
17,65.76871299567253,38.33311040922278,17.637176529508537,87.36943684659073,66.33405201356675,24.811748471466363
18,66.36871299567254,41.6934876082596,16.127142037487506,87.48943684659073,70.6327203065619,21.0289298188742
19,66.36871299567254,41.66096111491115,17.4795724016097,87.48943684659073,69.46106767417257,23.27618973403491
20,66.36871299567254,42.68435016129487,17.40991694121237,87.48943684659073,70.70688890882717,23.44792740120016
21,66.36871299567254,40.4792964642356,17.276180551237175,87.48943684659073,68.41779351670606,23.22662255617563
22,66.36871299567254,42.41829412929218,15.706370962621758,87.48943684659073,71.81434468430596,20.87443428956633
23,66.36871299567254,42.71798395061667,14.378073109131527,87.48943684659073,72.89399014383216,18.41618858264852
24,66.36871299567254,41.50144963845419,14.790519445661664,87.48943684659073,71.37265328648832,19.58993145536293
25,66.36871299567254,42.45718072249295,14.737178881223484,87.48943684659073,72.3708143133114,19.459477689285368
26,70.58427655136884,42.04584311199946,15.44807028302036,88.58526910728146,71.66347923496254,20.83309018123408
27,70.58427655136884,44.30165425588038,13.8098683865075,88.58526910728146,74.89287130742896,18.009315273506793
28,70.58427655136884,43.93781719823995,13.52170506861408,88.58526910728146,74.57784871036085,17.95950126644882
29,70.58427655136884,42.25767598633675,15.323665395446314,88.58526910728146,71.7817007896717,20.54695350983663
