gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,92.73214184093668,27.66822008870181,37.42562787317837,-5.796057750765372,92.00393631248131,84.72700044143625,17.304498047904723,29.22260475042915,-5.799092654460526,80.11738865363274
1,92.73214184093668,63.46816702384351,28.19197713723564,11.971839652972092,92.69061166337202,84.72700044143625,43.072000968239344,27.24378264208933,3.9694282581654647,84.72700044143625
2,93.36304739758636,74.82016488414114,22.441099852631424,21.26984395937296,92.69061166337202,86.95657488308075,52.16753444030704,23.5483935324715,9.266602318636837,84.72700044143625
3,93.36304739758636,81.3680822432694,15.362989576128417,48.20394224923463,92.73214184093668,86.95657488308075,59.52325616870766,20.88986697885142,24.20090734553948,85.48657125383502
4,93.40956741322128,83.6788538648655,14.192489444391745,48.20394224923463,92.73533743359258,87.00278772623588,62.92184519549365,19.915226678761822,24.20090734553948,85.48657125383502
5,93.40956741322128,87.1638710245659,9.748900600941823,74.21915813678298,92.7971618318372,87.00278772623588,67.39070487801415,16.85743551617889,38.41726459394233,85.48657125383502
6,93.40956741322128,86.31494148857239,12.668000140052808,66.25800547431324,92.7971618318372,87.00278772623588,67.2859316556869,18.315095477716685,34.254802102512656,85.48657125383502
7,93.40956741322128,88.03708009890919,10.047551921930893,75.23040983463396,93.00925543197091,87.00278772623588,70.14389196780834,16.40477544050523,39.227266986702965,85.54859271321509
8,93.40956741322128,86.99785700208002,11.75150594477699,57.20394224923463,92.91107669554536,87.00278772623588,69.52890118393185,18.074866956158264,29.20090734553948,85.48657125383502
9,93.89405452609942,87.3166056362451,11.489596379680236,57.20394224923463,92.91107669554536,89.88801221164346,70.80772965076126,18.50878833337389,29.20090734553948,85.48657125383502
10,93.89405452609942,87.95461606287903,9.786815608324314,57.20394224923463,93.14434072284752,89.88801221164346,72.01375260102775,17.542750847683177,29.20090734553948,86.73912852329481
11,93.91859563501554,87.5269412167333,11.178697955400692,57.20394224923463,93.14601311955091,89.91240366476762,71.05804115676541,17.593858728141083,29.20090734553948,86.74078980567623
12,93.91859563501554,89.63520937508612,6.6758917250930745,84.36778968450388,92.83391271926936,89.91240366476762,74.34229104142233,13.528198107565304,45.323140469922585,85.54859271321509
13,93.91859563501554,90.13214651497748,5.778599666075015,85.82951600496185,92.73644557137524,89.91240366476762,75.59921160643725,12.015039235979756,49.823850267426174,85.48657125383502
14,93.91859563501554,89.08110091780455,10.958479957101552,85.29823731717549,93.13214184093668,89.91240366476762,75.11609980610613,15.085166984607552,49.29270312133184,86.72700044143625
15,93.91859563501554,91.0385159975658,3.926934496719921,85.96523574224199,93.13588690634532,89.91240366476762,77.7295599594227,10.88157157169217,52.24154132064101,86.73072556780114
16,93.91859563501554,91.2992031817519,2.585778942428879,85.81981418434762,93.39578670098216,89.91240366476762,78.11812583852625,10.807075223002384,50.40126523479827,88.59176023624723
17,93.91859563501554,90.42495111361748,7.1012715763231045,85.81619257459307,93.13588690634532,89.91240366476762,77.29981775835688,12.374696556755833,49.7304864982089,86.73072556780114
18,93.91859563501554,88.9133998872094,11.59731733156868,75.15189138883586,93.13214184093668,89.91240366476762,75.86841749164155,15.669270421296831,39.34735697728344,86.72700044143625
19,93.91859563501554,89.69558967531124,9.369057495808706,84.59632297155055,93.13214184093668,89.91240366476762,76.94658544511803,14.298729853375816,47.2700185616495,86.72700044143625
20,93.91859563501554,90.76657962106935,5.769582562285198,86.64320331286991,93.21109160223648,89.91240366476762,77.9456252853677,11.607151036131675,53.75734150687406,86.80552812967662
21,93.91859563501554,90.89178774843236,5.296987644558518,86.92457118867031,93.13214184093668,89.91240366476762,78.52680445433688,11.01989586433766,56.32017467859478,86.72700044143625
22,93.91859563501554,90.9844342384795,4.475709087862332,85.66846742939072,93.13214184093668,89.91240366476762,78.21146261454807,11.610438143705846,49.69189309569589,86.72700044143625
23,93.91859563501554,90.75404876349371,7.377422841331199,87.09695640709033,93.13214184093668,89.91240366476762,78.29310815493108,11.811408504222024,56.5691360858153,86.72700044143625
24,93.91859563501554,90.7253140010472,5.30883104485355,86.27594347305417,93.13214184093668,89.91240366476762,77.63222987733346,11.465447180678536,55.59355328081932,86.72700044143625
25,93.91859563501554,90.70662180055992,4.028700700017462,85.34343237457932,92.82859057649812,89.91240366476762,76.7335214612097,11.434989592725522,49.55465288710638,85.54859271321509
26,93.91859563501554,90.68138246259096,6.107579332734415,87.80522095427698,93.13214184093668,89.91240366476762,78.26834781042662,11.681468091563271,59.519136085815305,86.72700044143625
27,93.91859563501554,89.40822968337542,8.876950265628162,66.20394224923463,93.2168303779661,89.91240366476762,76.82733254657916,15.24795063991042,34.20090734553948,86.81123050500018
28,93.91859563501554,90.72448698750988,6.290550476599777,86.85304688332253,93.13588690634532,89.91240366476762,78.93552885033769,11.817622456204177,56.92736048035984,86.73072556780114
29,93.91859563501554,91.53801964633439,3.1317485458668655,88.32674233375984,93.2070431491098,89.91240366476762,80.20505572604135,9.221598828078422,64.16313595553149,86.80150296873417
