gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,57.470570912488576,3.177608064741684,12.51318782009299,-5.5093883366279774,21.90624979919324,29.46661051127248,-0.5483616139295567,6.9112840811041,-5.513428746164983,9.9001335721758
1,57.470570912488576,10.374810277241894,14.127380156083571,-5.170767281914936,48.29984605998554,29.46661051127248,3.409413091964636,7.816770339976454,-5.176431423459742,24.296505768330103
2,87.76673028254032,18.746523940616413,18.82624702845752,2.9052280537353914,57.470570912488576,67.1258831838028,8.48832695619679,12.20754847616112,-1.0970271549963158,29.46661051127248
3,87.76673028254032,27.979666242746607,19.96724311386673,3.8406581670500217,75.23804627368487,67.1258831838028,13.60811008287652,12.564728808729477,-0.1650708749792463,39.2349059302631
4,87.76673028254032,35.75834017066496,23.074211590680854,3.8406581670500217,85.19625353945789,67.1258831838028,18.12715913174521,14.4817666963454,-0.1650708749792463,48.04023740523217
5,88.45342296677731,38.928749815217664,24.73794556201226,12.7753167174924,85.5337171678175,69.97244209372184,20.18257759082869,15.925121100873993,4.769938385448228,49.36130761879655
6,88.45342296677731,47.11588778994743,24.91803721664227,12.455140820863898,85.60372115014974,69.97244209372184,24.926336376714108,16.197525569268883,4.451210466652245,54.41965635582933
7,88.45342296677731,50.22064028927775,24.666328717789835,11.513184192671693,85.5337171678175,69.97244209372184,26.468696213231947,15.57555911215268,3.710719858285159,50.92717060925775
8,88.45342296677731,55.230222485680514,23.56887256025962,20.210473248443936,86.8957745682852,69.97244209372184,29.78742107056702,15.902866285543926,8.408575330378325,57.31367636107478
9,88.45440480288957,57.38831873874116,21.8977476934662,21.82492142336628,87.07573860555564,69.97342296677743,31.168858753140547,15.382825735402507,9.819276284329549,58.10424128225488
10,88.45440480288957,57.601185246940304,23.37105903494231,20.97240996143694,86.46677357314756,69.97342296677743,31.308872587324966,15.860200209546395,9.168617829872248,57.31367636107478
11,88.45440480288957,57.92095561680035,23.26927633100921,21.419335567363174,86.86577357314756,69.97342296677743,31.515244307620307,15.913287764776546,9.4155725656134,57.31367636107478
12,88.45440480288957,58.49729985801913,22.125482125669528,21.89194244155655,85.7216720908798,69.97342296677743,31.421835523596805,14.682514044163929,9.885902140427556,54.37954706086833
13,88.45440480288957,56.74150137632799,22.87528761747396,21.101832091794968,85.66626851978253,69.97342296677743,30.31566194314442,14.980249233998556,9.297536805334296,54.37954706086833
14,88.45440480288957,57.87002469693402,22.096426618539937,12.836900971320013,86.45953908213778,69.97342296677743,31.28270948908982,15.147847537555698,4.831181394975829,56.42106688700179
15,88.45440480288957,58.260189688697935,21.56165910232437,21.61741141395885,86.45953908213778,69.97342296677743,31.46076215477075,14.781827802158844,9.612825724904203,56.42106688700179
16,88.45440480288957,60.83086131093699,19.93891194985361,21.652867369908176,88.45347205858292,69.97342296677743,33.412489398930006,14.968733460836708,9.648112986197054,69.97249113737462
17,88.45440480288957,55.62576629181689,23.67686212561301,11.873130815885816,88.45347205858292,69.97342296677743,30.62817073773684,17.06999375864383,3.870949789939455,69.97249113737462
18,88.45440480288957,56.56834964928066,24.605888429897657,11.825695756746288,88.45440480288957,69.97342296677743,31.7579457737247,18.242331658537616,3.823615662204502,69.97342296677743
19,88.45440480288957,56.13429136963784,24.382803452838505,11.82600599559063,88.45347205858292,69.97342296677743,31.12629503935162,17.58078150178692,3.8239252607168974,69.97249113737462
20,88.45440480288957,58.44493692295504,23.36691268452172,11.870784969896429,87.80106491675217,69.97342296677743,32.029800309045015,16.365652018453048,3.868608936937194,67.26821112929875
21,88.45440480288957,59.103360473411776,22.5300867355582,11.901813484341067,86.93296548863307,69.97342296677743,32.1667297045748,15.660055369351214,3.899569065850261,57.733765481832826
22,88.45440480288957,59.61792177905801,20.78303663097044,21.5910659315868,86.2876325003605,69.97342296677743,32.18277238007177,14.369146926046092,9.586599382154397,54.280329637515166
23,88.45440480288957,56.25572831187192,21.50970987067282,12.524871405636528,87.14261488643768,69.97342296677743,30.438914472798544,15.21099327991802,4.520690151228688,58.62728427150747
24,88.45440480288957,57.95253877782262,20.684622704136142,21.692943191323675,88.45440480288957,69.97342296677743,31.69728736980416,15.273380007910806,9.687990800170477,69.97342296677743
25,88.45440480288957,58.34287115207764,20.41122239819202,21.90624979919324,88.45440480288957,69.97342296677743,31.948343693915408,15.111499995033382,9.9001335721758,69.97342296677743
26,88.45440480288957,54.5000463691847,22.8202027142823,21.339835695435,88.45440480288957,69.97342296677743,30.00875784885285,16.78855717314224,9.336311138121504,69.97342296677743
27,88.45440480288957,54.99479868510276,21.641050953506124,20.961912617059685,86.3566740749106,69.97342296677743,29.629090059155097,15.152112156752668,9.158159008639297,54.87749483200302
28,88.45440480288957,55.53443736672064,22.4966944078662,21.43189839864223,86.62961488643768,69.97342296677743,30.01116487404197,15.604811613897157,9.42803624001916,56.06228427150745
29,88.45440480288957,56.0295704876881,23.629780221020862,11.875046801090786,86.62961488643768,69.97342296677743,30.2216417288486,16.041710944927566,3.8728614734554085,56.06228427150745
