gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,91.49061166337202,34.869359702860535,33.66259153006679,-5.797995400080233,87.62951600496184,79.48657125383502,18.80148891625683,22.684074087505,-5.801024544095796,58.823850267426174
1,91.49061166337202,63.936379595086336,23.517378099667265,21.1651892629374,91.49061166337202,79.48657125383502,37.77167635021111,19.615112643394376,9.16226955283406,79.48657125383502
2,92.93193985886488,72.0498933290007,21.34977857055494,21.1651892629374,91.49061166337202,86.52772932632853,45.092773969272656,20.08021325472476,9.16226955283406,79.48657125383502
3,92.93214184093668,78.6785683371858,15.338484600291986,47.78844786307787,91.51862727595866,85.72700044143625,50.36118573534418,17.32691922264757,23.98526258884468,79.60204235678943
4,92.93214184093668,84.96810841602162,9.038102974746916,75.89405452609942,92.05092391510478,85.72700044143625,58.506630766931536,14.589509769405748,39.888012211643456,82.44704041507838
5,92.93214184093668,85.24343802708941,11.489839931174076,74.57057091248859,92.05845286778624,85.72700044143625,60.81412249267181,15.802476728098238,38.96661051127248,82.44704041507838
6,92.93214184093668,88.15136332058039,4.175868175640945,75.9001335721758,92.20397401605273,85.72700044143625,65.01813888250251,13.121149864289984,39.89405452609942,82.49704041507837
7,92.93214184093668,88.38147511051598,5.464244129388014,76.07798453715955,92.74193985886488,85.72700044143625,66.76846935446609,13.679551580977003,40.070720846768246,85.53769288208392
8,92.93214184093668,88.45573166753931,7.338037361572336,75.87865543919145,92.25290830251814,85.72700044143625,68.89090163475191,14.390701993093176,39.87268232535807,83.44901695701621
9,93.13214184093668,87.03150681897671,11.93035880577909,48.20394224923463,92.28498481139636,86.72700044143625,68.6507603973734,16.788741717679425,24.20090734553948,83.56103841639626
10,93.13214184093668,88.52540798567412,9.474833327896068,83.7797765630666,92.93214184093668,86.72700044143625,72.15272977548167,14.921998093023666,45.13345154079925,85.76703688568085
11,93.13214184093668,88.58367547985614,10.08058889328558,87.34312433638635,92.61284800229504,86.72700044143625,72.09906618523597,14.63122593976566,57.41749250865191,83.56103841639626
12,93.13214184093668,89.3815168267367,7.471708989493441,87.42951600496184,92.25092391510478,86.72700044143625,73.37701561469207,13.038631947711542,57.823850267426174,83.44704041507838
13,93.13214184093668,90.04961341481163,6.236463243233665,87.62951600496184,92.93193985886488,86.72700044143625,75.15716688358101,11.8850329574907,58.823850267426174,86.52772932632853
14,93.13214184093668,88.90234408370634,9.478031613827516,85.65823731717549,92.74193985886488,86.72700044143625,74.28996896118167,14.364121653632832,57.09270312133184,85.57772932632852
15,93.13214184093668,86.83651296160755,14.125302369260565,48.20394224923463,92.73193985886488,86.72700044143625,71.18415446385603,17.746243358364058,24.20090734553948,85.52772932632853
16,93.13214184093668,85.65981469635649,16.267836664906863,48.20394224923463,92.74193985886488,86.72700044143625,71.01557915983378,19.808263318580124,24.20090734553948,85.57772932632852
17,93.13214184093668,88.11155382355162,11.714461131189749,48.20394224923463,92.93194995796848,86.72700044143625,73.60325328983916,16.305501275235205,24.20090734553948,85.76703688568085
18,93.13214184093668,88.5301155015086,10.456063600727443,48.20394224923463,92.93194995796848,86.72700044143625,74.55787245424082,15.690258062435294,24.20090734553948,86.52772932632853
19,93.13214184093668,86.41561794355586,13.105342177528556,48.20394224923463,92.74193985886488,86.72700044143625,71.17135646449783,18.80072160808979,24.20090734553948,85.57772932632852
20,93.13214184093668,88.07172309260037,11.532418200383104,48.20394224923463,93.13214184093668,86.72700044143625,74.59540669446606,16.642005286080376,24.20090734553948,86.72700044143625
21,93.13214184093668,87.65672450452217,12.790546174132622,48.20394224923463,93.13214184093668,86.72700044143625,74.06033521742775,17.644618991752335,24.20090734553948,86.72700044143625
22,93.13214184093668,88.54002240957871,10.935856167167726,66.05009358307029,93.13214184093668,86.72700044143625,75.27964131327704,16.237328042472022,34.4436295223028,86.72700044143625
23,93.13214184093668,88.22379370078424,12.418137273277098,66.15724930250836,93.13214184093668,86.72700044143625,74.10740666376532,16.832547232929645,34.550034327760464,86.72700044143625
24,93.13214184093668,88.45619835655494,10.598043572025524,48.20394224923463,93.13214184093668,86.72700044143625,74.41976158742085,16.267698632950445,24.20090734553948,86.72700044143625
25,93.13214184093668,88.91764646397831,9.918302817850051,66.15724930250836,93.13214184093668,86.72700044143625,75.62531047363147,15.583297796476582,34.550034327760464,86.72700044143625
26,93.13214184093668,90.3808899267596,7.080478875600963,87.61951600496184,93.13214184093668,86.72700044143625,78.08852089243057,12.17993694640941,58.03987061751205,86.72700044143625
27,93.51859563501552,88.85678934978769,10.491094296397286,48.20394224923463,92.94096304916002,87.91240366476762,76.06839341716528,15.538047307329268,24.20090734553948,86.52772932632853
28,93.51859563501552,88.24167454602461,11.955247172575008,48.20394224923463,92.94115493212824,87.91240366476762,75.09337337413922,17.090588047244108,24.200907345539477,86.52772932632853
29,93.52482618476617,87.32996142083891,12.620659532456314,48.20394224923463,92.94214184093669,87.91859563501554,73.65356704510732,18.527188220934917,24.200907345539473,86.53769288208392
