gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,86.39140997390336,11.413045311493118,21.944143467902983,-5.828945617610208,56.743397312001306,56.78939992297535,4.214614289171945,12.983914299173325,-5.831882477283517,28.74148137788635
1,86.79140997390337,29.31751191949573,22.96181355890792,-4.418840607796598,66.7784331276984,58.78939992297535,14.54282994928318,14.24997662158898,-4.430816798843313,34.89650745648301
2,86.79140997390337,42.071158416415294,22.95883609658124,3.5524709720740737,86.39140997390336,58.78939992297535,21.70628205777484,14.416203447809703,-0.4518387909147965,56.78939992297535
3,88.59342407327507,51.00685624269557,20.200167902428355,21.017620338124857,86.41140997390336,67.79140997390337,27.28308557753154,14.29775497418845,9.213483349436087,56.88939992297534
4,88.59342407327507,55.01023838405448,17.233868361114705,22.581159392203404,86.79140997390337,67.79140997390337,29.58333689087282,13.19867645532101,10.569183201156688,58.78939992297535
5,88.59342407327507,57.46278162033232,18.52745324037321,22.085224518608168,86.80242626905407,67.79140997390337,31.4844735214306,14.44568189906961,10.273607328500614,58.84041415653392
6,88.59342407327507,61.398735178391306,14.872894538930154,47.34257156292661,86.80242626905407,67.79140997390337,33.71658792969084,12.820398826018003,23.5405370717784,58.84041415653392
7,88.59342407327507,63.78466180686584,16.812367654882973,38.86627763154188,87.01173587691741,67.79140997390337,36.16664582376855,14.591299643818582,18.864111483192985,59.80968459414685
8,88.59342407327507,66.60600565020715,19.71754458709997,30.176659118410623,87.01173587691741,67.79140997390337,38.97193108187028,16.322647162987113,14.173705774124397,59.80968459414685
9,88.59342407327507,66.74963119825622,20.151782594798075,38.35307190919523,87.041479406467,67.79140997390337,39.63551863725528,17.00446227913161,18.551029880923835,59.95942854678561
10,88.59342407327507,65.92228628085229,18.552052713249854,38.877507190485616,87.25523064356216,67.79140997390337,38.74420441080842,16.29607331046396,18.875316609105795,60.933130399881165
11,88.59342407327507,66.60876425825806,18.21012884225356,38.87051594773817,87.61884558794075,67.79140997390337,39.00669928016577,16.005847818723822,18.868340607379704,63.0168803092627
12,88.59342407327507,67.21641222581246,16.78531702753449,38.86638550644887,87.61884558794075,67.79140997390337,39.23029383740266,15.340853085333524,18.86421912586104,63.0168803092627
13,88.59342407327507,68.27027654025912,17.593775678971046,38.86638550644887,87.2121304687838,67.79140997390337,40.08419354353367,15.490542329077336,18.86421912586104,60.89011893892228
14,88.59342407327507,65.99927232482287,19.56907602538056,38.862272945913766,87.4021304687838,67.79140997390337,38.67714870467949,16.472248729000345,18.860115447773744,61.84011893892228
15,88.59342407327507,65.16855697627828,19.51501530078892,38.42727277625978,86.84743983823554,67.79140997390337,37.7024155521569,16.071266682264902,18.625077592516387,58.88533516587443
16,88.59342407327507,66.26004684688105,16.85670777666761,47.28823389000333,86.81308871698678,67.79140997390337,38.08199948470916,14.652502147401371,23.486326820189905,58.81103462423778
17,88.59342407327507,66.88733655753225,20.51668314671073,38.04821726822825,87.01173587691741,67.79140997390337,39.47713215810813,16.720480693905706,18.44556883544289,59.80968459414685
18,88.59342407327507,69.1209378360121,18.712051842061825,38.87051594773817,87.01173587691741,67.79140997390337,40.71078191361896,15.72184686654993,18.868340607379704,59.80968459414685
19,88.59342407327507,66.18314055912532,19.97020715605835,37.93974928060258,87.01173587691741,67.79140997390337,38.716860692958825,16.361687826695437,18.337321789061136,59.80968459414685
20,88.59342407327507,70.56144185864342,16.520464553438302,47.85775853928703,87.02308871698679,67.79140997390337,41.64742578676643,14.841807613125455,23.855609877025163,59.861034624237774
21,89.21585110906253,72.54131625241624,16.075105093314022,47.87062405588839,87.28652424805344,70.8137913760995,43.507278713352704,14.860445098551676,23.868448482286706,61.08442143486224
22,89.21585110906253,72.10394014906409,20.620366249456097,20.75249689716089,87.28652424805344,70.8137913760995,43.62181962520432,16.686331206797245,8.949453934717535,61.08442143486224
23,89.41585110906252,73.1732262025317,18.615288942053425,38.74733128356534,87.28652424805344,71.8137913760995,44.291193451147365,15.801031722009949,18.745407814817987,61.08442143486224
24,89.41585110906252,74.85970996482766,14.103194126175511,56.280518782975605,87.28652424805344,71.8137913760995,45.14570355101867,13.830871824105117,28.47862640248836,61.08442143486224
25,89.41585110906252,75.26861394208622,16.43479204135221,47.2885639242049,88.49707350410624,71.8137913760995,46.33056967169955,15.149700679521109,23.48665612983255,67.01490533368617
26,89.41585110906252,74.22308626346131,17.429353030654887,38.87260232245635,88.02472975727315,71.8137913760995,45.4770155966834,15.46298663920684,18.870421965246937,64.86267230598969
27,89.41585110906252,74.41642542409281,18.187847022170605,38.42785929324906,87.42454542506444,71.8137913760995,45.52617038741492,15.533635784426618,18.62566239450455,61.94252904401317
28,91.267754812552,74.86940122347592,17.925008517114673,38.40656410445978,87.40454542506444,80.06510580438041,45.93134309061004,15.64434380499235,18.604418234806285,61.842529044013176
29,91.267754812552,72.70032156152558,18.496125284816245,38.31953901621826,87.01173587691741,80.06510580438041,43.85024505645123,15.619492016847836,18.517562623634277,59.80968459414685
