gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,65.7480961168341,11.62421621801264,18.558759001701063,-5.828945617610208,56.74233241211736,33.746171188424526,4.018800173777885,10.245720831823691,-5.831882477283517,28.74041853593508
1,91.608535452892,32.32903876047209,21.60576672242534,3.183945631456289,66.19887283148219,82.00603857269343,16.172972283476646,14.619072252448545,-0.8190423653147716,33.99694639775131
2,91.608535452892,43.179828447933495,20.644811118069327,12.309743663030092,75.70879596809607,82.00603857269343,22.360666349536658,14.376652791579415,4.306369264959553,39.9058866918344
3,91.608535452892,52.49810195259485,20.270380212751668,22.581159392203404,88.18339389891514,82.00603857269343,28.55936358479684,16.134565387002066,10.569183201156688,65.78139988030827
4,91.608535452892,57.32813698039463,18.143885812640967,29.088050620216592,86.9735172813071,82.00603857269343,30.653679874043977,13.354668839197448,13.28612034583523,59.01112873319656
5,91.608535452892,64.51317568138379,15.178654661784352,30.19126048800096,87.06642532994462,82.00603857269343,35.679072502910785,13.617561685633458,14.188263761897984,60.10438487246596
6,91.80853545289202,65.81950199801383,15.928957786753358,38.44114365415148,88.27920825636838,83.00603857269343,37.489458948490295,15.400773361514585,18.63891722544269,66.23720195656216
7,92.04157530697022,70.83721993451367,14.716355076918008,47.77051240286296,91.59205424647412,84.03899466037673,41.76317199787204,16.144005238354552,23.768543862687466,81.98959811295072
8,92.04157530697022,72.10518933128239,12.497599362223973,56.74233241211736,90.17512376822556,84.03899466037673,42.111145486161206,15.203634713319977,28.74041853593508,75.25287126375176
9,92.04157530697022,70.90399947233772,15.269749961632346,47.73831783925812,90.03385385653212,84.03899466037673,41.26993510939538,15.720862569116754,23.736411623110893,74.83175650272895
10,92.04157530697022,70.26230796419831,15.586346787808422,47.29931956290064,89.45162570267217,84.03899466037673,40.37219186505492,14.77213548183123,23.49738195595598,71.83190038498802
11,92.2160637193128,71.83089948529842,17.492664972703096,38.95932493037287,89.45162570267217,85.01354799471557,42.132677154089855,15.915030379965222,18.95694568846361,71.83190038498802
12,92.2160637193128,73.10603639818369,16.633328842552533,38.96527563577666,89.69417964225592,85.01354799471557,43.32788253483022,16.07238871483887,18.962883980299527,73.25214140384284
13,92.2160637193128,74.90452260398084,15.848779828118978,47.35862992145756,92.0391236927064,85.01354799471557,45.14238922641491,16.516011051182385,23.556576928155547,84.0365493565813
14,92.24157530697022,76.1475142866848,16.141745808675356,38.85862929476684,92.0391236927064,85.03899466037673,47.32936494956182,17.409973973728516,18.85647937059748,84.0365493565813
15,92.24157530697022,75.84055063861956,16.059434488043422,39.1593950380865,90.21304171947568,85.03899466037673,46.230422126322274,16.051036898245016,19.156486792322752,75.09058076484583
16,92.24157530697022,77.28358090120152,12.832552836334932,56.76539357931557,91.60929113478252,85.03899466037673,47.84139192391851,15.825202626376706,28.763435097047942,82.0067923558137
17,92.24157530697022,77.08918762066988,13.791459113896355,47.87248004748021,90.26392244496743,85.03899466037673,47.68706864961501,15.47520428202342,23.87030043016312,75.30143703879524
18,92.24157530697022,76.13894852137624,14.994719556836063,48.21905695874752,89.81393026518037,85.03899466037673,46.4807899791883,15.389032053858408,24.21596658207503,73.85189264711086
19,92.44416263053516,74.92603472931222,14.927860513122114,47.93759879465258,90.26392244496743,86.04157530697022,45.29993122943747,15.748689361406411,23.93527246781268,75.30143703879524
20,92.44416263053516,74.97259567088095,14.897045013621849,47.32583663666714,89.48477613312488,86.04157530697022,45.13849078956118,15.315703448904465,23.523840450333765,72.24275665893744
21,92.44416263053516,77.62797446734461,14.27688239422183,47.873122257838304,91.44243638697348,86.04157530697022,48.32976452156344,15.405881971188828,23.87094039038256,81.15992971306649
22,92.44416263053516,73.29183242917726,18.88381750938977,29.937380453694264,90.8559142313972,86.04157530697022,45.097706668832,17.76385148686194,13.935054602544229,78.2934485066486
23,92.44416263053516,72.70932167420689,18.2628339937486,30.17072686280993,90.8559142313972,86.04157530697022,44.11514370901418,17.274937571437466,14.167788741311044,78.2934485066486
24,92.44416263053516,74.23071185013829,17.474352883699076,30.26215374825576,89.82595430827357,86.04157530697022,45.42059165595002,16.462159182021168,14.258937178290486,73.86389436274764
25,92.44416263053516,74.93552943357852,16.799681647463384,47.290696099883085,88.47804819045199,86.04157530697022,45.37342177717851,15.351747252703143,23.48878172646483,67.15600444725553
26,92.44416263053516,77.60228942755847,14.568305463411937,47.97105488453719,90.02585110906253,86.04157530697022,47.92815297511565,14.80885774821886,23.968649080311863,74.8637913760995
27,92.44416263053516,77.76059693198104,14.80837948601069,47.86216507100677,90.02472975727315,86.04157530697022,48.75854097228719,14.99408555549028,23.86000780510569,74.86267230598969
28,92.44416263053516,76.52804285891689,18.982860477674983,38.41371243416349,90.19403260005608,86.04157530697022,48.173962413791,16.814249356711425,18.611551322867264,75.79201726881847
29,92.44416263053517,77.60312025979044,14.826016268584244,56.313480330756,89.07865538269381,86.04157530697022,48.39307531583405,14.908470970606349,28.511512095398718,70.11658983731436
