gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,48.046756665712216,6.090587497669977,12.341198250412257,-5.869296913133774,21.633228632042496,24.04416263053517,0.9262009673043708,6.796980843522396,-5.872117789475416,9.62856964437264
1,48.046756665712216,15.546339186656066,11.062969542793534,2.1815791570597898,30.456599989850712,24.04416263053517,6.142268653656305,6.095804852576356,-1.6202737718329936,14.452687209299024
2,48.046756665712216,19.15356913048189,9.610553127659063,2.860262092915548,31.145856217525367,24.04416263053517,8.149586595666948,5.3331831731528965,-1.1418911572975712,14.940886826752472
3,48.046756665712216,20.662987498475857,6.783221365549031,4.11250148642192,30.44889245585935,24.04416263053517,9.01882295405335,3.7392482420441615,0.1049879971039171,14.445015581951932
4,48.046756665712216,21.640722164076884,7.227792249370023,10.378870958329989,30.711986134403293,24.04416263053517,9.556566000519634,3.9882865951408255,2.5778590774178736,14.706947064977006
5,48.046756665712216,23.1774572687128,7.810730004905528,12.505588062201229,39.85827470225018,24.04416263053517,10.413343625690672,4.297216711342853,4.501485687782494,19.654541015054804
6,48.046756665712216,23.96235153177325,7.876543073501396,19.74287060211908,48.00283129896973,24.04416263053517,10.83833624497344,4.345741721326899,7.9416969023407935,24.000348528980723
7,48.15935834262661,24.33780914078547,9.000660739641805,12.39724622488425,48.046756665712216,24.15645558296864,11.05375546281498,4.9696096122755264,4.393537920815975,24.04416263053517
8,56.92926227199751,26.41276365402148,10.302147059789814,19.75111971515496,48.1335319430667,28.9269554658996,12.208706695781856,5.66149704801302,7.949912054905357,24.130703086866227
9,65.83668519596536,26.77281169003515,11.317226310307488,12.559356395014584,48.13482326304469,33.83458214576858,12.408771756147024,6.224993268854376,4.5550272013656485,24.131990711671342
10,65.83668519596536,26.79611140943489,11.561898321350144,12.56750002823535,48.13482326304469,33.83458214576858,12.431979901814945,6.345104857868622,4.56313516119397,24.131990711671342
11,65.83668519596536,27.05387407987333,12.277122625685578,12.587909500774098,48.62587917027198,33.83458214576858,12.569804559265874,6.742168336934967,4.583457117031731,24.42292376806116
12,65.84302101441445,28.19812682425145,12.939142334711546,12.60569524239225,57.43814154604703,33.840904611508066,13.194153400464032,7.106007929831664,4.601163130965383,29.235693605666768
13,65.84302101441445,28.011633943128388,13.3843706275028,12.618738925563555,65.83668519596536,33.840904611508066,13.087680962687688,7.34958282158826,4.614147387757614,33.83458214576858
14,65.84302101441445,26.33368323511295,11.260886506239684,12.579465000727714,48.50720896348755,33.840904611508066,12.16962262698297,6.189329814462841,4.575049982518597,24.30458704421377
15,65.84302101441445,27.23283882594595,11.543970717558446,12.587909500774098,48.50914625181635,33.840904611508066,12.668766150571097,6.344939293404395,4.583457117031731,24.30651965193549
16,65.84302101441445,28.47228752883209,12.527707013283647,12.592604514520136,56.95705059831046,33.840904611508066,13.348289929858328,6.884247525562375,4.588131230627491,28.95467877192595
17,65.84302101441445,29.256492597862152,12.774364364279249,12.60935510671071,56.95619378419831,33.840904611508066,13.772582077385652,7.016674666066534,4.604806330091186,28.953824050257985
18,65.84302101441445,29.60076575063296,14.358665687107536,12.565843211097382,65.8390040951104,33.840904611508066,13.95691099609591,7.8831149546006385,4.561487787939649,33.83689616674249
19,65.84302101441445,29.75058329654584,14.28360959452726,12.565843211097382,65.84302101441445,33.840904611508066,14.026832986680168,7.854075363900408,4.561487787939649,33.840904611508066
20,65.84302101441445,30.83909326453117,14.647030673683783,12.58725015056,65.84302101441445,33.840904611508066,14.635323649579464,8.042243106830057,4.582800652459641,33.840904611508066
21,65.84302101441445,29.9953017533971,14.68915790121648,12.605919961871642,65.84302101441445,33.840904611508066,14.151671083219629,8.071045450461764,4.60138684498513,33.840904611508066
22,65.84302101441445,31.41298324652909,14.623791877507893,21.152477556018184,65.84302101441445,33.840904611508066,14.929437898877325,8.045519296157812,9.149590581088471,33.840904611508066
23,65.84302101441445,30.8760874899314,14.158778681004993,12.596033088857334,65.84101043165339,33.840904611508066,14.632538488789486,7.789490718463596,4.5915358582490535,33.83889827496508
24,65.84302101441445,30.95552716697459,13.093396224187256,12.596033088857334,57.43835251682417,33.840904611508066,14.672016917340802,7.209005710847825,4.5915358582490535,29.235904132293587
25,65.84302101441445,30.873572531312654,13.188432547197632,12.415942937677292,57.43238121504047,33.840904611508066,14.630031557275618,7.261696644470594,4.412192676569844,29.22994470643033
26,65.84302101441445,31.762032724582312,13.920624319310118,12.59687901552617,65.72755569776317,33.840904611508066,15.118536941407417,7.65507144903973,4.592383000638122,33.72566918356322
27,65.84302101441445,30.97280412050566,13.47198036765182,12.650566468500786,57.43238121504047,33.840904611508066,14.689225337262604,7.400111489826166,4.645826638121849,29.22994470643033
28,65.84302101441445,32.56672356635372,13.305973743838315,21.234773866662103,57.43238121504047,33.840904611508066,15.563236203012364,7.310491496795165,9.23164156535755,29.22994470643033
29,65.84302101441445,33.445113084574785,13.38714861624282,21.288915078396254,65.72755569776317,33.840904611508066,16.041716524957288,7.3648879997756955,9.285611447386739,33.72566918356322
