gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,38.807637510525126,8.172274740610554,11.468456528765948,-5.3706380281276624,21.634243895350533,18.805594608895326,2.087891869132445,6.305893912287735,-5.375278407684165,9.629579779738515
1,39.42784596782224,15.854068378385747,9.969366768754604,3.3720204618354326,30.44635023650757,19.42405089685369,6.330009428187899,5.4926653381523485,-0.6315689261969843,14.442479814753154
2,65.41520860761429,20.253001899996868,11.049919289516485,3.548321878861304,38.88794488917674,33.413828345145326,8.768982735834273,6.069692973195604,-0.4559580666465732,18.885727738548923
3,83.70296575233354,25.49172413523668,12.808077839357672,11.815851109062518,56.30487262510475,45.3017319458847,11.663930508250434,7.078953549854165,3.8137913760995055,28.303636235010604
4,83.70296575233354,29.62410861323547,14.895873379312071,12.499082484362573,56.98161827367733,45.3017319458847,13.932604506271083,8.24869238397039,4.495007244825193,28.78006480513744
5,83.70296575233354,32.44256984880882,16.296056839367694,12.571439072128006,65.42561182983864,45.3017319458847,15.471249390444893,8.998111662548006,4.567058741966044,33.42421561870548
6,84.58577611364241,35.175018485614046,17.00056038627331,12.499848782886485,65.83730680717547,50.02463390906372,17.056701491548367,9.6978028878527,4.495770618431733,33.63595604775284
7,85.49756252900218,38.074144331743085,17.7996455727246,12.641789452570764,74.41936086271505,55.01653741358703,18.73134238068076,10.43419448612576,4.637091065258428,38.417974861107176
8,85.49756252900218,40.92304439584495,16.338545405663012,21.243007721302817,74.41936086271505,55.01653741358703,20.20135156549512,9.477738987509571,9.239852055700096,38.417974861107176
9,87.52704379932295,46.63170857937772,20.26945504830594,20.12784480711589,84.63326685694277,64.48582947009068,24.04956598456115,13.298652217316098,8.32617811749324,50.2401180277214
10,87.98417677836518,50.9603751718028,21.09387666978148,20.270852144505103,86.35861666882886,66.62291653875302,27.15676955072725,14.899042975832714,8.468946210390111,58.8774684103422
11,87.98417677836518,60.31440568349379,20.725475768244696,29.757206865722,87.25147420589154,66.62291653875302,33.28946041568063,15.411488277775238,13.7552624835359,62.1579325849992
12,87.99814525945472,62.08284563631057,21.69417763953697,28.71763121541167,87.25147420589154,66.63686730400936,34.48043276069279,15.840222357433214,13.115931885604768,62.1579325849992
13,87.99814525945472,64.89562347903721,21.299240879671185,21.051532763843667,87.52749736392869,66.63686730400936,37.587735150094886,16.96216507544224,9.048926101006256,64.74048102881457
14,89.06458607254409,68.37661127618158,22.074555152618988,21.392797996431472,87.98417677836518,73.2236519295524,41.15039970981357,18.07664416399296,9.38913252378136,66.62291653875302
15,89.06458607254409,67.39998435765233,22.427241983681707,21.36646304778536,87.99814525945472,73.2236519295524,39.93458391259096,17.953266516041758,9.362865636191277,66.66993707847607
16,89.06458607254409,63.992045450958045,24.920668319511982,20.156101851199644,86.93402168326799,73.2236519295524,37.306597807415066,18.63008726088633,8.354391127088773,62.22500181405493
17,89.06458607254409,71.40301662953486,21.349195974844225,28.824659849450256,87.96124823566711,73.2236519295524,43.14977299058461,17.37926208553938,13.023401633927667,67.30469563489363
18,89.53914532120982,72.90080424328174,22.99552053892683,11.700867266699609,88.14177498992225,74.41789140255035,44.64913914944213,18.091342457341195,3.699031054948819,67.54855635744514
19,89.53914532120982,73.88297096601805,20.077984388756928,29.65670910904405,88.3058026754446,74.41789140255035,45.22417408245249,17.017773941113933,13.654951071883865,68.7514553204759
20,89.53914532120982,73.8764829004406,19.47061730710911,29.760557097992645,88.14742019877319,74.41789140255035,45.20249074027784,16.62087153569982,13.75860760274916,67.55978981267629
21,89.53914532120982,71.75825510072531,20.49005825299907,29.08115003347574,88.08537703606329,74.41789140255035,43.07388170489912,16.959809215417348,13.279600207292994,67.49222580350593
22,89.53914532120982,70.2883468387827,21.240055524804102,20.715992483171835,88.46822888186419,74.41789140255035,42.392723715012174,17.824938567475282,8.714128088408927,69.01495961653815
23,89.71914532120982,67.90416188650654,23.940994223070906,11.767692106467276,88.46822888186419,75.31789140255036,40.756474071484895,19.113289718986817,3.7657288604530414,69.01495961653815
24,89.71914532120982,72.22277278922665,18.61383785520593,38.71909964808017,88.46822888186419,75.31789140255036,43.96950170114127,16.842822300197607,18.91612642522674,69.01495961653815
25,89.71914532120982,73.96865032729316,20.10105680006683,29.10000315525478,89.23798897622554,75.31789140255036,46.37142232079291,17.88864812832663,13.29842307942746,72.52060591871808
26,89.71914532120982,74.33688994797228,21.95112340742553,20.18189865058046,89.53914532120982,75.31789140255036,46.31168356679373,18.21235443434936,8.38018470699566,74.41789140255035
27,89.71914532120982,74.47314325145106,20.820098189726323,28.545319973632903,89.53914532120982,75.31789140255036,47.02075401720912,18.45540858155004,12.943886857617438,74.41789140255035
28,89.71914532120982,75.87178811650459,20.53498052643596,11.931085923167153,89.54814532120982,75.31789140255036,48.450606497462566,18.07680271640004,3.928773746959197,74.46289140255035
29,89.71914532120982,76.58084262035568,14.454325089775462,47.51805056920662,89.03814043006399,75.31789140255036,47.364508941826735,14.983971956217102,23.516519652576218,71.86487138476268
