gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,47.47204208237745,6.779471261049396,12.02462402705262,-5.861211757949261,22.0099962571919,23.470581161737776,1.5970741000225348,7.175043604346736,-5.864055506291963,13.46811325970309
1,47.95499468596399,15.503383699972206,12.98271355180442,-4.990432586778736,47.39728442723057,23.95262782095372,6.059763731425577,7.096286208269106,-4.997212273764115,23.395928464055608
2,88.74875562139874,22.95837809300177,16.98230622526386,3.476721340274523,48.37828239106526,70.98765490582268,10.646416701987125,11.603899770277268,-0.5272668919169404,24.175964473041777
3,88.74875562139874,31.386663313559563,21.55179359132044,3.613426076828314,86.22503695104048,70.98765490582268,16.188725150512322,16.0548240391646,-0.3911429544728697,57.98782615663739
4,88.74875562139874,35.81169293656758,22.0601924016334,11.775287484695315,87.86355176749039,70.98765490582268,19.055549271215583,17.096496514422356,3.77330946476134,65.99828301235158
5,88.9007060803164,44.98516546079456,24.992862823070887,11.943491392922487,88.74875562139874,71.13942485016047,25.247819713563228,19.66043739609029,3.9411514733244943,70.98765490582268
6,88.9007060803164,49.17627913314703,25.182291210132814,11.943266673443096,88.74875562139874,71.13942485016047,27.40235152195858,19.04916120894544,3.940927257702128,70.98765490582268
7,89.44198895412929,53.997873989985855,25.55379065224563,20.77090075432984,88.75635314434463,73.84070608031654,30.941658965891506,19.89196940876984,8.768931461527684,70.99524340303957
8,89.44198895412929,57.11328396890424,24.2571866322492,20.77090075432984,88.9007060803164,73.84070608031654,32.91249131747909,19.38258270301488,8.768931461527684,71.13942485016047
9,89.44198895412929,59.28004195492134,24.541842083167467,20.617660162387,88.74875562139874,73.84070608031654,34.064203619128605,19.00108868046008,8.615968699160598,70.98765490582268
10,89.44198895412929,60.30981858004829,23.603147966944377,20.84249215607314,88.75635314434463,73.84070608031654,35.2828113987264,19.30534245220321,8.840374526516642,70.99524340303957
11,89.44198895412929,62.006502860862376,24.27736331165456,20.85075931708612,88.90569081700836,73.84070608031654,36.73799479034905,19.910053948711248,8.848626322541989,71.16841087371294
12,89.44198895412929,61.92575768872831,23.81709329143193,12.15143410787889,88.90569081700836,73.84070608031654,36.71162126913454,19.657918507515845,4.148551224833841,71.16841087371294
13,89.44198895412929,59.67949727595903,24.84783619368145,12.179931972277911,88.75635314434463,73.84070608031654,35.00614515540797,19.79660293805352,4.176958034886804,70.99524340303957
14,89.44198895412929,62.60376864444734,25.302458526315466,11.991242531064884,88.75635314434463,73.84070608031654,37.27837936516475,19.778180718736312,4.413264953771312,70.99524340303957
15,89.44198895412929,63.07072370184108,23.57074879175646,20.75883038497354,88.90569081700836,73.84070608031654,37.359837984566326,19.21043637178116,8.756883371014572,71.16841087371294
16,89.44198895412929,64.8388635506674,23.665467911641457,20.757286801790187,89.19886523820074,73.84070608031654,39.048799871182034,19.86233478576149,8.755342292012543,72.94939139405031
17,89.44198895412929,63.20639573856528,23.333889628934724,20.52398667937655,88.24143297288282,73.84070608031654,37.720361454820456,19.47708275511581,8.522447541771733,67.96018722712942
18,89.44198895412929,64.87593135399783,23.23509558332925,20.532146235011737,88.58702919168833,73.84070608031654,39.31630664421896,19.613571031403005,8.620263905323519,69.67377891382735
19,89.44198895412929,66.19665956577825,24.37218013712188,11.801054480262884,88.59854938507148,73.84070608031654,40.23780963995558,19.983041571468444,3.79902207474813,70.62154957575957
20,89.49554293736239,64.78378307859525,25.33730682419602,11.764622165156762,88.72413921783189,74.61441235499225,38.72169252808912,19.963098646415705,3.7626631558534975,71.2751453428062
21,90.02038476250678,66.11701963566051,23.571415861055723,20.621904261602715,89.08154293736239,76.3389693341036,39.53498767608847,19.184354595127417,8.620206697606058,72.54441235499223
22,90.2603847625068,67.49743355182693,22.68867532025297,21.04264840971346,88.71813921783189,77.53896933410358,40.83700214014559,19.00723867835704,9.04004277458687,71.23652417276305
23,91.06219530497631,67.34984991093803,23.00896109955741,20.37894722894542,89.15820924973703,82.18098684561484,41.38064642572632,19.619194412916244,8.377614813644788,72.41692481043877
24,91.06219530497631,66.23882768109272,23.999159050546268,20.44322846393959,89.16088694889868,82.18098684561484,39.783992037717695,19.728461705087746,8.441808901038215,72.45561012417255
25,91.06219530497631,64.34479970242118,24.35369019663958,19.77033898980509,87.18728261021575,82.18098684561484,37.97159936417062,19.28306704044321,7.969182937326824,62.6524906679244
26,91.06219530497631,66.49285260454236,22.43862453277977,27.85574204475473,87.20137923002372,82.18098684561484,39.19087426202519,18.031776758584936,12.254994223713728,62.780141118277385
27,91.06219530497631,65.9543756352958,23.844549015755028,11.938869414889968,88.54046911972068,82.18098684561484,39.541134579139154,19.31871653709306,3.936539417140149,69.4952371000042
28,91.06219530497631,67.11760451959024,23.143462716862924,21.026549576932933,89.52780598956153,82.18098684561484,40.949167663904,19.74624024196253,9.02400062771038,75.21078853146624
29,91.06219530497633,66.90884330643019,23.08715051395711,20.766187158803742,90.27223332980766,82.18098684561484,41.03878034726585,20.43279347202306,8.764226921934206,77.67083943599148
