gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,92.75486503108353,39.90943096806841,43.36054499306627,-3.0607552789821084,92.39486503108353,86.99185751001963,41.37461953840437,27.23176398203336,-1.364677318341454,85.19185751001964
1,92.75486503108353,77.49924792639261,28.52417578800096,2.132244721017873,92.39486503108353,86.99185751001963,64.02034593664084,17.25576599643156,28.71892153025124,85.19185751001964
2,93.16521039683076,86.76735454060899,14.561313732475634,74.7583400540648,92.75486503108353,88.3616453306663,70.67300974960114,13.78781636015394,54.71624522068493,86.99185751001963
3,93.22521039683076,88.55381102433483,13.214156909751818,87.65965703306689,92.75486503108353,88.6616453306663,75.21229536089353,12.246953516573653,61.01625045321139,86.99185751001963
4,93.22521039683076,89.02463683145407,11.5553330446446,87.65965703306689,92.7641131490785,88.6616453306663,76.23984986516308,11.447014949766936,61.01625045321139,87.01308564615171
5,93.22521039683076,91.27754437103336,1.6252855769689594,87.66324619773175,92.46953732996022,88.6616453306663,79.4327456052563,8.127421631478398,61.01982739098306,85.98498766118266
6,93.85669509194094,91.52377463188826,1.536826511209422,87.66324619773175,92.47895163520354,90.49173230259883,80.56212147166741,7.85041861102116,61.01982739098306,85.99621228355726
7,93.85669509194094,91.80078995551966,1.278641540384491,89.00423076224102,92.76899159442458,90.49173230259883,81.91909870330839,6.468945027837168,68.06777311524318,87.03937733691643
8,93.85669509194094,91.54900847421315,5.465733097036747,90.2455928133764,93.19371003031468,90.49173230259883,82.79461057168866,8.230865306816638,73.9700020107089,88.46814967926292
9,93.93173296930549,90.76778217242348,11.061983834461357,90.43669051979292,93.7373220276578,90.80669517527556,83.35103910875347,10.405689995985286,75.72952109633317,90.49173230259883
10,93.93173296930549,91.61874400491068,6.644275817638556,90.14549208899923,93.7384109670168,90.80669517527556,84.00440360265208,6.420354843719098,73.5821878208449,90.49173230259883
11,93.93173296930549,92.2194952640729,0.9168525710167528,90.5162772822754,93.43235937435372,90.80669517527556,84.2556077856886,4.374788798530153,75.34490717247999,89.84696002660715
12,93.93173296930549,90.79682293223271,10.404932079625029,90.49206908260597,92.96487185007358,90.80669517527556,83.6770104749165,7.116030607096697,75.28473677674214,88.45015173352142
13,93.94094470078548,91.64082510116177,6.630627792740101,90.85238338014778,93.87473296930548,90.33521402607651,84.201735087858,5.745029967881238,76.64067542156144,90.34378808353648
14,93.94506424239104,90.88623373640291,10.415973615214742,90.86901301948916,93.93173296930549,90.57964417492173,83.9366567224619,6.9795779031726815,76.70528862039833,90.5909967249394
15,93.94506424239104,92.32494618374766,0.8858635583111218,91.21565182109684,93.87473296930548,90.57964417492173,84.62010707028554,3.898908475365836,79.56083037060381,90.51034262525786
16,93.94506424239104,92.36004445344784,0.6843921368302828,91.22789596854987,92.98642266989908,90.57964417492173,84.7751990422845,3.0233782127238027,79.68112204166725,87.57093397979207
17,93.94506424239104,90.1889922085159,12.226096567392688,90.36123848624784,92.94268586204332,90.57964417492173,82.90427572618201,10.89318745605232,76.38723668729075,87.25350268554082
18,93.94506424239104,89.97754267874858,13.85970110120468,90.84703236466348,92.99811502541392,90.57964417492173,83.05763269722513,11.594222267893205,76.97328864005613,87.92098350047034
19,93.94506424239104,88.54278331160496,16.8964425816075,87.1111127373893,92.87608983336224,90.57964417492173,82.42534843567879,11.12108348278479,73.4365192534906,86.58771003031475
20,93.94506424239104,90.21594998615532,12.033665902801651,90.83188283081718,92.60814402881476,90.57964417492173,83.14171330372893,9.601790711546794,76.68026110947265,85.37839579858641
21,93.94506424239104,90.1713008805933,12.817202286270822,91.38349301783865,92.40531675941914,90.57964417492173,83.71465059491803,8.123687061620814,79.0435444167289,85.19185751001964
22,93.94506424239104,92.39667686842424,0.4186539030097143,92.32094281234842,92.62203514346945,90.57964417492173,85.1191763282531,1.700961971962804,84.65218441373523,85.28039792116773
23,93.94506424239104,92.03086856845266,3.948319486226964,92.32094281234842,92.96702043056962,90.57964417492173,84.89175432700077,3.6499996218086217,84.65218441373523,86.96529259965793
24,93.94506424239104,92.28295704276124,0.8963200488785912,92.10850579701238,92.6594205794076,90.57964417492173,84.56144655702424,3.912691645064494,82.70981698097263,85.19185751001964
25,93.94506424239104,92.3802857313866,0.6321758506009191,92.32928322464602,92.78635763089332,90.57964417492173,85.01876781551579,2.6935059009669087,84.57532281672634,86.08643719917956
26,94.03106227384332,92.34876818335266,0.6253915461090573,92.20404080789676,92.55453784581144,92.10693855665949,84.89368911657108,2.7845364468835583,83.5364530581444,85.19185751001964
27,94.50150296873416,90.85975096867196,10.934359588809356,91.6508810515001,92.89862800895632,93.29599331292322,83.85503350342852,8.315272812071271,80.58312728322058,86.21025493914243
28,94.68704314910978,89.98258279751755,14.040059727554208,91.5165887968718,92.90272354838876,94.20150296873418,83.5338993949497,9.397084275653926,79.92084061552355,86.44257619983303
29,94.68704314910978,91.34550863439794,7.29470428719531,91.74031905013963,92.78850050016531,94.20150296873418,83.8759712207331,8.056671839239444,81.51299059928704,86.41777584933907
