gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,87.96667673282853,24.064636848975496,30.913051517236447,-5.727172424052724,75.78613605121913,62.52324619773185,11.664899598270363,17.966757435616778,-5.730423408698855,39.77082290358233
1,89.04679402095825,56.07224485169077,22.5192410611848,11.569482507437012,87.96667673282853,66.48188000615593,30.217320552097725,15.305968446612226,3.766956385473268,62.52324619773185
2,89.04679402095825,64.4701035953308,16.51458968861354,39.011038583110135,88.01267765495088,66.48188000615593,35.79452693644671,13.504670424523272,19.00853545289202,62.67716801951786
3,89.61289246928257,68.24418168558283,13.237820330278057,48.0573892390711,88.87694446901651,69.44814186652408,38.07962719076179,12.110142683398436,24.05476736627424,65.59198044206605
4,89.61289246928257,71.64336948487284,12.481531322531934,56.54846332536789,89.05592241850395,69.44814186652408,40.720441015806536,12.50599032514526,28.7459580177885,66.53902208546393
5,89.61289246928257,73.44763899650023,15.228624240149143,48.45760356539485,89.17679088432288,69.44814186652408,43.146939515757325,14.325459744285574,24.45367973906848,67.34412995289466
6,89.61289246928257,77.60408642215201,13.270586219462066,57.17031453081789,89.35030096660495,69.44814186652408,47.48177254752096,14.169330357226594,29.16737866333708,68.22565619896659
7,89.72814186652396,79.03504461063528,13.808250744940564,48.21866374583615,89.35472987905545,70.04341372532814,49.98608458393369,14.689735443604944,24.41378855450596,68.23006455954527
8,89.85289246928257,79.86925516635023,13.566571897440609,48.188943128842446,89.24871113765523,70.64814186652409,50.96429967193355,14.605008823313575,24.384258177443773,67.66800852219197
9,89.85289246928257,78.89085682084784,16.482959181348626,39.628268928273606,89.47772987905546,70.64814186652409,51.6143844709425,16.426745822502408,19.62362441856925,68.84506455954528
10,89.90814186652396,82.10152629964642,11.433473417635946,57.55341131921453,89.55865013238783,70.94341372532814,54.64066839266607,14.27880862189826,29.549077824679795,69.21394312884259
11,89.90814186652396,84.02428080836522,10.493615797304402,57.61444147450647,89.66372987905547,70.94341372532814,57.75053037854144,12.986375402885674,29.60982911305005,69.77506455954527
12,89.90814186652396,84.90220756123682,10.60430155161596,65.14242204566916,89.52848720509692,70.94341372532814,59.58832450260545,12.310008396490066,33.539809879496325,68.91960861841228
13,89.90814186652396,84.66344976398419,11.188154211850376,65.13720474265237,89.65449347199568,70.94341372532814,59.5182939364076,12.698447214070136,33.534606595427725,69.7298292649934
14,89.90814186652396,85.22729247412163,8.997264306175417,66.0375968565134,89.46959507252767,70.94341372532814,59.61820670355243,11.785587966399266,34.03502639620707,68.82495361129382
15,89.90814186652396,85.1028827722609,10.27406072277442,65.1478729825523,89.36217953590227,70.94341372532814,60.128134040022026,12.010107171185563,33.54523391164603,68.24949347199579
16,89.96814186652396,85.53024270747166,8.93595160358677,66.01103858311014,89.47053849674289,71.24341372532815,60.28992712410926,11.18356195896276,34.00853545289202,68.8258926060264
17,90.14814186652396,85.66065361944435,7.638607263270231,66.01103858311014,89.71015551915926,72.14341372532814,59.85964429157091,10.96716592357986,34.00853545289202,69.80925410444176
18,90.14814186652396,86.77376955078503,6.224957117519721,75.10501676411403,89.85841853208484,72.14341372532814,61.70384839370918,9.76445591005608,39.102267040467225,70.67767016491241
19,90.14814186652396,86.54317984032164,7.435163927061192,75.03881078381957,89.96388766252575,72.14341372532814,61.72923305445097,10.566693992995884,39.03623706937297,71.23917953590241
20,90.15289246928256,86.11430502880143,9.453696398060766,66.74763206309055,89.96341372532802,72.14814186652409,61.9619363823916,11.14442985199672,34.74235462921941,71.23870783429074
21,90.15289246928256,85.72641497777977,11.14599270963978,66.74933157310197,89.96837939666189,72.14814186652409,61.61324824572242,11.65072476284424,34.7440497068032,71.24365013238796
22,90.15289246928256,85.35396809154847,12.75430024393248,66.45056290969465,89.98141853208485,72.14814186652409,61.32157649442787,12.386105077529873,34.44666772633645,71.29267016491242
23,90.15289246928256,83.61334037035462,13.533939186803623,39.63574569261243,89.65449347199568,72.14814186652409,59.08900672738335,14.16563266326215,19.63107528485517,69.7298292649934
24,90.26814186652396,86.39033886975957,6.502605166402227,66.44990239810782,89.67265013238783,72.74341372532815,61.4300537104439,10.490882133422984,34.44600895527852,69.7839431288426
25,90.26814186652396,86.41503484829879,7.264737815014307,74.58401519957906,89.83189260602627,72.74341372532815,61.83543662821064,10.63184257231287,38.78143920581104,70.65126820040312
26,90.4387078342906,84.82361070548237,9.458109650817564,66.01103858311014,89.98243597244668,73.63402398497831,59.62895401551674,12.828703445377853,34.00853545289202,71.31771113765537
27,90.4387078342906,85.0211382026312,12.551492096676958,57.75986451139539,89.86843597244668,73.63402398497831,61.04723676775823,13.03454975624931,29.754575115201327,70.74771113765536
28,90.4387078342906,85.85384652841907,9.898030020639098,75.15136177338988,90.03865493914464,73.63402398497831,60.94194814689462,11.661439863106104,39.14848141423613,71.57790545946429
29,90.4987078342906,86.9043863165663,5.132276147495341,75.15136177338988,90.03865493914464,73.93402398497831,61.92883321996714,9.926346325928552,39.14848141423613,71.57790545946429
