gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,87.49703951986407,31.307226186054336,33.74074930917329,-4.641074617974487,85.84500440868983,60.133573311887695,15.963523157802106,19.741336985503768,-4.650885208496604,51.05274995924793
1,89.3763933782917,60.044983259598126,24.89206306568723,3.287784173966866,87.49703951986407,66.80956741322142,32.95821430767301,16.46744334569899,-0.715515814529313,60.133573311887695
2,89.3763933782917,68.2385165668205,15.998763919323158,39.2731522524128,87.16294702998916,66.80956741322142,37.38322635504679,11.78372826267683,19.269900217026425,58.863809598621
3,89.3763933782917,74.37445893845555,13.274489846113514,56.376022238510416,87.49703951986407,66.80956741322142,42.1925163859915,11.428587893140604,28.5739250953129,60.133573311887695
4,89.3763933782917,76.96532163370165,11.38253226971295,57.25379680945985,87.62819267619385,66.80956741322142,44.69374003749165,11.392585350681436,29.25060701409175,60.732669893153854
5,90.93454706086824,79.0461252588177,9.587136473714096,57.29093508896156,87.55703951986408,76.77057091248875,46.224079343515065,10.823695799487728,29.287624684198462,60.433573311887706
6,92.93833644349736,78.76941410577979,11.343334190921054,57.03306536054941,89.04064882557904,85.25250552318664,46.79292986772631,12.72129703889705,29.03050628674255,66.61991718305129
7,92.93833644349736,79.18577665556832,11.131374777952368,56.91947302703919,88.96705896328827,85.25250552318664,47.153992050143415,12.47225484069086,29.115825439776,66.40252068041883
8,92.93833644349736,82.08263225933098,7.438321545752168,66.46613310088468,87.62819267619385,85.25250552318664,49.52515776401459,11.152308375396652,34.46218769253888,60.732669893153854
9,92.93833644349736,80.6493450835866,12.982637280936242,65.98287662666033,87.563832167335,85.25250552318664,49.03368296836169,12.56903725865469,33.98044290023247,60.433573311887706
10,92.93833644349736,83.23210994104882,6.492434375039148,74.99291333091088,87.98163744998665,85.25250552318664,51.32588853218747,10.747804748720766,38.990455094181485,61.54117271649953
11,92.93833644349736,83.44671355221284,6.408748860893584,74.55769094953465,89.24951532395426,85.25250552318664,51.934028565181386,11.369017005598414,38.755172864008735,67.40448561350331
12,92.93833644349736,84.03658328424079,5.860264216834189,74.9862848439572,88.98393226873364,85.25250552318664,52.89831907355489,10.357408957071726,38.98384284030165,66.41931630548046
13,92.93833644349736,82.74298571298513,10.401674652389136,66.23311381963137,89.05669509194095,85.25250552318664,52.56083708392655,12.239043472767252,34.229989135227065,66.49173230259895
14,92.93833644349736,82.86077802107411,10.298165762812303,66.45878281172492,88.97521661127139,85.25250552318664,52.745828289706886,12.062036172147252,34.454863935919164,66.41064044609534
15,92.93833644349736,82.94890455320123,8.648947394167003,66.44771976659993,89.05669509194095,85.25250552318664,53.16913695172154,12.002174783871736,34.44383191486436,66.49173230259895
16,92.93833644349736,84.11053442855864,10.422786443967777,74.9812852787611,89.05669509194095,85.25250552318664,55.1212397132504,12.083559327837914,38.9788554384699,66.49173230259895
17,92.93833644349736,83.79176847053773,6.77394258308486,66.45287624743975,89.05719509610768,85.25250552318664,54.15517816962678,11.123901182518344,34.44897478413635,66.4922298191416
18,92.93833644349736,84.03935778959351,7.1031155656319855,74.51837140445,89.05669509194095,85.25250552318664,54.95874378378779,11.132327149579783,38.71597235909281,66.49173230259895
19,92.93833644349736,84.51176150180423,6.066763036431723,74.98604094103452,89.06360363410238,85.25250552318664,55.25989135225087,10.80118652192293,38.98359953081909,66.52263558420458
20,92.93833644349736,83.88495927345646,9.307699496702874,74.98604094103452,89.31244454818436,85.25250552318664,55.64257563826322,12.360775009332832,38.98359953081909,67.73143325637656
21,92.93833644349736,85.25840620874382,6.093708152094573,75.01329736762439,89.43858260458221,85.25250552318664,57.30164077029576,11.333206512293629,39.0107885825893,68.56581890487048
22,92.93833644349736,85.52812252523091,5.296964434093033,75.01354799471557,92.82133644349736,85.25250552318664,57.44895226951526,11.589701295312873,39.011038583110135,84.66750552318665
23,92.93833644349736,83.85570291733023,9.035158612195625,74.99315664039344,92.82133644349736,85.25250552318664,55.85085533317857,13.520194283489246,38.99069781310472,84.66750552318665
24,92.93833644349736,83.99971110317347,7.126718152234555,75.00541898607867,89.11432026729712,85.25250552318664,55.45096377398188,12.699167097022473,39.0029298565398,67.05368412926666
25,92.93833644349736,83.59748934847316,7.403445830745458,74.53532809802235,89.06337374863995,85.25250552318664,54.74725217832566,12.320696700942015,38.732888375384086,66.52240675085321
26,92.93833644349736,82.87221716185826,7.754457187894835,66.46292009087905,89.06193326054317,85.25250552318664,53.56923235072109,12.329805447490257,34.45897167751404,66.49694446901663
27,92.93833644349736,83.10802083837983,8.046138456860117,66.17147314532077,89.07648351252669,85.25250552318664,54.303387457746695,12.818773796676677,34.168533171935735,66.55948178918128
28,92.93833644349736,84.47358147221095,6.57205707703371,75.01354799471557,89.47877715951876,85.25250552318664,56.14476809663779,12.498542296937217,39.011038583110135,68.56977096362827
29,92.93833644349735,84.03047676292078,7.21559077199031,75.01230723625957,89.30319509610767,85.25250552318664,55.49524504486778,12.553778380778137,39.00980089615249,67.72222981914159
