gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,48.26342770252081,3.4832600833787626,15.531635057713698,-5.986827476385544,39.013547994715566,24.260207087820767,-0.6398985960018774,8.594411151417287,-5.989335950476321,19.01103858311013
1,48.26342770252081,11.20732672145238,17.72285184502804,-5.787658431067226,39.07514977692647,24.260207087820767,3.644212835907187,9.806823684396088,-5.790718910798216,19.07248054956609
2,57.01858578874552,24.194735979979686,15.941399943645372,2.888622666385921,48.035638021293,29.01606371931281,10.831842341003023,8.827101337614408,-1.113597007610903,24.033068877734973
3,66.14206684551654,32.256444487273995,14.462265840734624,3.228558876869984,48.70118560683202,34.139213776534135,15.293675508680248,8.010454833504193,-0.7745515455444085,24.497999919395355
4,66.14206684551654,37.09906783976427,10.706641768942752,21.24966061359748,48.70118560683202,34.139213776534135,17.976351325686586,5.921756947423946,9.246483936959148,24.497999919395355
5,66.14206684551654,40.58336651623853,9.152216595909223,21.269900217026425,57.01858578874552,34.139213776534135,19.90072466449466,5.071921599658177,9.266658723102251,29.01606371931281
6,75.17399989261955,42.19524600661603,9.778611932490074,21.269900217026425,57.01858578874552,39.17105438238979,20.79262569072312,5.420723885894956,9.266658723102251,29.01606371931281
7,75.17399989261955,44.98375219314425,9.371945006052078,38.06953606852359,66.02405060983448,39.17105438238979,22.341144408489683,5.207260895710885,18.267904518690084,34.02151399680457
8,94.85250552318657,46.43443750672535,10.705244161469858,38.52365122713853,66.12859144227419,94.84670840550224,24.031836154375384,11.09216052977863,18.52211297745795,34.12577649451728
9,94.85250552318657,45.10099121594957,13.900692237955909,21.231212437834785,66.12859144227419,94.84670840550224,23.73835426527237,13.869517059298078,9.228093757236868,34.12577649451728
10,94.85250552318657,47.93549669080049,14.06521560508094,38.88518242730512,76.15792517414785,94.84670840550224,26.21278326043718,16.52907816057508,18.882969669641568,41.95483708354526
11,94.9001335721758,48.74301717273206,14.136881785046665,38.61402169222323,76.15792517414785,94.89405452609942,26.660303678531104,16.489345458577915,18.612337995012787,41.95483708354526
12,94.9001335721758,48.75003638416387,15.348393535678396,30.01825309042644,94.85250552318657,94.89405452609942,27.10729793934947,17.994981501718755,14.015720504485005,94.84670840550224
13,94.9001335721758,45.92257552152113,14.065271830920414,29.149152160900364,75.12219365755031,94.89405452609942,24.639898606395448,15.349170858995224,13.347468868905532,39.119396450055625
14,94.9001335721758,46.2093140279505,13.359186634801985,30.57482329361102,74.98830979690854,94.89405452609942,24.806582841208765,15.133594554985104,14.767930577522351,38.98586169869353
15,94.9001335721758,48.1820913512123,13.985908305808367,30.16961852706723,76.10611893907861,94.89405452609942,26.3393944557051,16.498354405798494,14.166663120518908,41.90317915121109
16,94.9001335721758,47.91886050211247,15.119382851333738,29.61795469375446,76.10611893907861,94.89405452609942,26.1961641377264,16.82123616092809,13.81530341784002,41.90317915121109
17,94.9001335721758,46.25148349386559,14.355188328042074,21.20898264204494,66.12226421822037,94.89405452609942,24.3688759549292,13.956696899969543,9.20593194817384,34.1194670135993
18,94.9001335721758,47.18836570072466,13.081733615038155,30.19697518917352,66.01733076277776,94.89405452609942,25.345691124813328,15.000134328470942,14.193960894071756,34.01481150367272
19,94.9001335721758,47.27880309027865,12.370786957124158,38.45608815443521,66.08920335595947,94.89405452609942,25.39612876288491,14.809948866001529,18.45465033966558,34.08649699436173
20,94.9001335721758,46.64133579284348,12.330146464900004,30.25044803144588,66.09664061902248,94.89405452609942,24.5986705845592,13.321592224826286,14.247268882436304,34.0939125895044
21,94.9001335721758,47.289491210712,13.279337116705252,30.24019829973381,66.11221473830938,94.89405452609942,25.40677259088688,15.041590489389622,14.237050029413307,34.109444270605856
22,94.9001335721758,47.71702719901038,13.728979303017462,38.45608815443521,67.5453239860571,94.89405452609942,26.074375215567343,16.47047211449868,18.45465033966558,37.1424065520499
23,94.9001335721758,48.10220104728441,14.491525302282758,38.45608815443521,94.9001335721758,94.89405452609942,26.739512984270256,17.8388578769429,18.45465033966558,94.89405452609942
24,94.9001335721758,47.92177396542148,12.937041118428665,38.45608815443521,67.5297498667702,94.89405452609942,26.1990839741637,16.25302177439203,18.45465033966558,37.12687487094844
25,94.9001335721758,48.483834166900266,13.821140822838244,39.013547994715566,67.53232788734822,94.89405452609942,26.52109761438794,16.428805927076695,19.01103858311013,37.129445914466295
26,94.9001335721758,48.66021914474244,13.335971146729197,39.009218368274766,67.53232788734822,94.89405452609942,26.61748883623936,16.2911967999851,19.0067193524002,37.129445914466295
27,94.9001335721758,47.17272364565026,14.065681314796583,29.91117962232733,67.53232788734822,94.89405452609942,25.7700850308405,16.600660307069,13.908909237112482,37.129445914466295
28,94.9001335721758,46.99521286160942,14.118214524275407,30.08777460266404,67.53232788734822,94.89405452609942,25.672579794116874,16.62877631047672,14.085070943037715,37.129445914466295
29,94.9001335721758,46.82804854988496,13.913764671223246,29.96189098438985,67.53232788734822,94.89405452609942,25.585385818415133,16.58368786996986,13.959507758584657,37.129445914466295
