gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,74.74617118842453,11.28533091977318,18.46997019923594,-5.8261473828919375,48.79773579817455,38.74424995824664,3.8796460837058726,10.214836063615635,-5.8290924605938725,24.594204295918768
1,85.28379793739256,27.35086090414472,20.94834945124569,3.1912604880009603,66.61672461609334,50.08110614572686,12.881264957525074,11.820569893708036,-0.8117362381020168,34.413788492678506
2,86.99342407327508,31.98086913992563,20.102256386395744,3.575049982518597,74.74704414949312,59.79140997390337,15.72736075576942,12.22268000935286,-0.429345628954441,38.74512122908233
3,86.99342407327508,36.572674220855,20.226577997104886,12.408252518795472,84.6974617560228,59.79140997390337,18.431940118250903,12.756493413402358,4.404526211883235,47.97526866075868
4,86.99342407327508,43.059304575041786,21.79167838277959,13.18548903591758,85.80140997390338,59.79140997390337,22.231169946010688,13.898781031260024,5.177363042019827,53.83939992297535
5,86.99342407327508,51.03989673903619,21.43780340416616,22.508628687551948,86.03252904401317,59.79140997390337,27.0368187231532,14.300628778512603,10.497208961452037,54.99051672067244
6,86.99342407327508,55.209921117686406,19.312238264778337,22.581159392203404,86.00377910912346,59.79140997390337,29.11126385912136,12.80687485732121,10.569183201156688,54.84176418662484
7,87.59342407327507,57.30616382397931,18.78940933641081,22.581159392203404,86.61151067887195,62.79140997390337,30.575734955370017,13.064717321128098,10.569183201156688,57.88950042552175
8,87.59342407327507,59.91338102038311,18.310042785257405,30.152994559714493,86.9944424384163,62.79140997390337,32.60719114788137,13.594499916238496,14.15009951954488,59.79242626905407
9,88.39342407327507,59.88348835996866,19.763423945164345,30.152994559714493,86.9944424384163,66.79140997390337,32.87336450192478,14.54454223717057,14.15009951954488,59.79242626905407
10,88.39342407327507,61.527911495800765,20.25293880112378,29.32519442627489,87.0240310967318,66.79140997390337,33.90178821702432,14.80428895259872,13.523206974442845,59.82195226903718
11,88.39342407327507,63.68181088365056,21.170283015315675,29.395256542402684,87.23732770297201,66.79140997390337,35.72754718638249,15.653817836788438,13.592818429274828,60.15483103204233
12,88.39342407327507,64.79117402729375,21.030252128076867,29.874880876500672,87.61342407327507,66.79140997390337,36.90098542050251,16.02158250130258,13.87269603053744,62.891409973903365
13,88.39342407327507,67.33236111128925,20.77399435584245,30.179768921391105,87.61342407327507,66.79140997390337,38.818176276761214,15.977463340298817,14.176806393922108,62.891409973903365
14,88.39342407327507,71.89586907120699,18.49366901520293,38.86660195700336,88.27284235784836,66.79140997390337,42.917736658221166,15.668820047363756,18.86443510891826,65.91068334962111
15,90.25196501081936,74.96604234067229,16.84756666204315,39.15950529171442,88.02643190514469,75.04935744741228,45.123950359474456,14.797121191356393,19.156596803368235,64.86437083851744
16,90.25196501081936,76.4032682125119,16.589830593663038,38.88323257864128,88.4146821590486,75.04935744741228,46.2971554119527,14.657345448201164,18.88102941730663,66.85264266117385
17,90.25196501081936,72.18595270407714,19.38970874010033,29.877507190485613,88.0337913760995,75.04935744741228,42.69571706751234,15.719111651163749,13.875316609105797,64.9117358769174
18,90.25196501081936,74.10568319331604,16.53030963431508,38.877288371755625,88.847327702972,75.04935744741228,44.03159655299653,14.871477129261915,18.87509826814748,68.20483103204232
19,90.25196501081936,75.0410628021356,15.453281478856317,38.88410787451696,88.81858578874552,75.04935744741228,44.70291519757251,14.41832333399766,18.881902801958653,68.01606371931281
20,90.25196501081936,75.76170101021776,14.347876355895798,56.298221563900185,88.4146821590486,75.04935744741228,45.11956149918215,13.765647995582954,28.49629573885896,66.85264266117385
21,90.25196501081936,77.29733944670431,13.39134987790396,47.87248004748021,90.24935744741228,75.04935744741228,46.8152683737193,13.958158266898185,23.87030043016312,75.04675666571221
22,90.25196501081936,77.31654306945906,14.3930669568753,39.15626749372559,89.70000055098345,75.04935744741228,47.28245544910181,14.301589270517225,19.153368187374948,72.97780270736162
23,90.25196501081936,72.34114946964601,18.816037008260547,30.17695410451698,88.0046821590486,75.04935744741228,43.09098615597027,15.668599715617257,14.17399989261955,64.80264266117385
24,90.88110614572685,77.12896428204505,13.978082271963672,56.31450926492025,88.4146821590486,78.07842158035618,46.36688773672631,13.419405593939445,28.51254205114017,66.85264266117385
25,90.88110614572685,75.80445978885915,16.130092126107876,39.17680639392211,87.99579810018673,78.07842158035618,46.13837896219869,14.649290255177345,19.17385261710806,64.79377910912345
26,91.25457939139343,79.73466355321584,11.73810729136998,56.74233241211736,87.99579810018673,80.05196501081936,48.628607714710704,12.01416557688374,28.74041853593508,64.79377910912345
27,91.25457939139343,78.38650662800707,13.620393720890045,47.872804372941694,87.99342407327508,80.05196501081936,47.48044600713602,12.84064439351194,23.8706240558884,64.79140997390337
28,91.25457939139343,76.90960523091412,16.652120569393787,38.32918137122634,86.99242626905408,80.05196501081936,46.45151757116141,13.743848294832642,18.52718588637129,59.79041415653393
29,91.62619038813074,77.3439106394905,14.626151229228967,47.714906345217706,86.68284235784836,82.02364909070207,46.18174435871425,12.71477168487209,23.91198175881541,57.96068334962111
