gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,65.14881507250625,8.62831776953979,15.293821250419276,-5.861211757949261,37.99279989440297,33.14775743094812,2.472792760882805,8.410447441201823,-5.864055506291963,17.991861694498045
1,65.20429422482648,17.66293038299655,15.36643821371482,-4.997548975373182,48.33864326390879,33.20317628172514,7.338753943077088,8.414995111346464,-5.004280755352999,24.136426637257745
2,65.20429422482648,22.498014038790565,14.286231650906188,3.678561252708541,57.14284540066774,33.20317628172514,10.013906398278626,7.783893924388995,-0.3263130666723131,28.94101182453521
3,83.4998092916881,27.45023649002845,16.258200752506127,4.130685415493935,65.14881507250625,45.578916035710975,12.768076667611648,9.01443082862865,0.1230299817997815,33.14775743094812
4,88.8741089251166,30.494852748900083,18.29999198839,11.422565753246916,66.06636478346529,71.83306671553828,15.042462395774647,12.423138346539924,3.620289517027116,33.76931536118622
5,88.8741089251166,35.6232128504451,21.070564298774684,12.709918428907772,85.30602240322067,71.83306671553828,18.3295421970493,14.776258524265751,4.704883411805799,53.44482508361465
6,88.8741089251166,38.09161158081673,23.63181254913586,3.486571253835017,85.30602240322067,71.83306671553828,19.77362439996488,16.032561962244028,-0.5174528964647074,53.44482508361465
7,88.8741089251166,41.69764315749581,22.896167440791164,12.234652402564713,85.59144422052645,71.83306671553828,22.067042312540952,16.33321386989678,4.231522997839416,55.21834628956413
8,88.8741089251166,45.73556303124944,24.401725634730813,12.349908147997573,86.49071109817321,71.83306671553828,24.69316264100469,17.53480068093691,4.346386518269005,60.10171605957726
9,88.8741089251166,50.223873724303495,23.618418281754803,12.76942756570958,88.8741089251166,71.83306671553828,27.477668772826256,17.471281575670393,4.764071550113001,71.83306671553828
10,89.2353882723321,52.609905654776,27.226260700153126,11.154925561492234,88.8741089251166,72.9141390529318,29.362227475816624,19.590117301612068,3.35319648698748,71.83306671553828
11,89.38621116206669,57.87781285658619,25.197098559962065,12.992975662500202,88.8741089251166,73.0647587289865,33.226588464399136,19.535112502196867,4.986211126405457,71.83306671553828
12,89.38621116206669,61.07105904544233,22.794669202425943,21.472334543660818,88.87902344816318,73.0647587289865,35.24465756753428,18.5820420249904,9.468355902054284,71.88598812065726
13,89.38621116206669,65.11091927722083,20.80612964473209,29.42467133207748,88.8741089251166,73.0647587289865,37.73028703515894,17.29828847666865,13.423277920165557,71.83306671553828
14,89.38621116206669,66.10518133977119,19.86323652413015,30.167678789063658,88.22721489446445,73.0647587289865,37.63662203831033,16.00542600738298,14.164743565352328,69.1222990008369
15,91.06610930364776,66.82786687480618,18.06267589099587,38.23166926032617,88.9930899748491,81.22456728329603,38.46575366941879,16.12239029107022,18.230520192794373,72.90015801347131
16,91.06610930364776,64.95947126163631,20.715398970155245,29.497292421236327,89.30689328355416,81.22456728329603,37.9229477518502,18.01328517605613,13.495794051111968,73.13261010540565
17,91.06610930364776,67.34266428226482,18.600092664816284,38.3540426513497,89.38483135064038,81.22456728329603,38.70378231251456,16.47163595909957,18.35274334558293,73.06338091873775
18,91.06610930364776,69.85206180375198,19.873400784911105,29.661768714350085,87.95845354039162,81.22456728329603,40.486760149686894,16.60772967357701,13.66000268314544,66.55264556271122
19,91.06610930364776,70.64678460785403,18.902737211005697,38.3317854626868,88.22684420561899,81.22456728329603,41.75032811252102,16.831221389637907,18.33051543337411,67.56149289970567
20,91.06610930364776,72.06544539060411,17.336670778329818,38.456922531270735,88.54001932300118,81.22456728329603,43.33944525905251,16.81526609324546,18.455482981531592,69.61482427804668
21,91.06610930364776,75.69277330416179,15.64322404520881,46.53973835986119,89.64451946939558,81.22456728329603,46.41878903332926,16.094507956230537,22.73882478162092,74.55913831875671
22,91.06610930364776,77.95052567741236,12.5937122525415,47.514661832966326,90.49951946939557,81.22456728329603,48.65502285603585,15.045464671665998,23.51313454487755,78.8341383187567
23,91.06610930364776,79.2967604431093,12.447649738136214,56.22629426087684,90.49951946939557,81.22456728329603,49.956368750047,14.843204002752136,28.225151460430013,78.8341383187567
24,91.06610930364776,76.38920863307936,16.39171035339762,47.23202630421842,90.66564438431354,81.22456728329603,48.39592486582842,17.05996720310428,23.23087651240736,79.22810461941972
25,91.06610930364776,77.20980339861744,14.348745339123218,47.27542305644712,90.49951946939557,81.22456728329603,48.64459539975123,15.982777416113674,23.274222705873257,79.05368197181723
26,91.06610930364776,75.50152629080671,13.881470019688374,47.292349290484616,90.46115572389074,81.22456728329603,46.18835846882609,15.413990061050349,23.291128498298523,78.71988119709992
27,91.06610930364776,78.6913189254079,13.05462416550615,55.72840911039216,90.48497624148295,81.22456728329603,48.96135765528055,14.748570187913762,27.92731932774775,79.02368197181723
28,91.06610930364776,76.41927240042529,15.450402509285157,47.12339238022932,87.60974472933634,81.22456728329603,46.30365561886961,14.39577447166154,23.12236125582454,65.08458530891673
29,91.06610930364775,74.37065600258794,19.805449106250723,29.46078640554605,87.6086801664051,81.22456728329603,44.92226369624348,16.36853689537964,13.459341808868386,65.08458530891673
