gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,39.12226421822036,2.5259802734444925,10.67652713940226,-5.984187537497324,21.625447536208373,19.11946701359929,-1.0385118890075216,5.88666777820232,-5.986702632375615,9.62082395738884
1,39.12226421822036,10.239528252294392,11.256993488582015,-5.3706380281276624,30.420459210155776,19.11946701359929,3.2352018566795686,6.222735890670541,-5.375278407684165,14.416692015358077
2,48.22544845445559,18.29789383491392,11.20030078665115,3.1498180562038187,39.16344954860111,24.222347676777343,7.693833845726285,6.195965407482797,-0.8530572014424395,19.16053486749712
3,65.52302763711032,23.248021146731823,11.43255143511892,3.933641925435917,47.936560313168826,33.52149035779143,10.443983676388266,6.281677588260002,-0.0726582682203467,23.93423606640811
4,74.37593477220011,27.04033742346208,14.366774185761235,11.435450353540276,57.32447963850035,38.37460763199204,12.51659369493686,7.877918941112291,3.633203433366786,29.12228931426341
5,87.62094413794124,31.10971897132905,18.21244169999549,3.494263603556006,66.19053468569774,65.29982993169796,15.249473616907355,11.84055776174463,-0.5097915646198139,33.98861827941718
6,87.62094413794124,36.51731876079676,17.07134603578882,12.632869199238415,73.87042893300342,65.29982993169796,18.217287110582063,11.16693789454054,4.628212495961103,37.86962183521474
7,87.62094413794124,41.63854941055504,17.44803651548104,20.99348012772834,74.3846145124829,65.29982993169796,21.09167684624196,11.402328034403943,8.991019231201703,38.38327480267058
8,87.62094413794124,44.34916288614132,15.72439274518385,21.609361945156472,74.3846145124829,65.29982993169796,22.669535089399503,10.816770639625268,9.604808592400447,38.38327480267058
9,87.62094413794124,45.97015185287755,17.64020585308328,21.62010264645954,84.24648490566992,65.29982993169796,23.757832251888534,12.073454695581528,9.615504937210911,49.07353010178224
10,87.62094413794124,52.58345968691473,17.65861950108907,21.679956692114395,85.14350389396675,65.29982993169796,27.796251715868124,12.576681222984629,9.67507591153304,52.62256108610077
11,87.77453996374472,52.456855520328666,18.25944802960284,29.327164611208687,85.82004198238799,66.17345477644355,27.83540652615345,13.208089126352878,13.525133777339596,56.86307472777891
12,87.77453996374472,56.64580812788304,17.04891886154977,30.318853010296543,85.75699930206103,66.17345477644355,30.100615485758617,12.394123381458456,14.315431528943607,56.54803208385309
13,87.77453996374472,53.03848147239903,19.100247163385056,21.580328549128826,85.15211981781134,66.17345477644355,27.90035712577204,13.041123159916053,9.575907162748484,54.73140284785433
14,88.13345477644344,58.17801912484548,18.465480048386905,29.433460136436512,85.4225251740298,67.9723707654973,31.010606818938623,12.975908016279789,13.631200958238905,55.0015882466162
15,88.13345477644344,60.959650201928895,20.685302432041087,21.71221341448421,87.130965895351,67.9723707654973,34.02116105183673,15.876398986824832,9.707156373215415,63.61123653087265
16,88.13345477644344,64.58922471760854,18.65009501590989,30.358512127246712,87.06779374734836,67.9723707654973,36.23494260174616,14.770058736269435,14.354897470126303,63.09082400498269
17,89.73024671835522,68.5862343841229,16.586271245811066,39.16767878906366,88.13345477644344,76.28924921203823,39.67926367902664,15.08768348075226,19.164743565352328,67.9723707654973
18,89.89829930534798,69.86567429000165,18.48265521108025,38.40922949858944,88.28843844823709,76.45711936420825,41.49398719679655,16.76227675515279,18.407856513727783,68.54130170683959
19,89.89829930534798,69.61437063877148,20.416538314541977,20.71713790771168,88.7362754261594,76.45711936420825,42.22111129352216,18.44509528446235,8.71527149795411,70.99919467260881
20,89.89829930534798,70.92593582087623,19.811984058584287,28.83712956665384,88.79959512939514,76.45711936420825,43.89838244783122,18.801532394920017,13.035846902870857,71.60258838265273
21,89.89829930534798,69.73063127246664,22.717417140728354,19.65469765718944,89.25559512939515,76.45711936420825,42.67425407211542,19.475960177642463,7.853649681685408,73.78063067492909
22,89.89829930534798,75.8410346122087,16.82476712532282,38.7342775321673,89.3962950294963,76.45711936420825,47.23281021417616,16.72835257539274,18.73237730873288,73.99872032659485
23,89.89829930534798,77.84087790421847,13.407401755083592,47.472652807619,89.63885592529829,76.45711936420825,48.44465240628909,15.26455736307666,23.47118373584853,76.10225452820663
24,89.89829930534798,78.03002544738955,13.977993479102912,47.29046939564381,89.63885592529829,76.45711936420825,50.22101634094231,16.058484279140494,23.289248529502785,76.10225452820663
25,90.57376659764128,78.25649077008659,12.966921400680777,47.14067291063955,88.98336149233208,79.77256827514927,49.84911297367836,15.323098082819634,23.13962336218157,72.57836961812563
26,90.57376659764128,77.05986000014006,16.245045101201942,46.48069386009754,88.63347167194007,79.77256827514927,50.10363731781003,17.06759590500991,22.679834689406423,70.35728336166622
27,90.57376659764128,80.05368905824943,13.34441507986835,47.26168714447012,89.63242351733244,79.77256827514927,53.0822504839474,15.591861259586285,23.26050318129481,75.29598315787482
28,90.57376659764128,79.55229257666915,16.15977974923807,47.29979700069026,89.63242351733244,79.77256827514927,54.08243158534181,17.05538905949708,23.29856705211661,75.27740072321345
29,90.57376659764128,80.26143020594274,14.190517375772542,47.33606415680418,89.65456927052728,79.77256827514927,54.071573864638005,15.841765059157566,23.414111422067634,75.27740072321345
