gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,48.01606371931281,7.464383259098928,13.3080887841748,-5.869296913133774,30.70832877971608,24.01354799471556,1.6999830531552265,7.344451395527405,-5.872117789475416,14.50506423338624
1,48.01606371931281,14.901654756691098,12.84767619132743,-5.372688429314032,38.90983433261398,24.01354799471556,5.817459712892153,7.08668464469287,-5.377319507410178,18.907571832056995
2,65.4589700008101,22.17416308229804,13.558208677843382,3.483445235985951,55.88880017225382,33.4575280394932,9.8103419344965,7.441070917138702,-0.5205667429407831,27.88798175479827
3,65.4589700008101,24.126589046755964,14.42774643942952,3.5142182073860235,56.26202319831525,33.4575280394932,10.882851616787596,7.915519671211871,-0.4899195197361345,28.26082720359797
4,86.96829629311266,26.477046650779883,15.268933902908788,3.891029174157688,56.82102940960546,63.9276016074301,12.572394045521,10.057151324768917,-0.1150069755266027,28.81895897253445
5,86.96829629311266,29.96981760291645,16.861016544614717,12.61763023268884,65.4589700008101,63.9276016074301,14.753389244299829,11.640676918250287,4.613043590172653,33.4575280394932
6,86.96829629311266,31.12506696519595,18.782801775966643,11.809381151295536,83.60172830543921,63.9276016074301,15.567167076731016,13.053879314171434,3.807333907218416,44.82850336471228
7,86.96829629311266,32.2785368358898,20.36488307326028,11.799994070082372,85.14709777430619,63.9276016074301,16.410451252784434,14.29861409253502,3.79796230499875,53.442114462809016
8,87.79421387051876,38.675672258747554,22.12706686438484,21.462247651668307,86.96829629311266,67.39339386227286,20.55028266867981,16.18450036516032,9.458314789586929,63.9276016074301
9,88.30735835882794,41.176038436195256,25.53889461080796,11.815851109062518,86.9775428694844,69.10634364539752,22.79895366727145,19.072962254995065,3.8137913760995055,63.948843563499125
10,88.30735835882794,45.96315736454547,26.76591623837198,11.618656758005171,87.15724308101316,69.10634364539752,26.480257909355352,20.587884772139585,3.616964357612625,64.35645269993749
11,88.30735835882794,45.91028888456929,26.80835031352432,11.39308027137004,87.45299351766963,69.10634364539752,26.615436676069947,21.053125509521145,3.39173019504974,65.68417287010656
12,88.30735835882794,52.72617522067801,27.119821007232787,11.285547577567188,87.81987109493421,69.10634364539752,31.26520755017251,21.637746313791144,3.2843350372704343,67.47904135142909
13,88.30735835882794,58.55762149885406,26.01746601642732,11.798441838998274,88.30735835882794,69.10634364539752,34.97673014814218,20.87118927666559,3.796412365397864,69.10634364539752
14,88.30735835882794,60.42926134897424,26.87408901367792,11.815851109062518,88.30735835882794,69.10634364539752,37.110161431421545,21.85711252074615,3.8137913760995055,69.10634364539752
15,88.30735835882794,62.88281289321854,27.246586957170045,11.781193362790347,88.30735835882794,69.10634364539752,38.88785143161899,21.66734817010384,3.779199183646633,69.10634364539752
16,90.22440739160372,67.49034917150257,24.47064903759997,11.504896750877942,88.30735835882794,78.94345455684856,42.77393962089436,20.31897942097732,3.7964850926834135,69.10634364539752
17,90.22440739160372,71.15023880830658,23.57200147695744,11.50677961290972,88.30735835882794,78.94345455684856,46.71479934935335,19.81680756309693,3.8137913760995055,69.10634364539752
18,90.22440739160372,71.9127617710162,23.72067825983704,11.498604306055316,88.29635281694841,78.94345455684856,47.40933480653591,19.79106293479464,3.790201255000994,69.10634364539752
19,90.22440739160372,75.78868452905655,18.89649768240123,28.97312309018777,88.33116040105968,78.94345455684856,50.93249690253548,17.192758866328568,13.171652185606984,69.72625196846836
20,90.22440739160372,75.66722309765775,19.449586870733054,21.58178105125312,88.31340914603393,78.94345455684856,51.699884407226,16.939572364947864,9.577306275554484,69.13639438106904
21,90.22440739160372,77.03846377015103,19.01401622140855,28.92352557694168,87.86511730062436,78.94345455684856,52.45666951409569,16.24139816160839,13.122117762004097,67.55054335658784
22,90.22440739160372,75.51670407947923,19.387612079893373,20.53528326641608,88.06687345821302,78.94345455684856,50.95419183100707,16.972285335745784,8.533727004020715,68.19392953187783
23,90.22440739160372,71.52823823580566,24.02590889308616,11.801596037769604,87.95012221972804,78.94345455684856,47.2952840540057,19.693703643366167,3.799561832105401,67.70785685083871
24,90.22440739160372,73.2390947583675,22.6890284360423,11.815851109062518,87.8509620654925,78.94345455684856,48.25094276844294,19.00510667291876,3.8137913760995055,67.55054335658784
25,90.22440739160372,73.64500922664978,23.28597788586751,11.815851109062518,88.25360572717094,78.94345455684856,49.780032126308754,19.87267617189368,3.8137913760995055,69.07664974694757
26,90.22440739160372,75.26350633588012,21.75023268831394,11.815851109062518,88.2984178527068,78.94345455684856,50.42335834098129,18.62986791345838,3.8137913760995055,69.2654520903301
27,90.22440739160372,80.52388124442345,15.206837074626057,64.8845569243496,89.0449267800465,78.94345455684856,55.32060808676937,14.209927768263167,32.88374462475504,72.51983973841025
28,90.22440739160372,80.87970012652814,14.706823179606776,63.929141835605805,89.48485057359089,78.94345455684856,55.81159094211346,14.551197276100078,32.32837292004483,74.42367933621667
29,90.22440739160372,81.55130551196773,14.953325605435019,49.6831158892857,89.05691631894341,78.94345455684856,57.509583183421476,13.925326722337672,32.42728005554923,72.62784220492871
