gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,87.18667673282853,26.024418046901825,32.74266938915365,-5.437136881249954,75.27397328892341,58.623246197731845,12.781695462941215,18.593761454408543,-5.441489627286678,39.27071856589964
1,87.69289246928255,52.73009594892204,24.68355929174014,-2.70805020110221,76.05092447247138,59.84814186652407,27.46949511789346,14.695960171911697,-2.772588722239781,40.4190110954636
2,87.87289246928256,62.09182596891994,15.157388048595903,38.56526794667292,87.15457908513002,60.74814186652407,32.731010401182544,10.19242584648362,18.76275071101141,58.59125664338058
3,89.48835394814499,67.46782872825327,12.135794009881188,47.661739080433655,87.53025675149502,69.08389959779574,36.30774006089504,9.903404768649455,23.85885980160567,59.69822680115114
4,89.48835394814499,69.20365666774694,10.009471046699266,57.057200624873296,87.64425675149502,69.08389959779574,37.36116336804545,9.152371659351063,29.054579391393425,60.15446212624128
5,89.48835394814499,70.75674306499714,11.097027479676932,57.25379680945985,87.99889246928257,69.08389959779574,38.65820212168925,10.04777248671398,29.25060701409175,61.37814186652407
6,89.48835394814499,73.4875762062812,9.970020431542528,57.25379680945985,88.35289246928257,69.08389959779574,40.98172552948104,10.51391561167896,29.25060701409175,63.14814186652408
7,89.48835394814499,74.93851739731598,11.034519880698271,56.82791944881146,88.36505625556715,69.08389959779574,42.583020294698734,11.465813565886585,29.024644810751443,63.23233176614112
8,89.48835394814499,73.40043351488039,13.62091717621906,48.26004656894767,88.42205625556716,69.08389959779574,41.32976754181822,12.097973916639551,24.256831978819704,63.49632142166315
9,90.3787078342906,74.7197850441391,12.728195829140022,48.475575627298376,89.00926743067009,73.3340239849783,42.95216967930569,12.60923444623507,24.47159113348457,66.2643163737354
10,90.3787078342906,76.84890168941475,11.232302533551342,57.49861751803849,89.55031637373528,73.3340239849783,45.48758092464652,13.083315318267516,29.494542161964663,68.989389711625
11,90.3787078342906,77.72223728974116,9.847513388886354,65.59582141271841,89.25432142166302,73.3340239849783,45.885745209792205,12.01814938370532,33.793192811920015,67.6615777978255
12,90.3787078342906,79.74287682430952,9.09176351419479,66.01103858311014,89.38884752008912,73.3340239849783,48.306313899449904,11.94543318655106,34.00853545289202,68.33271113765535
13,90.38341372532804,81.10661790812344,8.573486438955337,66.55335178193499,90.3787078342906,73.33870783429073,50.60913899020738,12.91669212951082,34.549026452962345,73.10856153659294
14,90.73173230259884,82.86135586743765,8.779488850425563,66.05552304816474,90.27367016491228,74.88679402095838,54.43252324222679,13.368486009290658,34.052906133578695,72.7610777936588
15,90.97669509194095,85.80718032884747,6.9415546823720495,75.03860954935863,90.381682633452,76.09173230259897,60.04444054194654,11.988073081576914,39.03603653157296,73.10856153659294
16,90.97669509194095,86.67075483831894,6.329798375089598,75.06631680494321,90.38919517110882,76.09173230259897,61.928787148853615,11.167940141774755,39.06367154698047,73.33690940085934
17,90.97669509194095,87.30591186925844,6.042141795138086,75.17996373539378,90.55726743067012,76.09173230259897,63.731774086468,10.40096100845366,39.17699968825398,74.00431637373542
18,90.97669509194095,88.34739134463437,5.239845873153564,86.66982822853991,90.63090545946416,76.09173230259897,66.40272222600474,8.214919490122961,54.74515247060511,74.55817843077628
19,90.97669509194095,88.4535291209552,4.84087142094279,86.4328282285399,90.57390545946416,76.09173230259897,66.98250743600512,8.604739515002763,53.77634334406403,74.27317843077628
20,90.97669509194095,88.1984866522684,9.57349424747341,86.66689246928256,90.68365013238784,76.09173230259897,67.57404690163432,9.76947220627633,54.71814186652406,74.8389431288426
21,90.97669509194095,88.62417959751278,5.448564072339803,86.66089246928256,90.68607779365868,76.09173230259897,68.22033638643619,8.686926514520268,54.688141866524056,74.84135905770614
22,90.97669509194095,89.22997439293496,4.068232755740137,87.32448714040247,90.74837939666187,76.09173230259897,69.63652842364677,6.98665119414002,58.48426982002864,75.14365013238796
23,90.97669509194095,87.33110064084174,11.71682988965855,83.58544047265133,90.78738971162488,76.09173230259897,67.39771612888258,12.167383975876747,43.98142053777959,75.19448720509706
24,90.97669509194095,87.84685436046689,8.063488497983403,66.62050623699284,90.86365013238782,76.09173230259897,67.60228802943075,10.883423119815951,34.615905923885286,75.7389431288426
25,90.98669517527554,88.64220131219663,8.083469153307714,87.62405365823732,90.8735695277948,76.10168263345214,69.8839425012259,9.493685168722571,60.89669132643725,75.7608296541917
26,90.98669517527554,88.55777238667464,10.991723821551806,88.1107758316572,90.8735695277948,76.10168263345214,70.54952864667897,10.24616118628979,63.33942289618576,75.7608296541917
27,91.09402398497818,90.00412896180062,2.5226789485736325,89.28038299879125,90.86814186652396,76.92936197187251,72.26583893671902,5.278343642380692,68.10519236105533,75.74341372532815
28,91.09402398497818,90.155028537916,2.469711779484167,89.51542237374323,90.98193326054316,76.92936197187251,73.02314218780405,4.505613632239006,68.85854615917361,76.09694446901665
29,91.09402398497818,88.79186271329503,7.268251609413604,87.48648714040247,90.86814186652396,76.92936197187251,70.63360880564227,9.333851662266609,59.294269820028646,75.74341372532815
