gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,90.84188000615582,31.78719193541848,36.03406983286244,-5.733824372443332,87.03189099992196,75.47699002086176,17.20914553551204,22.89896652740058,-5.73705384213224,58.10865510081977
1,91.05173296930548,59.89607908862071,23.847353977990977,-2.70805020110221,89.64073702225608,76.40669517527569,33.62074452222603,17.58713911941712,-2.772588722239781,68.12990871147491
2,91.05173296930548,68.7938419018418,14.219721493327308,56.592417658486895,90.10326625757943,76.40669517527569,39.16632335694236,14.077357699610111,28.78983160290365,70.47466770968502
3,91.05173296930548,72.92470077957024,12.723201398868971,57.25379680945985,90.81324032114802,76.40669517527569,42.58521648105085,14.347040933254576,29.25060701409175,75.22020991755498
4,91.17679627126203,75.99989523711007,12.798816674831862,57.25379680945985,90.85248044623268,77.01173296930563,46.047336670625135,15.102267398223724,29.25060701409175,75.48753845158308
5,91.17679627126203,79.39332927186605,11.188863036642434,57.585403046178776,91.03719509610768,77.01173296930563,49.66784353146736,14.689992131952812,29.58095149807265,76.39222981914162
6,91.17679627126203,82.63467422364714,8.82662351478868,66.02301856532247,91.054481079604,77.01173296930563,54.409732580481744,14.726728967955388,34.020485295988536,76.42144454818451
7,91.35679627126204,83.51461030693845,12.043987567568193,66.01103858311014,91.10720023007488,77.91173296930562,57.25602041607013,15.673192808347878,34.00853545289202,76.70218515024482
8,91.41173296930548,86.3982482708978,6.5486051113178485,74.77281389443849,91.11979627126205,78.20669517527567,61.99844227956139,13.4523995930275,38.9697131906058,76.72673296930563
9,91.41173296930548,86.83532786940197,6.308760693718571,75.23044437357672,91.17979627126203,78.20669517527567,63.374724737001095,13.414599239715873,39.22732804548821,77.02673296930563
10,91.41173296930548,87.06020397894359,9.434889037796514,75.24062726502689,91.2347329693055,78.20669517527567,65.52420812550075,13.825325530970725,39.23747913020233,77.32169517527568
11,91.41173296930548,86.77496786371061,12.957732380945435,75.51739777722777,91.34694706497704,78.20669517527567,66.39889969584416,15.136767855393645,39.51324029087309,77.9019332605433
12,91.41173296930548,88.99240354233389,4.833860367125284,75.59405348016458,91.35173296930547,78.20669517527567,69.90597200508893,11.551123709593664,39.58957328342931,77.90669517527567
13,91.41173296930548,89.15559751840284,4.988671160619416,75.53172933223806,91.354481079604,78.20669517527567,71.05068589365293,11.426229796241971,39.52751968241552,77.9214445481845
14,91.41679627126204,88.83871873798587,5.220488128339025,75.52710301333757,91.40669517527554,78.21173296930561,69.48021847763177,12.626372717706134,39.52291273935723,78.20168263345212
15,91.41679627126204,87.70686177739232,10.68725441705842,74.8346362285275,91.354481079604,78.21173296930561,68.49094223457953,14.479555455088436,39.03134229564787,77.9214445481845
16,91.41679627126204,89.04698655973074,5.465697537734061,75.2731522524128,91.40669517527554,78.21173296930561,70.92129027414359,11.581749320812255,39.269900217026425,78.20168263345212
17,91.41679627126204,88.14232915561244,7.491233919393037,75.05324329966362,91.35173296930547,78.21173296930561,69.59903643262659,13.69235542702114,39.249151627815486,77.90669517527567
18,91.41679627126204,89.29384753098994,5.292539853619269,75.51873995065809,91.354481079604,78.21173296930561,72.09289364207417,11.247630068746474,39.51458450191922,77.9214445481845
19,91.41679627126204,90.24850698204826,3.641934520729965,86.69776486744766,91.40669517527554,78.21173296930561,74.42670726875191,8.378967797679476,54.65274331378356,78.20168263345212
20,91.41679627126204,89.46501509404663,5.187400584801204,75.51499602687605,91.41173296930548,78.21173296930561,72.56728225198785,11.490825155258287,39.51085608798412,78.20669517527567
21,91.41679627126204,88.26379537318988,11.071687230487582,75.48773555324843,91.41173296930548,78.21173296930561,71.39809777519288,14.367466204974445,39.48369878121365,78.20669517527567
22,91.41679627126204,89.25426304661221,5.569990210553634,75.49570627261288,91.41173296930548,78.21173296930561,72.37257949774151,11.96613752112078,39.49163699610345,78.20669517527567
23,91.41679627126204,88.62303148394534,6.443013081460795,74.76559540146589,91.41173296930548,78.21173296930561,70.86860073457794,13.592238519148436,38.96251812656039,78.20669517527567
24,91.41679627126204,88.55449868830853,5.767201553527534,75.51520306650934,91.41198613440332,78.21173296930561,69.69364934535807,14.088499712556146,39.51106227384332,78.20694706497717
25,91.41679627126204,88.3586699318634,6.520204123031449,75.51499602687605,91.41679627126204,78.21173296930561,69.89700507836638,14.239357653978168,39.51085608798412,78.21173296930561
26,91.41679627126204,88.93917749825519,5.410430032107848,75.52311977899053,91.40720023007486,78.21173296930561,70.7646750346048,13.01348931400559,39.51894613651727,78.2021851502448
27,91.41679627126204,89.40507899061302,4.8949580696309685,75.51499602687605,91.41679627126204,78.21173296930561,72.26334329401895,11.884816994900463,39.51085608798412,78.21173296930561
28,91.41679627126204,88.09625468941354,10.255495168814267,75.51106227384331,91.41679627126204,78.21173296930561,70.95215458989642,14.729720276086669,39.50693855665945,78.21173296930561
29,91.41679627126204,88.83269830882509,5.98587447394614,75.51065074888648,91.41679627126204,78.21173296930561,71.42058454766176,13.159090381379249,39.50652871829924,78.21173296930561
