gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,89.45879267830496,22.38290173906105,35.84059877483032,-5.798631020367665,87.13935834262664,71.93668519596552,12.91922993427286,25.43744864406601,-5.80165901013555,59.05645558296877
1,91.31959913428288,49.0187946596025,36.12765814148561,2.931793720628658,87.20792418649796,79.0759824938128,30.99158007521771,27.06803369025477,-1.0705198840778427,59.4010226798316
2,91.31959913428288,67.69193285911682,29.918822883346813,20.379971807542,87.25533005941054,79.0759824938128,44.08324912953988,23.018403351440472,8.577830395529901,59.63871170587039
3,92.29669509194096,78.29384604612916,22.57746251132481,21.26422654738944,89.28241543832928,82.69173230259891,52.36282478059901,17.79383399203113,9.261001059266658,69.86357256496957
4,92.33833644349735,84.33441264762637,14.434849758467,73.81973845199374,90.37950093013175,82.25250552318667,58.43691242768213,12.84682391488213,38.416794110530674,74.9803903961735
5,92.60355803717007,87.15531839335837,4.788568313515369,86.72894021636016,92.06869509194097,83.95825298494046,61.70258501442956,9.320764003649264,56.97799477120605,81.52977096362831
6,92.60355803717007,86.43981150445168,8.778992251399517,84.16407516373118,92.34225437591954,83.95825298494046,62.21111693763144,11.586657088007012,47.0217187345534,82.29750552318667
7,92.72355803717008,85.82538428372048,13.930720005423174,83.18142167259136,92.51925437591954,84.55825298494045,63.85737789317108,14.721706900475334,45.12830608950582,83.3217323025989
8,92.72355803717008,87.75788173788085,7.58949582771773,84.96850310812044,92.60355803717007,84.55825298494045,66.19218093295666,12.240287314251562,50.682935255216016,83.95825298494046
9,92.72355803717008,88.33087756650781,7.192271089223469,85.09561730379245,92.60355803717007,84.55825298494045,67.77629418836457,11.870817708505651,51.82320782666772,83.95825298494046
10,93.19605369405456,88.49553321935457,6.341464108041923,85.03772496185432,92.72355803717008,85.98936470590382,68.84559027746623,12.379907673808704,50.89610630523075,84.55825298494045
11,93.19605369405456,89.0708086777005,6.732668442777843,86.932565676505,92.90805369405456,85.98936470590382,71.16312295387344,11.91189386087053,58.66600422553856,85.41949242467354
12,93.37605369405456,88.9999103973798,4.825694522472911,84.60285287884959,93.19605369405456,86.88936470590382,70.46585165067404,12.078932245096317,47.556690984663824,85.98936470590382
13,93.37605369405456,89.68427399677556,4.080056315226096,86.26213266485838,93.19605369405456,86.88936470590382,72.82917110594532,11.267821927686953,55.7679233345695,85.98936470590382
14,93.37605369405456,90.09550285826988,3.818175256366816,87.0950469662896,93.19905369405456,86.88936470590382,74.32502898572389,10.721815553142696,58.89218029331732,86.00436470590382
15,93.37605369405456,89.0973319478051,10.642754819305242,86.23930381398361,93.19605369405456,86.88936470590382,74.05638169385787,13.357736696227954,56.19299566673067,85.98936470590382
16,93.43605369405456,89.15027238770182,11.96974593999354,85.58403361581942,93.25605369405456,87.18936470590381,75.34109872709995,14.333220835525715,52.40183894172239,86.28936470590382
17,93.43605369405456,88.15936806775333,15.277406043127908,75.16168983619501,93.19905369405456,87.18936470590381,74.68129998530061,16.624113951997405,39.15878030150655,86.00436470590382
18,93.43605369405456,91.04081315481606,3.279168844725996,87.39938819245947,93.37605369405456,87.18936470590381,78.05212135485955,9.94491322622437,60.68471309292816,86.88936470590382
19,93.43605369405456,91.1646399836601,3.207249669345985,87.41307397402961,93.37605369405456,87.18936470590381,78.64153727307001,9.410543040236517,60.77041085661023,86.88936470590382
20,93.43605369405456,90.16016438530374,9.302059280061384,86.9004154872353,93.37905369405456,87.18936470590381,77.28751043268727,12.80837330198143,57.701394202252246,86.90436470590382
21,93.43605369405456,90.23786723309009,7.362682659285241,75.15736377617525,93.37905369405456,87.18936470590381,77.56187662557872,13.383309737722556,39.15446668439579,86.90436470590382
22,93.43605369405456,89.9491774305613,9.721184595560498,83.76855952334382,93.43605369405456,87.18936470590381,77.62591059559674,13.726308810815194,45.71456072623632,87.18936470590381
23,93.43605369405456,87.89061219494864,14.35593460640602,74.66974712637673,93.43605369405456,87.18936470590381,74.89369015894435,18.35723479112496,38.86695694184715,87.18936470590381
24,93.43605369405456,88.00060881029133,12.887822124050055,75.13907152892752,93.43605369405456,87.18936470590381,73.93096813824398,18.15049124331533,39.136226980335145,87.18936470590381
25,93.43605369405456,88.76442286411474,12.196295789920375,75.11238385466253,93.43605369405456,87.18936470590381,75.3331577304659,16.81882836717192,39.1096083611437,87.18936470590381
26,93.43605369405456,86.49094721895122,16.21440829019914,30.20379050404987,93.43605369405456,87.18936470590381,73.19410191662287,20.46143632969892,14.200756059493647,87.18936470590381
27,93.43605369405456,88.49482144970769,12.523185731009422,75.0983627141321,93.43605369405456,87.18936470590381,75.88745015210003,17.707067836889447,39.09562129081503,87.18936470590381
28,93.43605369405456,90.9419131884912,4.530028953528745,75.15341692469782,93.43605369405456,87.18936470590381,78.88892050531368,12.28276425466721,39.15053133506176,87.18936470590381
29,93.43605369405455,88.60730010584471,11.55646799674705,75.0026463011092,93.43605369405455,87.18936470590381,75.33200329527938,17.33786789223651,39.00016327708362,87.18936470590381
