gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,92.00150296873416,39.69724805863133,41.06164651185729,-5.796057750765372,91.49061166337202,80.7959933129232,25.82105461396602,31.26241320041176,-5.799092654460526,79.48657125383502
1,92.69061166337202,74.51345967094984,27.77597340605013,2.224979852451388,91.49061166337202,85.48657125383502,52.81258241716416,24.783079966779656,-1.576943786143544,79.48657125383502
2,93.3361681949744,87.6649889832195,9.78593705838389,65.19725603716557,92.01089605559264,88.53193985886487,68.52413922164496,14.817373892819456,33.39540542884239,80.8053296554363
3,93.3361681949744,89.41216674565283,10.430349707730777,87.61951600496184,92.69061166337202,88.53193985886487,74.70365378679264,13.0995902570414,58.77385026742618,85.48657125383502
4,93.3361681949744,89.87593549685621,10.590065490726884,87.62951600496184,93.3361681949744,88.53193985886487,77.30373676810065,12.464293569346887,58.823850267426174,88.53193985886487
5,93.34041448585585,91.63774216426953,2.687977944620992,91.37377984105136,93.3361681949744,88.5361681949744,80.88953874917894,6.210455948570484,77.72835224419207,88.53193985886487
6,93.71859563501552,90.59059136049936,10.452965207677192,90.70579118862192,93.33638050951846,88.91240366476762,80.41031930824262,11.91597821202304,75.86201250870282,88.53215127567034
7,93.72482618476616,89.67221343240082,12.407305491811258,84.32894325138844,93.33638050951846,88.91859563501554,79.85197369601674,15.124324841269717,47.96268216038992,88.53215127567034
8,93.72482618476616,89.79783002892898,12.06803693101204,75.87967042247683,93.35932354331382,88.91859563501554,80.42552929301974,15.547265016121411,39.87370346598539,88.55497996846405
9,93.72482618476616,91.88045450945836,4.327784630292254,89.33343673326776,93.71271326328,88.91859563501554,83.22013191988988,9.47080791620558,66.88708950851337,88.90655749247195
10,93.72482618476616,92.2630422383762,2.6227076048116684,90.82382440248372,93.72482618476616,88.91859563501554,83.93872799722416,8.355663985084554,76.21981931534313,88.91859563501554
11,93.72482618476616,91.32794924189278,6.388196400422965,89.93804607214463,93.71271326328,88.91859563501554,82.45961964537119,11.557652330629208,69.97179495367536,88.90655749247195
12,93.72482618476616,92.3371873165302,2.505947875365996,90.57879720510704,93.71271326328,88.91859563501554,84.21276841307494,7.719809231577821,73.42415662961965,88.90655749247195
13,93.72482618476616,91.69071979084733,5.75244580931624,90.07109579777978,93.71271326328,88.91859563501554,83.05437721097665,10.334955457154573,70.62482618476618,88.90655749247195
14,93.72482618476616,90.81259829655389,8.145623028896296,85.93012234762743,93.71890716250306,88.91859563501554,81.88023557808943,13.425248592148307,52.2042808576094,88.91271326328003
15,93.72482618476616,92.0639336567748,4.087196814689912,90.70094765172648,93.72482618476616,88.91859563501554,83.67552405069992,8.737285442743511,74.5495070414616,88.91859563501554
16,93.72482618476616,91.2442890698815,7.2958798414918435,89.33343673326776,93.71890716250306,88.91859563501554,82.81590069024811,11.976379086105064,66.88708950851337,88.91271326328003
17,93.72482618476616,90.49271366425188,7.475580427635816,75.99765501853288,93.7124036647676,88.91859563501554,79.8162621913488,14.209881406333558,39.99095373565678,88.90624979919323
18,93.73109579777976,90.14563202192402,8.65397657541437,74.33029216645765,93.71859563501552,88.92482618476618,80.07717804712982,15.475005426698694,38.72717630030346,88.91240366476762
19,93.73109579777976,90.38160853553268,8.267974194065966,74.14667476523516,93.71890716250306,88.92482618476618,80.48914577340425,14.59141916084221,38.34502009260526,88.91271326328003
20,93.92482618476618,92.51590940316557,2.790874870231249,90.84704041507838,93.72513966541683,89.91859563501554,84.90323243386348,6.748948977943311,75.89407368455663,88.91890716250306
21,93.92482618476618,92.4394300400376,2.0825224321352187,89.3437541946517,93.73109579777976,89.91859563501554,84.06669154523941,7.776963447381242,66.93740496697303,88.92482618476618
22,93.92482618476618,92.7572845101324,0.8516919931109774,90.85072974010346,93.72513966541683,89.91859563501554,85.36067735716715,4.302391697040793,76.41852054102297,88.91890716250306
23,93.92482618476618,91.57377594894594,5.71723167171142,88.04306742907457,93.72513966541683,89.91859563501554,82.72922919338666,11.437601480203496,62.11888269934277,88.91890716250306
24,93.92482618476618,91.737677749611,6.022769608677582,87.60066548087308,93.72513966541683,89.91859563501554,83.38896502162862,11.328743148550044,58.67499317432998,88.91890716250306
25,93.92482618476618,90.95877202597484,11.315130232047826,90.04523574224199,93.71890716250306,89.91859563501554,83.21019391912651,13.454812910087742,72.64154132064101,88.91271326328003
26,93.92482618476618,91.88213814409512,6.550464277721921,90.76237888630936,93.70686709098436,89.91859563501554,83.78951736370924,9.588318354300242,75.35015149197243,88.90074707680539
27,93.92482618476618,92.46862910144772,2.938368466026057,90.84704041507838,93.73924373419575,89.91859563501554,84.76004538883033,7.535936551749221,76.44317193830047,88.97298548611003
28,93.92482618476618,92.58773218484788,1.4636465211090035,90.7773136704838,93.89559310903276,89.91859563501554,84.51110983605213,7.214210422799083,75.53890190519422,89.88954138281206
29,93.92482618476618,92.48148147512028,3.0715246427081655,89.66359745274139,93.89559310903276,89.91859563501554,84.73278457819562,8.803234589261962,69.97915660999479,89.88954138281206
