gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,84.69288973525114,-0.4952038374713294,10.28187883232074,-5.371330879860734,4.009567413221264,46.289572982625245,-2.48628554741486,5.807271482687292,-5.375968073790782,0.0027877262358853
1,84.69288973525114,3.611787252153917,12.833603146699168,-4.754444912774329,21.91141567989464,46.289572982625245,-0.1796083323563468,7.1600231031208414,-4.763021412713445,9.905266279878804
2,84.69288973525114,11.210771165461972,16.57620765281215,-4.624972813284271,48.28185850549941,46.289572982625245,3.98040166511184,9.1950831633838,-4.634728988229636,24.27857021721705
3,84.69288973525114,23.633763652624456,22.369906524194977,3.991563499311476,66.34265334014503,46.289572982625245,10.820360231448712,12.41695793667893,-0.0150968507826526,34.339167500585
4,87.81282822853991,33.75700791354065,21.98982617003723,4.009567413221264,67.42015364691365,60.6883539481451,16.738689876963313,13.20683198195088,0.0027877262358853,35.09607027795771
5,88.34835394814499,44.76317712159293,21.18169982831272,12.83499173278467,86.75305089685371,63.38389959779572,23.30209614216207,13.780472136503498,4.829293138335762,56.0652701740139
6,88.53282822853991,54.78107897820996,18.421040905169267,21.8988499584806,88.29877748263296,64.2883539481451,29.61706723144666,13.66762661877861,9.892775689958986,63.33453784581154
7,89.85679627126204,59.96497833945907,18.22674500148156,30.78459434636117,88.40874466048645,70.41173296930562,33.1906292839749,14.455226485364754,14.779175090608195,63.69630161084918
8,89.85679627126204,63.68778868198576,17.351282790768487,39.04476977043034,88.41457766216472,70.41173296930562,35.45027517800001,14.032775115729091,19.240706395069346,63.71412231531318
9,89.85679627126204,68.89813064585593,15.810390602079034,39.63196419715624,88.97900601016127,70.41173296930562,39.49261680822021,14.10623262022304,19.62731157068597,65.78963521621212
10,90.39679627126203,69.05974803720413,16.215867637068662,47.94097951697767,89.27454443146893,73.11173296930562,40.203737145548885,15.00313394300457,24.137302034444705,68.00607839915675
11,90.39679627126203,69.68369616104427,16.850950256313325,39.54893002248063,89.45408765938154,73.11173296930562,40.52289122749776,15.087640405043723,19.54464675576165,68.64132142166315
12,90.81679627126204,70.69725969794071,17.760807649770776,30.7770119882474,89.88379627126204,75.21173296930563,41.60286368293898,15.854099953503152,14.771634927010933,70.54673296930561
13,90.81679627126204,71.88290862760219,16.772904967565754,47.88627886773492,89.85679627126204,75.21173296930563,42.72931654099343,15.731810411212924,24.08280927147017,70.41173296930562
14,90.81679627126204,70.24675233914277,19.46059370555381,39.13412231531305,88.94102663067602,75.21173296930563,41.76516829400956,16.758400750197012,19.32968673058111,66.3045228992031
15,90.81679627126204,71.38688784981562,19.12876210535074,38.97867436272034,89.88379627126204,75.21173296930563,43.091732658497286,17.134728076761967,19.174873486547167,70.54673296930561
16,90.81679627126204,74.62378396508811,16.251294012466843,39.5641409190269,89.88379627126204,75.21173296930563,45.63818907537732,16.059332754204927,19.559792710355865,70.54673296930561
17,90.81679627126204,74.32475538427114,19.05926706762485,38.89953926975732,89.85960108116306,75.21173296930563,45.73756405597706,16.987445504021085,19.096020216494704,70.43855341416653
18,90.81679627126204,76.27297243936309,15.504759855911937,39.6472685701112,89.3431995987888,75.21173296930563,46.74344949239926,15.147194562370483,19.64254318294645,68.53092951438704
19,90.81679627126204,78.33647332305162,15.36389524326136,47.97197990542615,89.85960108116306,75.21173296930563,49.016490502078334,15.28343379814801,24.16820377994168,70.43855341416653
20,90.81679627126204,78.76782630278052,16.189298592947157,39.595552521775176,89.85960108116306,75.21173296930563,49.52618564558768,15.618189801372202,19.5910659315868,70.43855341416653
21,90.87679627126204,76.30382100224172,19.956442270861675,30.60676832299076,89.85960108116306,75.51173296930563,47.97577135973072,17.34508171808953,14.60223065336868,70.43855341416653
22,90.87679627126204,76.39130862587005,18.306315527399114,38.967512812522216,89.85960108116306,75.51173296930563,47.62807826071334,16.46083771363975,19.163741249138354,70.43855341416653
23,90.87679627126204,77.83098673912244,14.608995845152409,48.56294683705419,89.85960108116306,75.51173296930563,48.10223256962179,14.782925758119497,24.55860166370346,70.43855341416653
24,91.36506424239104,74.86349534832233,18.73408746045568,38.97020980907361,90.81979627126204,77.67964417492183,47.15382663310261,17.639915248122414,19.1664414829886,75.22673296930563
25,91.36506424239104,77.61620683058793,17.254943112360145,39.76874785301354,90.24308765938154,77.67964417492183,48.9938120601844,16.38954343226262,19.763403093951613,72.58632142166316
26,91.36506424239104,75.9991446011908,18.31174772246379,39.53633058430513,89.76060108116307,77.67964417492183,48.86150282878885,17.6498025742357,19.53210091300169,69.94355341416653
27,91.36506424239104,75.73790796275867,19.57215199227482,38.61556540128634,90.24308765938154,77.67964417492183,48.71782311354481,18.105997139706403,19.011410841112347,72.58632142166316
28,91.60506424239104,76.44917405197117,17.641554293275615,38.98564864932091,90.21289246928256,78.87964417492182,48.342762316384736,16.845982493444424,19.18182160204739,72.44814186652408
29,91.60506424239105,76.08402707969204,18.709359606509295,39.10736630642098,90.24608765938154,78.87964417492182,47.3280261267236,16.84232016844299,19.30304757423872,72.60132142166314
