gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,48.27968822339259,-0.7703774272927068,9.743650238632725,-5.592908404149772,21.90624979919324,24.27641489804762,-2.6970575834547166,5.352046289522737,-5.596626755218124,9.9001335721758
1,75.14206684551654,5.198660412402241,15.490549139565662,-4.976922024015028,39.26030928146758,39.139213776534135,0.5922387290509121,8.490430122656644,-4.983796745920383,19.257098338536
2,84.37463815194546,14.485615541241632,20.33101920320062,-4.624972813284271,57.829083890110326,45.49191706183119,5.702657529981256,11.274155505026576,-4.634728988229636,29.62546196237225
3,84.37463815194546,24.542876927982142,21.170050609698723,2.615058645584576,75.14206684551654,45.49191706183119,11.253424595907257,11.773378028306691,-1.187771951033127,39.139213776534135
4,84.37463815194546,32.96569974917291,20.70066677391437,3.5641409190268964,75.73511358181847,45.49191706183119,15.888125264547416,11.557475991617606,-0.4402072896441353,39.539826241091134
5,84.37463815194546,37.59341462169933,18.72221993808321,12.639661727304624,75.32602763194798,45.49191706183119,18.43602745666429,10.45190838120485,4.634970392104999,39.13184158298232
6,84.37463815194546,40.85410947540363,17.324863151810707,21.19471465503032,75.56243427291366,45.49191706183119,20.2170318175356,9.70832311072058,9.191707584869745,39.36766990636278
7,85.89616819497442,40.7352956044662,17.79655128977542,12.438120970903718,75.33789120621532,51.33193985886498,20.27406871133685,10.2617647670088,4.4342812698254415,39.1917055284766
8,85.89616819497442,44.92148956317812,15.703182650769309,21.58698289746209,75.22882051849537,51.33193985886498,22.56926047040612,9.110877441116624,9.582530411793485,39.22570894206974
9,85.89616819497442,45.02652435577031,17.68878776324851,21.3825061202618,75.24970047987821,51.33193985886498,22.63422011498345,10.153070466667,9.378878333483948,39.24652354622369
10,87.95598249381268,46.81851210426564,18.878331886275262,20.74394529377987,84.65597634227164,62.2723788863095,24.049476578082373,11.883697319183982,8.940889842303953,46.6730850929417
11,87.95598249381268,48.12786021028815,19.031025347040217,20.94807471244051,85.89616819497442,62.2723788863095,24.978013118215312,12.388211785122058,9.14438607989914,51.33193985886498
12,87.95598249381268,48.269190175102814,19.880255025253287,21.38301032621513,85.39500365472546,62.2723788863095,25.1159531190997,12.9129962066176,9.379380850276622,50.28006096616156
13,87.95598249381268,51.52817122569381,17.639511467831184,21.84491843890914,84.42345896346768,62.2723788863095,26.73350278768493,11.361025295476814,9.839146974365883,45.72072708487545
14,89.31289246928256,51.374300157743264,19.17661214549676,21.52926982002851,85.93814199061228,67.94814186652408,27.05710193841847,13.069109761947448,9.52507021305551,51.58996180432765
15,89.31289246928256,49.91003468112516,19.24774313535153,21.38200694806259,85.71709865621357,67.94814186652408,26.06960846261448,12.71547077720074,9.378380816941288,51.06974873614804
16,89.31289246928256,53.84172864731019,18.707783552114908,21.478313807314542,85.71935363926353,67.94814186652408,28.438827893209982,12.716829234155853,9.474322024716066,51.876390312175154
17,89.31289246928256,50.558691524615966,21.049448378827137,12.67879113817097,85.85365023202871,67.94814186652408,26.619555835131937,13.895523624795423,4.673915766679057,52.09110394497188
18,89.31289246928256,53.77666915122566,18.352191823611708,21.44589093916715,86.85588113117569,67.94814186652408,28.4497074198894,12.711333454904269,9.442026850086128,56.52805066237448
19,89.31289246928256,53.93779662455925,19.15960456097904,21.42765621427381,85.08382802330053,67.94814186652408,28.43241351172433,12.837184844121149,9.423861860711687,48.21648663188508
20,89.31289246928256,53.57852875125009,21.13408532302008,12.513570268360642,87.64114952827333,67.94814186652408,28.62674679058508,14.56081001618897,4.509436114258035,60.70955473718087
21,89.31289246928256,53.705699609041474,19.78984935885636,21.43855499537793,87.64114952827333,67.94814186652408,28.785839372700103,14.09387463269907,9.43471912174413,60.70955473718087
22,89.31289246928256,52.44766210795455,21.49539842097324,12.454510267662856,87.64114952827333,67.94814186652408,28.093364082081187,14.914553156729566,4.450610508366686,60.70955473718087
23,89.31289246928256,57.20282700967795,19.315976489271456,30.23759603393607,87.97560307213156,67.94814186652408,31.07654624233846,14.130011707505464,14.234457062494656,62.138050662374496
24,89.31289246928256,59.23991267814733,20.26325660761136,21.647134481387347,87.97560307213156,67.94814186652408,32.46565519514369,14.746036368142091,9.642406442733428,62.18382503748997
25,89.31289246928256,57.77616730711826,23.33316692666108,12.529671428613376,88.47472128685132,67.94814186652408,32.35148633397045,17.089266189132182,4.525470215188864,65.28746308644199
26,89.31289246928256,60.683353194803495,22.057204244553606,21.90327272950869,89.31289246928256,67.94814186652408,34.11788939071873,16.50415661453649,9.897174128606284,67.94814186652408
27,89.31289246928256,62.96125339938785,23.20684871574022,12.568718645436526,89.31289246928256,67.94814186652408,35.87335614870173,17.252186180495574,4.564350562939898,67.94814186652408
28,89.31289246928256,70.43130967421176,16.46328386519406,39.70692451153181,89.31289246928256,67.94814186652408,40.18119448718441,13.764368261474662,19.70190647416566,67.94814186652408
29,89.31289246928256,66.58508653689317,20.418033476479184,30.017608548400606,88.47472128685132,67.94814186652408,37.698910811408986,15.371856190542417,14.213659801509156,65.28746308644199
