gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,57.19788162462294,2.994954392177852,15.237144784575277,-5.7745515455444085,39.013547994715566,29.19486503108352,-0.8883430819871312,8.439238778106665,-5.777652323222656,19.01103858311013
1,57.19788162462294,14.132853186954112,17.55500156214203,-5.752572638825633,48.02364909070207,29.19486503108352,5.28960164005615,9.711869054708806,-5.755742213586912,24.02111423509888
2,57.19788162462294,26.0365449498977,16.258623834943645,-5.730099782973574,48.198032910668765,29.19486503108352,11.873536281850516,8.983853772092992,-5.733341276897746,24.195015860760485
3,57.19788162462294,37.48119673575926,12.56353113764004,21.251001050218,57.02755058053939,29.19486503108352,18.19844252378521,6.953088204672792,9.247819914941337,29.025003784901347
4,75.19788162462294,42.41160982305127,11.689821215696458,21.269900217026425,57.19788162462294,39.19486503108351,20.928913910839025,6.48534716342048,9.266658723102251,29.19486503108352
5,94.85250552318657,49.31657203965977,13.083580514778555,39.013547994715566,75.19788162462294,94.84670840550224,26.55377377612113,14.846429514672378,19.01103858311013,39.19486503108351
6,94.91859563501554,52.06405815667856,14.786734456361486,39.013547994715566,94.78506424239102,94.91240366476762,28.98116055351819,17.56180733130818,19.01103858311013,94.77964417492169
7,94.91859563501554,51.51553668740745,15.134073482401256,29.710845693140865,76.17724075551129,94.91240366476762,28.232642046729843,16.548174116338,13.9079380750013,41.97410398827526
8,94.91859563501554,50.60023621898517,15.78380795753246,29.606631721747263,75.19788162462294,94.91240366476762,26.83734629201982,14.192405643945456,13.804009410314547,39.19486503108351
9,94.91859563501554,53.1541015216467,13.827102568439466,30.195810322540225,75.19788162462294,94.91240366476762,28.711135834946003,14.801486967203983,14.19279984077645,39.19486503108351
10,94.91859563501554,53.79813547085534,15.966249249944838,30.046497597775115,75.19788162462294,94.91240366476762,29.0751307792983,15.409300948201857,14.043904232027248,39.19486503108351
11,94.91859563501554,56.50778007034933,16.402530145851454,30.197881624622937,76.20638414514598,94.91240366476762,31.02475974650381,16.549522173432187,14.194865031083513,42.00315824047873
12,94.91859563501554,55.4456962585874,17.28661635009008,29.540255137391608,94.78506424239102,94.91240366476762,30.882645696613974,17.97605380081742,13.73779869292467,94.77964417492169
13,94.91859563501554,54.45118205751061,19.721321879591542,21.19486503108352,76.20638414514598,94.91240366476762,29.888128773414373,17.77309999357857,9.191857510019556,42.00315824047873
14,94.91859563501554,56.88752228630394,17.823549957094997,29.57160369109874,76.20638414514598,94.91240366476762,31.24445506349739,16.96237101038026,13.769069580213872,42.00315824047873
15,94.91859563501554,59.22486839230047,19.36941015737669,30.197730794945965,94.78506424239102,94.91240366476762,34.78165711905308,21.747755723069467,14.194714655030316,94.77964417492169
16,94.91859563501554,58.568502377361256,18.008469924609837,30.197730794945965,94.7884363064308,94.91240366476762,33.52532083950607,19.7967907096242,14.194714655030316,94.7829973864507
17,94.91859563501554,56.22623622059301,19.7080818176814,21.19486503108352,94.78561069591764,94.91240366476762,32.22306202199047,20.516817810737,9.191857510019556,94.78018765853352
18,94.91859563501554,52.61160505870173,21.99772389832724,12.195810322540222,94.78506424239102,94.91240366476762,29.76845211301377,20.65956669183955,4.19279984077645,94.77964417492169
19,94.91859563501554,55.44452935737591,20.740268515729,21.197881624622937,94.85250552318657,94.91240366476762,32.68131307921883,22.560199342056208,9.194865031083513,94.84670840550224
20,94.91859563501554,55.17691342453288,20.967658177396093,21.197730794945965,94.85250552318657,94.91240366476762,32.533692457845746,22.6528332092444,9.194714655030316,94.84670840550224
21,94.91859563501554,56.95624124952426,20.7708357207302,29.74941548723529,94.85250552318657,94.91240366476762,35.31290233756082,25.256775376595908,13.946394202252115,94.84670840550224
22,94.91859563501554,54.953488159821845,20.704982844012584,21.22763292448162,94.85250552318657,94.91240366476762,33.31017397699745,24.117594636463057,9.224525351313606,94.84670840550224
23,94.91859563501554,51.94652871007338,22.11232176866604,21.19294455867777,94.85250552318657,94.91240366476762,30.7432790767078,23.33251195374101,9.189942695765692,94.84670840550224
24,94.91859563501554,54.17484199115883,20.043272080746064,29.604162083980786,94.78506424239102,94.91240366476762,31.53164116151262,21.675821813720187,13.80154737450939,94.77964417492169
25,94.91859563501554,56.90431673957583,19.679212871653725,21.197881624622937,94.7884363064308,94.91240366476762,33.941072373239386,22.86703955682239,9.194865031083513,94.7829973864507
26,94.91859563501554,57.28996114111371,19.63008768279541,30.16013841922526,94.85250552318657,94.91240366476762,34.60665692314254,23.54625397020193,14.1572317284252,94.84670840550224
27,94.91859563501554,55.34285379800506,20.333220720332463,21.25588741644175,94.7884363064308,94.91240366476762,32.17965293438385,21.643711577656408,9.252690919197166,94.7829973864507
28,94.91859563501554,54.4462631248874,20.06184256580905,21.2449500743468,94.7884363064308,94.91240366476762,31.68305360429365,21.65577433879557,9.241788148646608,94.7829973864507
29,94.91859563501554,52.81208405065049,20.16025762552514,21.197730794945965,94.7884363064308,94.91240366476762,29.888845804094757,20.04740753120338,9.194714655030316,94.7829973864507
