gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,74.94791083107559,10.638846235102642,17.821089967768582,-5.828945617610208,47.76450926492024,38.94556065373063,3.5920319822308824,9.948419920156296,-5.831882477283517,23.76254205114016
1,74.94791083107559,22.51791072741604,16.332780743562218,-4.419439417348934,56.74233241211736,38.94556065373063,10.309231168847894,8.981977302529469,-4.431408521725664,28.74041853593508
2,74.94791083107559,30.53291338879129,16.571147818174534,11.384273761121664,56.74233241211736,38.94556065373063,14.724570094500068,8.962324540352489,3.581856769196158,28.74041853593508
3,74.94791083107559,39.19776920899508,17.056086495931538,22.581159392203404,57.19214120729542,38.94556065373063,19.35170024172703,9.1668104039913,10.569183201156688,28.990227696008727
4,74.94791083107559,48.570571861319735,14.328893537099113,22.581159392203404,65.73869952050087,38.94556065373063,24.36686298772083,7.704160232362458,10.569183201156688,33.73679257733471
5,74.94791083107559,55.50028290125832,9.71690135871189,30.59835965966746,66.19233241211734,38.94556065373063,28.09792209499374,5.288893653778604,14.5937933693728,33.99041853593506
6,84.01585110906252,58.6863019782888,8.593984908383172,47.34755121178661,74.74551338795537,44.81379137609951,29.86024896758947,4.79542706435739,23.5454448441776,38.74359339068397
7,88.01858578874553,60.03004351188867,9.826778470456228,47.38655962424449,74.94791083107559,64.01606371931281,30.963993370543463,6.887776030119261,23.58437712133213,38.94556065373063
8,88.01858578874553,59.99190527518636,12.69915089774671,38.31969444064276,84.02752642598001,64.01606371931281,31.15784740658341,8.703581748896367,18.517710968862858,44.82543964058014
9,88.01858578874553,63.75966497617006,11.664033354945143,48.04291424977536,87.08294306281694,64.01606371931281,34.01363346267718,9.754774627033331,24.0403282505675,59.96078385216751
10,88.59342407327507,66.17166390344796,17.031420179487558,47.72680639392211,87.84978867036993,67.79140997390337,36.753551270076606,13.557768700802798,23.92385261710806,63.84765623035532
11,90.04090461150807,69.81455513528412,18.29499001941364,30.164796575689536,88.047327702972,74.83879267830493,40.84432710306042,15.712829909912616,14.161872229746422,64.1660637193128
12,90.04090461150807,73.98565113287448,14.823604429144297,47.87269603053744,88.07409003609035,74.83879267830493,44.0313948536221,14.28450526946146,23.87051594773817,64.19275768497404
13,90.04090461150807,75.74708613855908,15.442593991066072,47.187931814889154,88.61858578874552,74.83879267830493,45.672909728810986,14.52864851670068,23.38620453959424,67.01606371931281
14,90.04090461150807,75.75141958297145,16.26871233456478,39.15637702279458,88.66781886447893,74.83879267830493,46.461223067263525,15.465232437283811,19.15347747703595,67.89765623035532
15,90.44090461150806,76.30732221957204,16.805290069575836,38.42610552886744,89.03131019800973,76.83879267830493,47.21711270477917,15.713065502968794,18.623912169917865,69.06878107617767
16,90.44090461150806,76.60960196824826,17.422203293440287,38.42610552886744,89.29034956476538,76.83879267830493,47.84733553287873,15.97115883090835,18.623912169917865,70.16769349974524
17,90.44090461150806,78.55313852626485,14.652017431543966,47.43006105869819,89.63970172988364,76.83879267830493,49.55887794063838,14.807340825431512,23.627859293249056,72.1572001672624
18,90.44090461150806,78.55508756849255,16.361507289471522,38.4488983342735,89.63970172988364,76.83879267830493,49.60884668731641,15.45381822353987,18.64665536708657,72.1572001672624
19,90.44090461150806,79.94865472531833,13.597151704484071,48.15572341871621,89.63970172988364,76.83879267830493,50.562405343141045,13.958155659959544,24.152825293876347,72.1572001672624
20,91.22364909070208,77.31697177760543,17.08924667629096,39.15004344708621,90.44090461150806,80.02111423509888,48.95468785223164,16.45690967418414,19.14716184758105,76.83879267830493
21,91.22364909070208,81.27400511247856,14.21992172589984,56.29887233230579,90.44090461150806,80.02111423509888,52.79976960787041,14.561499250062075,28.496945098635297,76.83879267830493
22,91.22364909070208,81.25244839319683,14.475119098253018,48.161762940085424,90.39579810018672,80.02111423509888,54.24218412458991,15.34829286261935,24.158847387485544,76.79377910912345
23,91.22364909070208,82.91610641797543,11.911826229479091,56.33444474278886,89.7914292279502,80.02111423509888,55.28173932450789,13.582053305408662,28.53243931143832,73.1490693066969
24,91.22364909070208,83.8670597523074,10.189497869870817,65.74415408094016,89.6824877657745,80.02111423509888,56.05675228718441,12.7760300298566,33.74223671830825,72.11982535077208
25,91.22364909070208,83.83547529751573,8.838711808930588,65.29600795182931,89.83294047882156,80.02111423509888,55.609242774835366,12.568734892363622,33.49408697810793,73.31055451975666
26,91.22364909070208,82.58822947281311,13.251768889288384,56.781340824575246,89.6824877657745,80.02111423509888,55.3059568811726,14.22182335124448,28.77935081308961,72.11982535077208
27,91.22364909070208,82.76959605884198,13.70749749380084,56.86400800152664,89.67842158035617,80.02111423509888,55.73522097948969,14.115427421067428,28.861846308973625,72.07574420258547
28,91.22364909070208,82.49424839461246,12.613115379015822,56.29876328100847,89.67842158035617,80.02111423509888,55.97193735552218,14.208643771925088,28.49683628466417,72.07574420258547
29,91.22364909070207,82.57461835151345,13.735555244285218,47.870732398292645,89.67842158035617,80.02111423509888,56.772302263051586,14.913926802550213,23.86855659043693,72.07574420258547
