gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,86.21379137609951,11.56305651361784,21.71592602271353,-5.82600010738045,56.74233241211736,55.81173587691741,4.277579562268588,12.95503205475332,-5.828945617610208,28.74041853593508
1,86.4137913760995,29.383326231890816,24.78488123912102,-5.420755750182742,84.99342407327508,56.81173587691741,14.49013990951216,15.138141627564224,-5.425169798055054,49.79140997390337
2,87.55736716631762,45.41711944329016,23.44483884797002,12.55577926511392,86.22379137609951,61.95499468596399,23.940981379476,15.299437619101507,4.551459107474793,55.86173587691741
3,90.22111423509888,57.60948382878908,22.0137987769962,22.581159392203404,86.44643190514469,75.01858578874553,31.422399307923964,15.48191021402786,10.569183201156688,56.964370838517446
4,90.22111423509888,65.96619290074774,17.232521723442748,30.17991706964764,87.26660195700336,75.01858578874553,36.635860535337656,13.837027929061811,14.17695410451698,60.86443510891826
5,90.22111423509888,72.16966100529669,14.446307860634471,48.16797110972753,87.68420114859046,75.01858578874553,41.38347362971967,13.299681464548366,24.16504327743223,62.92201653943798
6,90.22111423509888,75.33398716841077,13.019092473684674,48.17665911841062,87.6781439294225,75.01858578874553,44.10786220815333,12.717399594919026,24.1737057741244,62.91597369185159
7,90.22111423509888,75.69515463197341,15.951650217164325,48.15638586300521,88.01858578874553,75.01858578874553,45.44498569795677,14.37725907789932,24.153481418478385,64.01606371931281
8,90.22111423509888,75.60310795999251,16.223502355356096,47.77651326719696,88.19342407327508,75.01858578874553,45.384940185328176,14.59206612237225,23.77453275338419,65.79140997390337
9,90.22111423509888,74.76941020936704,16.674175154833755,47.29440050052483,88.19480858136627,75.01858578874553,44.44725865601612,14.726509443307192,23.492471658213663,65.05722699800342
10,90.22111423509888,77.88152808797253,12.941581639433108,56.73841298676543,88.19480858136627,75.01858578874553,47.19137464308919,13.175340220554553,28.736506589901072,65.05722699800342
11,90.22111423509888,78.21137236942698,13.549883132255266,56.31347525465837,88.19480858136627,75.01858578874553,47.63321513487429,13.372216571144564,28.51151108678003,65.05722699800342
12,90.22111423509888,79.39992862374068,11.522105104361874,56.76324054427329,88.23972972700768,75.01858578874553,48.79777837265306,12.849784821095078,28.76128626793839,65.89140997390336
13,90.22111423509888,79.03596475801443,13.969404123206877,56.32166796185533,88.42472975727314,75.01858578874553,49.28176379836568,13.85739323066259,28.51968716447479,66.86267230598969
14,90.22111423509888,79.07900304097043,12.173500119639254,56.7592391849748,88.23085107879706,75.01858578874553,49.124813105423584,13.115668761608411,28.7572927036593,65.84252904401318
15,90.22111423509888,81.15050681356753,9.10683691721976,57.17090753940612,88.02972972700769,75.01858578874553,50.33235467941466,11.193627603638584,29.167971109727528,64.06858578874552
16,90.22111423509888,81.86030651505683,9.11308033416966,57.17105438238979,88.22111423509888,75.01858578874553,51.40210954111739,11.18891847239621,29.16811752271648,65.05722699800342
17,90.22111423509888,81.19489421594375,11.077272418988658,56.747807931598274,88.23085107879706,75.01858578874553,51.328728973046,11.902483584356874,28.74588355580005,65.84252904401318
18,90.22111423509888,80.32155340762773,13.90586311173338,56.74157194118419,88.027327702972,75.01858578874553,50.591403328731865,12.857858941122313,28.739659508076222,64.78571945361418
19,90.22111423509888,82.18999631687586,12.387545175807505,57.16504327743223,88.40151067887194,75.01858578874553,52.667810416022704,12.04763319216182,29.16212399232369,66.83950042552175
20,90.22111423509888,82.65188305357556,12.236021930808205,57.16504327743223,88.62332336830649,75.01858578874553,54.13767178411032,12.52366789025222,29.16212399232369,67.94130947135696
21,90.22111423509888,83.66980069291681,8.589295635016898,65.33370835245334,89.21858578874553,75.01858578874553,55.291628507534114,11.27770861014368,33.53170508385417,70.05473052949594
22,90.22111423509888,83.06175334939961,8.636239710706722,57.17076112641717,89.19276876464548,75.01858578874553,54.203552918592585,11.373906477886525,29.16782512422236,70.01606371931281
23,90.22111423509888,83.3995345406045,9.657327264830164,65.30291124959854,88.59480858136627,75.01858578874553,54.21323076437537,11.166036791504872,33.50096686587044,67.05722699800342
24,90.22111423509888,83.71073715863751,7.933868616851,65.7732146780031,88.41585110906252,75.01858578874553,54.69256315873925,10.582920387875038,33.77124074258399,66.8137913760995
25,90.22111423509888,83.44543883840626,9.750034760977124,65.78012154125967,88.24199815725918,75.01858578874553,54.5232396601004,10.998223014714748,33.77813400013117,65.89367373500646
26,90.22111423509888,83.51481689989888,12.52221548547992,74.30050972759496,88.46004183546776,75.01858578874553,55.224535159283135,11.994354788738752,38.49858014771965,66.89790875614462
27,90.22111423509888,82.27402208643365,16.854621000720474,56.857635226239154,88.8516212279272,75.01858578874553,55.03179857593204,14.21550121992179,28.85548727455753,69.04958920950638
28,90.22111423509888,83.33446070120753,10.920139651429858,65.72712299345383,88.61304928225896,75.01858578874553,54.82029112166865,11.926567747545937,33.72523797875806,67.85101571802748
29,90.22111423509888,83.11021166831544,10.838868969752216,65.73631683635264,89.96736716631763,75.01858578874553,54.852010125930676,12.508668187566247,33.73441442630626,74.00499468596398
