gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,77.14677961290973,6.009501239556928,16.015132326438984,-5.869296913133774,28.89724208723856,54.98611316836668,1.3305107805983871,10.228481508135296,-5.872117789475416,12.896375671410397
1,85.83585070796408,14.113257032489846,19.49468371874034,-4.991108272737073,56.41990858969936,57.99510748979546,6.247600686360889,13.223279789712809,-4.997883424780722,37.366113168366645
2,85.83585070796408,23.214929528266858,20.73804668225761,-4.990432586778736,75.77577961290973,57.99510748979546,11.470130540516244,13.910343679480006,-4.997212273764115,48.13111316836665
3,85.83585070796408,28.92206319936767,18.30533781597159,11.72141996651288,74.52477961290971,57.99510748979546,14.339477707277643,12.354752346306077,3.719542764274588,41.83314792282396
4,86.85268548596025,35.10953468519413,20.825162510804446,11.741950730874606,84.98928021110113,62.37179856794214,18.512985349846723,14.701332313753984,3.740037581711255,54.16977350305618
5,86.85268548596025,41.76119911434752,21.457113949177025,20.23606233173844,85.86303552041082,62.37179856794214,22.87856788644389,15.948960322210796,8.325898176194812,58.11828985918816
6,86.85268548596025,44.8633808490034,22.359172790345102,12.69597121543284,86.5560998706805,62.37179856794214,25.134778965721303,16.892935953816643,7.947777821483533,60.89921514273761
7,87.60834317723152,48.5191652339192,24.22582183486248,11.734698787262287,86.81355435131987,66.7275754228753,28.13490568492172,18.446903734264698,3.7327994514586376,62.10465144232403
8,87.60834317723152,52.31603074931753,24.23393546542394,12.173057189971704,86.85268548596025,66.7275754228753,30.442232290118724,18.41409181756,4.17010562547711,62.37179856794214
9,87.60834317723152,56.27335247957572,22.76425374817257,19.774704842118712,86.86747337499655,66.7275754228753,32.565299243911866,17.573896984814155,8.233788144523398,62.48259391612002
10,87.60834317723152,59.07877720963978,22.10513281314853,12.741883909464818,87.33058590645065,66.7275754228753,34.8458515737581,17.629201309438944,4.736603585724589,64.853718909871
11,87.60834317723152,59.92749011445722,22.757059930692805,12.741883909464818,87.21314294190539,66.7275754228753,35.22820274042317,17.745515782883594,4.736603585724589,64.65235569095307
12,87.60834317723152,62.21482298581815,23.2151371147662,12.491233187717365,87.33058590645065,66.7275754228753,37.82347382569148,17.93747966511614,4.736500599076439,64.853718909871
13,87.60834317723152,62.7142332392912,25.613520396366454,11.773463330712534,87.42047867278839,66.7275754228753,38.32291244747976,19.362708166229943,3.771488996408817,65.17158249720204
14,87.60834317723152,65.14158291463748,23.531812236047376,20.165986659356,87.42047867278839,66.7275754228753,39.82315856372486,18.24078723085866,8.164910610740765,65.60375228434201
15,87.60834317723152,67.11421457462671,23.859503650409668,19.74603314173629,87.60834317723152,66.7275754228753,41.53408445613832,18.557137090831365,7.944766188843164,66.7275754228753
16,88.66588318380268,68.819639184813,23.83165422333947,11.741760977326178,87.60834317723152,71.62503680203412,43.30434696103317,18.54129934556511,3.739848187545408,66.7275754228753
17,88.66588318380268,67.96403363188656,25.2354591538023,12.491233187717365,87.60834317723152,71.62503680203412,42.27917569104241,18.87115880567782,7.512969251439792,66.7275754228753
18,88.66588318380268,66.6434251129911,23.384843897218733,19.31371915673739,87.60834317723152,71.62503680203412,40.84175104997895,18.05427933835575,7.512969251439792,66.7275754228753
19,88.66588318380268,67.27211787708424,25.031657116775683,11.811793492972509,87.60834317723152,71.62503680203412,41.95924974852251,18.95101209528705,3.809741779867463,66.7275754228753
20,88.66588318380268,67.73159138592388,23.92128267917949,21.188449166102693,87.63767346518365,71.62503680203412,42.44583772663807,18.68393492600017,9.18536849656853,66.82889595217658
21,88.66588318380268,69.50822049139519,21.8473920540482,28.747454938764548,87.63767346518365,71.62503680203412,43.05451141542312,17.590333525266566,12.946343771073067,66.82889595217658
22,88.66588318380268,69.33972154843899,22.70711442919375,19.93539742573289,88.21849564865063,71.62503680203412,42.93241543829826,18.491001460101685,8.134050169096781,68.89753854855759
23,88.66588318380268,70.47605180006798,22.73872304714931,21.22454230461088,88.21849564865063,71.62503680203412,43.60862727349839,18.43569565312661,9.221397397488817,68.89753854855759
24,88.66588318380268,70.05755184615263,24.47834476902303,11.815851109062518,88.21849564865063,71.62503680203412,43.45577264462157,19.21167527037801,3.8137913760995055,68.89753854855759
25,89.40057753249208,74.6435340526904,18.777544790337146,29.33050191014212,88.21849564865063,74.99966553972494,46.58501574059247,16.123411271447956,13.476078261716893,68.89753854855759
26,89.40057753249208,75.73924404240435,17.1433437796998,37.53879133918545,87.96166878267394,74.99966553972494,47.38157822796569,15.250430797002355,17.737885142703597,67.38065469824555
27,89.40057753249208,75.09521820083334,18.545244851418133,29.403288014721,88.21849564865063,74.99966553972494,47.29751506018559,16.002126649413405,13.401923068551175,68.89753854855759
28,89.93142754043467,76.25935306627956,19.20423533153156,30.76618091231435,88.70261790123715,77.21040869164568,49.09441820949707,16.387776819396397,17.791663511132256,71.79376823891864
29,89.93142754043467,74.67792336109565,20.940937897149475,19.890009960812577,88.66588318380268,77.21040869164568,47.388888643815726,17.44334031426417,8.088691227459204,71.62503680203412
