gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,88.26936197187237,32.92230399134439,35.79364717789056,-5.6040222119172,84.3954671139055,62.82472159231597,16.878191419524946,20.8240465495446,-5.6076995201111846,45.334842658299465
1,88.47289246928256,56.14508050207234,30.63165340455951,-2.70805020110221,87.48241853208484,63.74814186652407,30.47860127366147,18.91609031789136,-2.772588722239781,58.79767016491239
2,89.01679627126204,74.8255375434259,11.429454406541511,57.25284741384762,88.31308956387434,66.2117329693056,42.17893296954347,11.13373984580051,29.24966061359748,63.36080085488938
3,89.28936197187237,80.34185973305907,7.427185851228798,66.21908066604531,88.83608765938155,67.92472159231599,48.14930480812165,11.117832398129874,34.215997064551885,65.55132142166315
4,89.28936197187237,81.29651064894755,14.246582991996243,66.00992329523442,88.95398107543726,67.92472159231599,52.08785578702478,14.02044207445287,34.00742292244528,66.14582965419167
5,89.28936197187237,84.71188499562952,6.893171953992832,74.56096871149109,88.95879121229598,67.92472159231599,56.27164916027316,10.70515581753868,38.75846561362843,66.14582965419167
6,89.28936197187237,87.45223741300883,4.261867287713637,85.01099884188827,89.01805045800673,67.92472159231599,61.67731747864042,7.046177443568489,48.721916064325065,66.22499582188341
7,89.7187078342906,87.7455470882795,3.497398899773944,83.81228993734777,89.24176918804581,70.03402398497829,62.73060263649042,6.809081790302748,44.009065621385226,67.40879572905855
8,89.94936197187238,87.8871560084313,3.4867764789849067,84.85384181250949,89.43393326054317,71.224721592316,63.37295449789335,6.82420980619058,48.1656562589816,68.35694446901663
9,89.94936197187238,88.65944694757204,1.979086364720048,88.15958087420186,89.6692958082263,71.224721592316,65.52352919451928,4.251267532304118,62.42711171123213,69.52829970102843
10,89.94936197187238,89.03773248039357,0.4529544321806645,88.6043314583687,89.7217078342906,71.224721592316,66.52091707572454,2.225043049240208,64.55175041464331,70.04902398497829
11,89.95402398497818,88.95545034637817,1.4669644948463876,88.72538698899733,89.8309536112937,71.2293619718725,66.5106320211529,3.657650690948436,65.17682907782594,70.6503335937525
12,89.95402398497818,88.73926537547894,2.4236741162462474,88.22608635183721,89.94936197187238,71.2293619718725,66.25607194500836,5.367354066794361,62.93781145897044,71.224721592316
13,93.0229722985938,87.86412832888571,9.698095897301055,85.95899522686163,89.94959507252767,87.97968822339264,65.90655876652822,9.67249294745219,51.43053324368108,71.22495361129383
14,93.0229722985938,88.12045821832133,9.681728217707956,87.51870305604193,89.95402398497818,87.97968822339264,66.86376683658301,9.609942820380692,60.21521011611189,71.2293619718725
15,93.02626719449064,89.01203718308867,2.6079908036814,87.75563209341283,90.08769415378798,87.98297229859384,67.72654676199028,7.058628970730562,61.59230080516634,71.9751067625995
16,93.02626719449064,88.08544348154746,9.62007210818492,86.05000427198826,92.9089722985938,87.98297229859384,67.4378021295291,10.973973935541284,54.149821515053,87.40968822339265
17,93.02626719449064,87.61166247507852,9.941213477664247,75.43535897282736,92.75520460804536,87.98297229859384,66.30805637680658,11.98696752209078,39.43151806902421,86.77602930826212
18,93.02626719449064,86.8309912891985,10.823012266623554,74.98180526743981,92.6430473626648,87.98297229859384,65.21940352960185,13.003772786658542,38.97937224849143,86.20786590872557
19,93.02626719449064,87.09791209651195,13.301661664510762,75.53732071566995,92.90481505321326,87.98297229859384,66.80648315138434,12.906007477114269,39.53308713826908,87.38152482385608
20,93.02626719449064,87.52801324960505,13.044215557063586,85.73416819497442,92.9439846363635,87.98297229859384,67.3069384487955,12.767533811207825,50.52193985886498,87.44458363219795
21,93.02626719449064,85.37764540244001,17.941156547,75.5270513741837,92.9439846363635,87.98297229859384,65.22639059899002,16.323887613403706,39.52285479607699,87.44458363219795
22,93.02626719449064,87.17318270855237,11.871850111427484,75.50629488917708,93.02313704338864,87.98297229859384,66.8294641968561,13.303284670009436,39.50218782574553,87.97985242715271
23,93.02626719449064,88.62262176859227,5.795748224808215,85.3773817970027,93.02626719449064,87.98297229859384,68.21716923631338,10.056788628194296,50.51290950077421,87.98297229859384
24,93.06324619773171,89.06303119020659,4.379189904874889,87.74083130387547,93.02626719449064,88.019827390983,69.20075186294684,8.750768307753036,60.38951203090126,87.98297229859384
25,93.06324619773171,89.34832301012821,2.820689070151711,86.71248714040246,93.02626719449064,88.019827390983,69.51253004243028,8.580865720983166,55.42426982002864,87.98297229859384
26,93.06324619773171,86.857181181893,12.066759133699325,74.36923489689512,93.02643248389737,88.019827390983,67.09527903973135,15.159427638095371,38.56715286826807,87.98313704338868
27,93.06324619773171,87.02086649008152,11.830091640416695,75.22553632472501,93.02643248389737,88.019827390983,66.79268692580662,14.781247352640428,39.22243288728153,87.98313704338868
28,93.06324619773171,86.83472230364572,14.787223601104182,75.56480511041586,93.02643248389737,88.019827390983,67.6650694262022,15.454704435748342,39.56044609832236,87.98313704338868
29,93.06324619773173,89.31290630433496,3.444460372912474,85.39816819497442,93.02626719449064,88.019827390983,69.77875876919667,9.818602110389486,48.91145607683276,87.98297229859384
