gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,90.268353948145,28.900377564433807,38.05068015143191,-5.443276100702912,87.20772032946373,72.98389959779574,17.574360818208923,27.181740254438992,-5.447592093334275,59.89244921459018
1,90.35968104797998,63.22084515606039,32.183722172460165,12.295599339850932,88.46152495348188,76.1974414053866,41.177145432913896,24.71574421299246,4.292264972396036,67.24356614751048
2,90.78394224923466,81.2912128936265,19.02886078419348,21.07747761108511,90.304808708922,77.10090734553964,55.95397783062191,15.908070001438745,9.074802429973047,74.04408385672603
3,91.73598249381268,84.69945382224347,13.571275618677165,65.66496048797603,90.58596049966152,81.17237888630949,59.871851255176,13.140236705093251,33.86217766880333,76.67938596090677
4,91.73598249381268,85.40615606050952,12.799233924985256,86.1018092516408,90.79371305390426,81.17237888630949,61.37774243024631,12.59833923890312,54.52734078017142,77.1586847574111
5,91.76400818918016,84.22079225258986,14.888620736306711,38.2696958790816,90.99587643480928,81.4405177842405,61.63567322099625,15.198123549075598,18.467819248305936,78.05675837517802
6,91.76400818918016,84.36182857543072,13.477250006134536,56.80845764249277,90.78394224923466,81.4405177842405,62.18165892101343,15.495352034938431,28.80641286235184,77.124917285549
7,91.76400818918016,85.75614324942069,12.812099572734462,65.2009463175171,90.82464388895268,81.4405177842405,65.56478582261393,14.530079390740806,33.39919896022593,77.64344313683178
8,91.76400818918016,85.45125658309885,14.39220625858469,63.8707383372538,90.87398128147134,81.4405177842405,66.1343466157895,15.306596984521212,32.66894412622879,78.16369355059032
9,91.76400818918016,86.12152073592357,10.503723614573614,65.68371999671923,91.31320600807604,81.4405177842405,65.83177968035255,14.147362860817164,33.68191484941237,79.38344313683176
10,92.00234767677736,84.95934529469521,13.909738338508724,64.72254983181483,91.35311522114436,83.11925648420778,65.22961061540893,16.445213849395397,33.12084941432862,79.41344313683176
11,92.00234767677736,84.05744736020804,16.345203080956725,46.9815306666768,91.3244065580684,83.11925648420778,64.69968817930248,17.713063475477867,23.37932256470572,79.43821314832722
12,92.52283177470682,85.95785106715957,12.110066821513673,65.08751098509211,91.39307897341436,84.59874178945536,66.97845988234094,15.052398783434969,33.28594930615931,80.12202428814922
13,92.52283177470682,86.74007672643967,12.8031645836267,65.86748588571174,91.57654330564613,84.59874178945536,69.0453491004083,14.362619143202965,33.86531708972859,80.56910977705728
14,92.70936197187235,84.86407040144236,14.995154574270597,47.72931819232839,91.79274486919392,85.02472159231593,65.35496911348883,17.18365142070563,23.727428826568893,81.55322531823185
15,92.70936197187235,85.5240050888833,15.55710103860848,47.295718819613576,91.79274486919392,85.02472159231593,67.31803401106112,16.542170149475236,23.493795171758844,81.55322531823185
16,92.70936197187235,83.93786106931734,16.736155615826814,38.29367277267691,92.22164270251622,85.02472159231593,65.45753533977454,18.8515438960206,18.4917531317497,83.34980614463045
17,92.70936197187235,84.1612701087406,15.736360009550085,38.97465194074061,92.34794628871786,85.02472159231593,65.39535019606812,18.7683139821144,18.97223806443157,83.73987213033712
18,92.70936197187235,84.94836738701979,15.04763329721418,47.279295929097735,92.5321582845651,85.02472159231593,67.22556529860027,18.09128076598089,23.47740681635408,84.62004077959838
19,92.70936197187235,82.8035495869955,17.999795556401573,38.29583220621506,92.30070953204884,85.02472159231593,64.63044071089733,20.32268464714646,18.49390921318391,83.34980614463045
20,92.70936197187235,83.92411551295919,17.230181871867067,55.53388572525122,92.219641004758,85.02472159231593,66.07970517024351,19.789793275135978,27.932468012576283,82.95390556054129
21,93.18472159231584,85.14396221713248,14.842248637413942,47.44816452939269,92.70936197187235,87.42010264645961,68.2267819491236,18.44645956307891,23.64592706029153,85.02472159231593
22,93.18472159231584,85.92684482533934,13.74810699153156,56.28889615134084,92.70936197187235,87.42010264645961,69.23118819939958,17.595691261671032,28.48698762275948,85.02472159231593
23,93.18472159231584,85.63310670290028,14.635665473397191,56.31590980268533,92.5321582845651,87.42010264645961,69.28219266196356,18.50876695025921,28.513948307090715,84.62004077959838
24,93.18472159231584,85.53911547453998,15.797037197115833,30.0410248382836,92.25512220882744,87.42010264645961,69.99142787353851,18.38693397484609,14.03844537415423,82.89063744998673
25,93.18472159231584,85.92952716855937,13.91502848118652,47.94740207314253,92.37157766216473,87.42010264645961,69.6098764466487,17.67109670900153,23.945052910383584,83.49912231531316
26,93.18472159231584,86.60507011148556,14.39176441718383,47.44976516465534,92.4328282285399,87.42010264645961,72.37809717641152,16.672357920933486,23.64752431578039,83.78835394814506
27,93.18472159231584,83.0913798258923,23.767225243796585,20.26884934816147,92.37157766216473,87.42010264645961,70.41882321582172,22.454288486044508,8.466972140840314,83.49912231531316
28,93.18472159231584,82.15061720212161,22.792084285624306,20.97453552625264,92.73312995289452,87.42010264645961,68.79554490283222,23.426552147123303,8.972121920360763,85.14449064502311
29,93.18472159231585,84.44271300122716,19.203835961963645,29.40132725330328,93.18472159231585,87.42010264645961,70.33729525328427,20.730868177245767,13.599190877675289,87.42010264645961
