gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,56.56545348121254,3.509853322320491,13.47344477185394,-5.869296913133774,30.496532033807497,28.56384963163057,-0.2116182289653815,7.469410840472202,-5.872117789475416,14.492467546519848
1,56.56545348121254,7.76888936843901,14.013270764338708,-5.3706380281276624,30.929018122943063,28.56384963163057,2.0059603255297103,7.680211352681772,-5.375278407684165,14.72494496413096
2,65.24423107801574,13.912128545109114,15.814433690913658,-5.003946305945459,47.656544834592,33.24306761075245,5.389475811848501,8.597369754758521,-5.010635294096256,23.455420112046163
3,74.14564549774498,17.935176759722506,17.65276589430492,-5.022280892054569,56.603105240016106,38.14459120139007,7.451302420052181,9.681126692452985,-5.028867449775651,28.601431590904816
4,74.14564549774498,25.50353011668002,17.489451519116432,3.3835779043000547,65.22561376751122,38.14459120139007,11.61987590924292,9.544470971305689,-0.6200631468168796,33.22447173778405
5,85.58561207008452,33.3722276435237,17.90763614625346,12.300132555878584,74.07053040044306,56.06473140071903,16.033800725496647,10.131287749059268,4.296791494599502,38.069552210637376
6,86.8819054955723,37.12951381051435,21.186548044595472,11.652476962244876,74.67385133155233,61.44074472933644,18.56189961632519,13.23833602900551,3.849701830688166,38.72077956133513
7,86.8819054955723,36.83758990814854,21.66720549353498,3.2286477731154064,74.14564549774498,61.44074472933644,18.20456157234064,13.062937534963352,-0.7744631908376909,38.14459120139007
8,88.97551334795725,48.04316964062545,22.0205579155116,12.437347178026863,85.61395396583906,72.41449032996535,25.16510068555583,14.915744492603949,4.433514760421835,56.117048506806405
9,88.97551334795725,49.56972385786507,22.700113003601167,12.245711593581724,86.18892276069508,72.41449032996535,26.422844058517004,15.91994649488479,4.242543876997332,57.32755708281009
10,88.97551334795725,58.15758712767456,21.66474103886096,21.378269461932,86.95580276764814,72.41449032996535,31.988692559210754,16.113695693153446,9.572570087500214,61.8146432799377
11,88.97551334795725,58.50948513338788,23.86628533882672,12.203805503561384,87.2538474572605,72.41449032996535,32.69830003935055,17.760217414133077,4.200710221801859,63.30068675831546
12,88.97551334795725,62.71952352628446,22.94524937047082,20.660443512381573,87.55548316026737,72.41449032996535,35.96364354711282,17.88443960004338,8.658679968025018,64.83833055996912
13,88.97551334795725,62.10342070992221,25.24863879709413,3.3991372065476786,88.92238171086863,72.41449032996535,35.94502228345121,19.253598097832857,-0.6045750627848824,71.67723038613457
14,89.1595853089166,67.47387664030917,21.50575670310897,29.04339827250728,88.97551334795725,72.8384272311961,40.2548450285584,18.148300055061007,13.241890357166591,72.41449032996535
15,89.1595853089166,72.85005832155868,20.92018028551195,29.15452815955189,88.557587098065,72.8384272311961,45.40715352863558,18.07829002204152,13.35285704776687,69.48832498460511
16,89.1595853089166,78.23274280921586,17.658183202355236,38.01838721531823,88.51369700325809,72.8384272311961,51.35233943943931,16.27507818728734,18.21693069989929,70.12867991429877
17,89.1595853089166,80.61565170388036,16.253919827002257,38.02849613646069,88.98858530891661,72.8384272311961,54.95927697084838,15.351092460674742,18.227020668086965,71.9834272311961
18,90.30326411940509,86.24966982840597,3.7577130214857246,83.89346762552776,89.1595853089166,78.78216942854598,60.91736952751327,8.718938851719495,45.54826953490676,72.8384272311961
19,90.30326411940509,86.66549050975502,4.0016059597870415,84.14476115149496,89.1595853089166,78.78216942854598,62.99158932871157,8.375196082559302,47.56754139466811,72.8384272311961
20,90.30326411940509,87.1235513542777,3.6096872736414913,84.78423669530457,89.1595853089166,78.78216942854598,64.50085392541155,7.923136674829874,51.98342518898642,72.8384272311961
21,90.30326411940509,84.135867369556,15.447876398461702,81.48946812123611,89.1595853089166,78.78216942854598,62.248306612971554,14.162059541822108,42.66835905920796,72.8384272311961
22,90.30326411940509,87.90741041689834,1.2024988675820591,85.5724717601443,89.33607894593396,78.78216942854598,66.82711660995446,5.845526709100699,55.68321834597238,74.22705839496025
23,90.30326411940509,86.39655367893096,9.724256437467334,84.6942809233499,89.39811272284358,78.78216942854598,66.00823601799472,10.98560639362092,50.76919230024323,74.62511412334482
24,90.30326411940509,87.5092283336919,5.939542464820112,85.1679116907918,89.5346975934744,78.78216942854598,67.2193277968927,8.21387274847077,53.79089126118628,75.27769143171133
25,90.30326411940509,84.35085687730242,14.95740823487062,64.36243189110995,89.5346975934744,78.78216942854598,63.69049010709631,14.922610557754547,32.561675259028306,75.27769143171133
26,90.30326411940509,83.93808761925531,14.193389014630498,55.62870691241999,89.2839191759378,78.78216942854598,62.5377690720451,14.728566066079008,28.02716069908452,73.49076932500037
27,90.30326411940509,86.90324613779792,8.555343351370473,84.98530238294592,89.2225853089166,78.78216942854598,65.76130684852605,9.770834423486876,52.74034753890541,73.32068717502688
28,90.30326411940509,87.37310689486165,5.216870995812021,85.53776667689024,89.23112647805306,78.78216942854598,66.91520177047754,8.236308298914265,55.31938831137357,73.38923535745971
29,90.30326411940507,87.41886722156818,6.836999604216512,85.12501344878619,89.57511272284358,78.78216942854598,67.24578523553207,9.1332616364658,52.96393850641635,75.51011412334482
