gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,57.17991706964764,0.2172316936709551,13.808895630166171,-5.814576300007964,39.15213731253287,29.17695410451698,-2.4261100564640854,7.659423757891145,-5.817555607334066,19.149255349440097
1,65.58490304082841,4.610115011204058,17.61705597726591,-5.787658431067226,39.17991706964764,33.58326771748767,0.0068206806861201,9.75176698965583,-5.790718910798216,19.17695410451698
2,65.58490304082841,7.837306586097637,19.53703474202694,-5.762831429802301,47.94148281709528,33.58326771748767,1.7940448358098482,10.802085768429832,-5.765968723435218,23.93914704742028
3,66.71679627126201,16.30364123712352,21.141070463678176,-5.752572638825633,48.0509503524908,34.711732969305466,6.500334065415153,11.704171918654248,-5.755742213586912,24.048344246847552
4,66.71679627126201,26.23660634809169,18.24666845341529,-5.730099782973574,47.93691737898518,34.711732969305466,11.993549002632532,10.1218795930224,-5.733341276897746,23.93459285595522
5,66.71679627126201,32.70866916247798,15.046026559932775,3.246483936959148,48.64291106752343,34.711732969305466,15.585623807639797,8.351738811254101,-0.7566826801847871,24.439908930921288
6,75.26020708782076,37.47962147048307,13.027640747951452,20.822397054547924,57.02362984998821,39.25699681219052,18.23653786974128,7.213612157830056,9.019118463253292,29.02109441392276
7,75.26020708782076,41.41704541828851,11.864127777697648,21.269900217026425,66.20676102972836,39.25699681219052,20.414043208680297,6.577965313672937,9.266658723102251,34.2036930477564
8,75.26020708782076,42.66897976451128,13.516507858143044,21.269900217026425,66.2922450197382,39.25699681219052,21.1060220292093,7.506981398720683,9.266658723102251,34.28891243541241
9,94.9001335721758,47.94710189358921,14.898070838780027,29.85359291590769,75.22034857130343,94.89405452609942,25.384019952934192,14.023054162290777,14.050196035295793,39.21726350764774
10,94.9001335721758,56.7091361553161,13.65051730621636,39.17991706964764,76.28985243314774,94.89405452609942,31.14601217046558,15.738300587225904,19.17695410451698,42.086355620223095
11,94.9001335721758,54.080217738433184,16.719461696643688,21.6917975530232,75.24486432644964,94.89405452609942,29.23713074187036,15.626246318430653,9.686842443795529,39.24170241854184
12,94.9001335721758,58.63899152180341,16.586580357872577,21.31086842232849,94.79081770888024,94.89405452609942,32.67578811678281,17.49253222194357,9.307491454547256,94.78536469248056
13,94.9001335721758,53.91143279703341,23.49062468530366,2.800740936973629,94.9001335721758,94.89405452609942,30.50809599465129,21.04337055980116,-1.0025577300259814,94.89405452609942
14,94.9001335721758,51.81703291324024,24.383653465213243,-4.795314153886369,94.79081770888024,94.89405452609942,28.8937585685222,20.60157884287996,-4.803697792230392,94.78536469248056
15,94.9001335721758,52.032855918694686,24.13527075999393,-4.942139069069852,94.9001335721758,94.89405452609942,29.90952918408092,22.301856251079208,-4.949355908584844,94.89405452609942
16,94.9001335721758,56.66948916740308,21.880370891538323,21.269900217026425,94.9001335721758,94.89405452609942,33.38605547491274,22.749577551459968,9.266658723102251,94.89405452609942
17,94.91859563501554,67.57714568797974,18.350211082769484,39.17991706964764,94.9001335721758,94.91240366476762,43.0135954506819,25.36950618413819,19.17695410451698,94.89405452609942
18,94.91859563501554,68.10329770917207,20.841218596614777,38.10103662917681,94.9001335721758,94.91240366476762,43.29979093307029,25.87267785317731,18.49855455196965,94.89405452609942
19,94.91859563501554,66.43025298817942,22.978154385306286,29.80893717829049,94.9001335721758,94.91240366476762,43.26668037310207,27.681766898279943,14.005730921791304,94.89405452609942
20,94.91859563501554,67.27237003664301,21.44416545121004,38.12636560583111,94.9001335721758,94.91240366476762,44.628746567428486,28.06164662668485,18.523819590109746,94.89405452609942
21,94.91859563501554,74.16159160995643,14.29854652200598,57.013547994715566,94.9010566753178,94.91240366476762,49.797881837864765,26.38497678887413,29.01103858311013,94.89497198303285
22,94.91859563501554,75.9115115232836,15.14466429838529,57.269900217026425,94.9010566753178,94.91240366476762,51.66772518725863,26.833201453642587,29.266658723102253,94.89497198303285
23,94.91859563501554,76.06932432652539,14.097925314739197,57.269900217026425,94.9010566753178,94.91240366476762,50.86556267027086,25.89229903722862,29.266658723102253,94.89497198303285
24,94.91859563501554,78.17493287575265,14.880672594006258,66.01354799471557,94.91859563501554,94.91240366476762,55.61098127518706,28.00797164399819,34.011038583110135,94.91240366476762
25,94.91859563501554,78.1309767572106,14.2968471234235,57.269900217026425,94.91859563501554,94.91240366476762,56.48693068115033,28.445749662932208,29.266658723102253,94.91240366476762
26,94.91859563501554,79.63673368313017,13.928796279479942,57.269900217026425,94.91859563501554,94.91240366476762,59.11257807167502,28.82227218784704,29.266658723102253,94.91240366476762
27,94.91859563501554,76.69101338641613,16.345778707564705,48.265401059657485,94.91859563501554,94.91240366476762,55.68696535829916,29.216124870896,24.26217349217299,94.91240366476762
28,94.91859563501554,75.44877170051623,19.66191397774823,39.265401059657485,94.91859563501554,94.91240366476762,55.44469267723277,30.453728614766103,19.26217349217299,94.91240366476762
29,94.91859563501554,72.433326872978,19.70550021106879,47.73441622701658,94.91859563501554,94.91240366476762,50.189481637370335,28.898145425473867,23.931439335446246,94.91240366476762
