gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,87.67066473402546,7.350004972389394,19.030803637061585,-5.578033572989005,31.29877185817361,66.30974349950627,2.29861336173936,12.637714569728482,-5.581825859275992,14.895039623564566
1,87.67066473402546,13.56047398953168,17.45598077060269,-5.033771221510052,30.57069014707772,66.30974349950627,5.627429522758587,11.800748573741751,-5.040279401477766,14.56631026705113
2,87.67066473402546,21.389108776929653,17.449316227577064,2.359340999664365,47.657966458568254,66.30974349950627,10.067804486303082,12.208058053593046,-1.4428231533539035,23.65620679491644
3,87.67066473402546,26.55011785195641,20.630829526048853,2.3643451725922144,83.20214955402855,66.30974349950627,13.118711307726633,14.168824215334904,-1.4378545296632437,43.69716157751212
4,87.67066473402546,28.841255541715327,21.497309934231176,2.1302743108456443,84.11954746203492,66.30974349950627,14.537318353774069,14.98057057930913,-1.6714225454962903,47.15824010565962
5,88.70317628172518,30.23651247665612,24.063159709709648,-5.022280892054569,87.67066473402546,70.70205958702523,15.768723778790502,17.302964750856326,-5.028867449775651,66.30974349950627
6,88.7232677174877,36.157717905432015,25.791172234180287,-5.009442858846183,87.67066473402546,69.28163506406395,19.5888094402356,18.94290376680901,-5.016115580460117,66.30974349950627
7,89.95743476007274,48.29095096529227,25.64790954612896,20.283714689619217,87.72229031141045,75.07564103761887,27.02524346250959,19.322920749410866,8.481740923927584,66.45833807773414
8,89.95743476007274,58.53978799219991,24.25239706488217,21.28905398937208,88.22455863621646,75.07564103761887,34.169157585419406,19.456024342521783,9.28574946442554,68.56261127029059
9,89.95743476007274,67.77453387141273,21.68319563963014,29.440059860621226,88.70317628172518,75.07564103761887,41.52834631982885,19.090605046652595,13.438644851393931,70.12994141446433
10,89.95743476007274,74.55666917619898,18.17063581257884,38.47387891188151,88.70418085351331,75.07564103761887,47.001839249863785,17.109023647728108,18.472413618443618,70.12994141446433
11,89.95743476007274,72.37898909169736,20.420866869017367,29.52294258064362,88.72735053958334,75.07564103761887,45.59934780615774,18.600223301079453,13.521404583944078,70.34245688875559
12,89.95743476007274,75.57719193207564,18.5483437940491,37.88570416193651,89.02574056546815,75.07564103761887,48.46237913966228,17.70244633391735,18.084427964257767,72.55829348120047
13,90.13564103761873,77.82007617441137,19.79682390859053,28.951454945972507,89.77497004803507,75.97385052684507,52.88125771529665,18.435719277715886,13.150090970833103,75.07564103761887
14,90.62064962889993,82.95112162966171,12.265025678409629,47.24837496606988,90.23035109546326,78.85905345936722,58.67715988763298,14.947717282349211,23.24720666731876,76.5486052343101
15,90.82911428328528,86.50843032660286,6.690478336190611,83.62184207124976,90.41086100862024,79.54737060368056,64.00084545535543,11.360184876486088,45.1588143740365,77.44911428328541
16,90.83028442909104,86.83854738275386,11.7943718734972,84.81907781940104,90.70846503158388,79.30843086044182,68.66275732800904,12.57719428706388,50.4497031458482,78.86346931658288
17,91.012610790344,89.15151302511875,1.4335183109660576,86.18964660568881,90.82917279057556,80.45086100862032,72.15091071481811,6.495266296034436,57.40528343569259,79.30843086044182
18,91.012610790344,89.51593756262702,1.2447110345182748,87.2925871880182,90.94928910863824,80.45086100862032,73.70324673648317,5.635031970730189,63.05128798563037,80.16223684479898
19,91.01400190549116,90.07413174058404,0.9875926575452558,87.8975787349881,91.00928910863824,80.21214143983835,76.11410525374122,4.402741366328702,65.47604732184654,80.21214143983835
20,91.01400190549116,88.5886872219486,13.41444190397663,88.18897024817096,91.00911428328529,80.21214143983835,76.3396931123774,12.013430422123864,68.73600988002171,80.22390289803046
21,91.01400190549116,90.6569782304758,0.5042907907349636,89.79208217338524,91.00911428328529,80.21214143983835,78.70563510815941,2.1903275712140124,75.10094864577013,80.44737060368055
22,91.01400190549116,89.61438041571851,9.57702761063294,89.10018042900074,91.00920161955204,80.21214143983835,77.53343816643505,8.993644250276416,71.92682704538437,80.44737060368055
23,91.07400190549116,89.50639232878801,8.16079611266989,89.50616289902057,91.01268034610138,80.51214143983835,77.41827775506735,9.169386425159733,73.83277022280392,80.4474577876608
24,91.07400190549116,90.68699138858358,0.6362440887300217,89.6419462835373,91.01400190549116,80.51214143983835,78.9228763659762,2.7975431394754984,74.52055658162001,80.44920161955213
25,91.07400190549116,90.79729974490732,0.4064526141357574,89.93634770181701,91.07400190549116,80.51214143983835,79.4075582633438,1.7156045796853356,75.99095755656059,80.51214143983835
26,91.07400190549116,90.74532278376566,0.5746213713485052,89.51721048927203,91.07400190549116,80.51214143983835,79.19239571471918,2.4218864795284105,73.89181910716846,80.51214143983835
27,91.07400190549116,90.88382922241368,0.3528397589592064,90.13645348121256,91.07400190549116,80.51214143983835,79.79887143766156,1.5043613772603956,76.41884963163074,80.51214143983835
28,91.07586583892925,90.9527115465488,0.1738913057751645,90.69754786869126,91.07400190549116,80.51400190549126,80.1101421486012,0.7722257067278536,78.9341142832854,80.51214143983835
29,91.07586583892923,90.13760296911538,6.157352648332084,89.57741286028711,91.07400190549116,80.51400190549126,78.57588441258038,7.469790271673094,74.23138925051899,80.51214143983835
