gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,85.78339389891514,8.260912078293153,21.1322168393406,-5.82600010738045,65.64233579954889,53.78139988030827,2.3357538121719275,12.380663632138566,-5.828945617610208,33.64060340159655
1,85.78339389891514,17.18630135717504,22.263218630320186,-5.823193606077891,65.74424995824663,53.78139988030827,7.301012818836442,12.859955968201009,-5.8261473828919375,33.742332412117364
2,85.78339389891514,32.44672502071787,22.2904675566145,3.206986391615856,66.22378611279424,53.78139988030827,15.801966880625251,12.916339919918768,-0.7960577507653719,34.02181109097364
3,91.56451856747525,39.50437414319931,23.563841533025748,3.575049982518597,85.78339389891514,81.96212908007786,20.44437982740483,15.821523625529585,-0.429345628954441,53.78139988030827
4,91.56451856747525,48.60041510121877,21.800690519943,11.74214120729544,84.08100917015396,81.96212908007786,25.309496473376047,14.592946969153015,3.7402276960087417,45.23899992084197
5,91.56451856747525,56.45310654559766,19.22255650193126,29.384273761121666,86.2033233683065,81.96212908007786,30.26671097353952,14.195562718722414,13.58185676919616,55.841309471356965
6,91.56451856747525,61.01013503082744,18.4811243765749,30.17991706964764,89.11707350410624,81.96212908007786,34.04791320559631,16.043120981208602,14.17695410451698,70.11490533368617
7,91.56451856747525,69.30876262675096,17.240696596147778,46.85482019469956,91.56451856747525,81.96212908007786,40.9226818869813,17.594446034773505,23.302086039860143,81.96212908007786
8,91.56451856747525,77.04678171744163,15.113357340209864,56.74233241211736,91.56451856747525,81.96212908007786,50.33269269134959,19.31234962631344,28.74041853593508,81.96212908007786
9,91.8572006248733,80.49210371845098,12.611765908310682,56.74597924960917,91.56451856747525,83.05457939139342,55.50598170096146,19.107333104148896,28.74405838713105,81.96212908007786
10,91.8572006248733,85.63566708377002,7.821104864771245,65.7872384862478,91.56451856747525,83.05457939139342,63.497485651276335,16.38338284895553,33.78523670694839,81.96212908007786
11,91.8572006248733,88.02494910255064,5.539459338039874,74.78182206024395,91.56451856747525,83.05457939139342,69.37473158162332,13.288110248933448,38.779831124179886,81.96212908007786
12,91.8572006248733,90.25620867890366,3.227116593166941,87.16451856747524,91.56451856747525,83.05457939139342,76.76589966807576,8.874829340273031,59.962129080077865,81.96212908007786
13,91.8572006248733,88.74929718019523,13.713353636630584,88.24294306281695,91.57915267034514,83.05457939139342,77.54693973772262,13.88283123386472,65.76078385216752,82.01675159564363
14,91.8572006248733,90.2179249705857,6.313914291003639,88.85819485589562,91.56451856747525,83.05457939139342,78.51958311242416,9.399023410199051,68.81602440379599,81.96212908007786
15,91.8572006248733,90.22020259778662,6.991258570491255,88.87094978993946,91.56451856747525,83.05457939139342,79.30584685618555,9.85375062183756,68.86877351051686,81.96212908007786
16,91.8572006248733,89.85708111415548,9.604301413231736,90.85984012859844,91.56451856747525,83.05457939139342,79.78260528589026,11.136796607667378,78.4574613015998,81.96212908007786
17,91.8572006248733,91.58500631149307,0.0746769537116509,91.56451856747525,91.8572006248733,83.05457939139342,82.03860060186993,0.2787354375448956,81.96212908007786,83.05457939139342
18,92.11667761151172,87.68369651846518,14.01411039305444,73.06548042578432,91.8572006248733,84.11389596854984,75.35329768455144,16.760772768595267,37.86331324080791,83.05457939139342
19,92.11667761151172,90.40628330710464,6.787251372477889,88.79562822881626,91.8572006248733,84.11389596854984,79.69183910882293,9.675728023384634,68.4734412889949,83.05457939139342
20,92.46246379491758,89.38560713435787,11.477369390460169,86.35451856747524,92.11667761151172,86.05982874727957,78.62317792076902,13.322140878878669,55.91212908007787,84.11389596854984
21,92.46246379491758,88.67545933296535,11.210252071120298,84.2285959689002,92.11667761151172,86.05982874727957,77.17708593775755,14.517854063518444,53.38625478148344,84.11389596854984
22,92.46246379491758,88.57526280288859,11.072409617563048,73.89186074893081,92.11667761151172,86.05982874727957,76.69289529321938,14.94320978670786,38.09057803927328,84.11389596854984
23,92.46246379491758,90.66540901767272,6.425001622780153,88.73562822881625,92.13383516830012,86.05982874727957,80.15894996137209,9.594576688694264,68.17344128899491,84.21106120136601
24,92.46246379491758,89.41301560415583,9.415448384266748,74.8837778403154,92.45982874727956,86.05982874727957,77.91456115787587,14.175276669106632,38.88157349231601,86.0572006248733
25,92.46246379491758,88.827407459589,12.349720006373088,74.84965187166911,92.45996049966148,86.05982874727957,78.19294593612506,14.626101490958408,38.84750804471099,86.05733203099362
26,92.46246379491758,86.15364718179734,15.939321332777672,38.0370962023306,92.46246379491758,86.05982874727957,73.3432320688755,19.67658137850013,24.75891511506001,86.05982874727957
27,92.46246379491758,86.27143752205116,12.63282707309159,55.90805638847923,92.46246379491758,86.05982874727957,72.06107928015606,19.54146498413805,30.95257752977805,86.05982874727957
28,92.46246379491758,86.64720910238209,11.9598672430008,56.34223364885061,92.46246379491758,86.05982874727957,71.50884259178822,19.40790135685127,28.340950396368484,86.05982874727957
29,92.46246379491758,84.75465379686182,16.62189079899227,55.436488660122436,92.46246379491758,86.05982874727957,69.3442473270915,20.650268845755384,28.257750316183536,86.05982874727957
