gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,86.01173587691741,11.449671256110372,21.144292919262607,-5.828945617610208,56.74329956025952,54.80968459414685,4.084212807689818,12.212800431072669,-5.831882477283517,28.741383816879782
1,86.0137913760995,25.06123918664634,22.73930998319432,-5.82600010738045,65.90588992839402,54.81173587691741,11.871218366523117,13.471553235052127,-5.828945617610208,33.903622098449695
2,86.0137913760995,35.054435415119855,20.69064730089014,2.749673715291188,66.32425824026777,54.81173587691741,17.24967672377576,12.05494881106942,-1.0533608821565892,34.12207360166928
3,88.64514190598358,48.93350711202873,21.556992453920174,21.82441547480485,86.44824329315412,67.84302101441445,26.065925495663134,14.888246888374937,9.818727952253068,56.1660637193128
4,88.81791509328337,59.270960549777726,18.39692248715357,30.179768921391105,86.6340310967318,68.81585110906252,32.340537322523964,13.867977662408991,14.176806393922108,57.87195226903718
5,90.82111423509888,61.19069556756398,18.678326769647267,30.17991706964764,88.02770890742417,78.01858578874553,34.06047720510932,15.11599312033979,14.17695410451698,64.86564534745526
6,90.82111423509888,66.49007854188176,16.523784751821626,39.17695410451698,87.06855225397241,78.01858578874553,37.17599762254773,13.617302051184463,19.17399989261955,59.30605308880028
7,90.82111423509888,69.867010784392,17.56525704684568,38.419983058696936,88.22277301095829,78.01858578874553,40.448925479273,15.158882018885675,18.61780282410409,65.8607195817667
8,90.82111423509888,71.8893214748589,15.167850631514815,47.872804372941694,88.49389436274764,78.01858578874553,42.175248117492046,14.88129314259906,23.8706240558884,67.21183865187649
9,90.82111423509888,79.64206462121331,10.880749071182242,56.74233241211736,90.01585110906252,78.01858578874553,50.119984653564806,14.025427999645087,28.74041853593508,74.8137913760995
10,90.82111423509888,81.07835675480057,15.654476905511835,56.85422629599093,90.05611426536434,78.01858578874553,53.58815051580105,16.09334683710576,28.852085391488767,74.97403109673179
11,90.82111423509888,84.17650449274721,9.869175964185604,65.33533565868154,90.82111423509888,78.01858578874553,58.34240042716095,13.734032563158612,33.53333746812588,78.01858578874553
12,91.90192571783376,84.8756214377112,12.586106835229971,65.29382106544955,90.05611426536434,83.89968104797994,61.01750440794669,14.058154404331267,33.49189195772577,74.97403109673179
13,91.90192571783376,86.41194750331213,12.093664149102992,84.38140997390336,90.02585110906253,83.89968104797994,64.6657545266332,12.680676345950378,46.73939992297535,74.8637913760995
14,91.90192571783376,88.97261571126447,1.445156511973477,86.38590392033204,90.90192571783376,83.89968104797994,69.53852265118186,7.17249893996953,56.74388470578361,78.89968104797994
15,91.90192571783376,88.26387283188204,5.219197979497455,85.57643190514469,90.95192571783376,83.89968104797994,69.18977597301323,9.630847294953202,52.61437083851745,79.14968104797993
16,92.30192571783375,89.01631409581802,3.3740097969164253,87.03245530937957,91.90192571783376,85.89968104797994,71.31019409253537,8.681483323373067,59.79033995984249,83.89968104797994
17,92.30192571783375,89.34824701054202,2.409386243080562,87.61585110906252,91.90192571783376,85.89968104797994,72.15411869548889,7.654607939526338,62.81379137609951,83.89968104797994
18,92.30192571783375,89.56453167896372,2.666014577264272,87.81585110906252,91.90192571783376,85.89968104797994,73.21038870403008,6.9772437073084745,63.81379137609951,83.89968104797994
19,92.30192571783375,89.71182223526843,1.2359043981393083,87.79731564890858,91.90192571783376,85.89968104797994,73.11766305483545,6.066772568022549,63.715252858015255,83.89968104797994
20,92.30192571783375,89.29859569281547,3.789414421491383,87.24378056534857,91.90192571783376,85.89968104797994,72.64843429422262,8.066469674532618,60.84166251914685,83.89968104797994
21,92.30192571783375,89.02562232555441,5.221523855033085,86.44503586140512,91.92192571783376,85.89968104797994,72.83943512044635,9.950660613787544,56.842915194269125,83.99968104797993
22,92.30192571783375,88.84946243798613,9.899539926615946,87.55884558794075,92.30192571783375,85.89968104797994,73.55127125396798,10.91423412748112,62.71688030926272,85.89968104797994
23,92.30192571783375,90.21758519762992,1.2658281860523126,88.0342000615439,92.30192571783375,85.89968104797994,75.55937721227667,6.198947104147054,64.79208113637857,85.89968104797994
24,92.30192571783375,89.92558528208274,2.724151058056298,87.84166251914685,92.30192571783375,85.89968104797994,74.85134853281863,7.294015983916699,63.83954894973764,85.89968104797994
25,92.30192571783375,88.18501895269955,12.7631840109825,87.61585110906252,92.30192571783375,85.89968104797994,73.27862519633005,13.060310090040089,62.81379137609951,85.89968104797994
26,92.30192571783375,88.91773094718084,9.721688323032634,87.58342407327507,91.92192571783376,85.89968104797994,73.45151407066234,11.048553339786457,62.74140997390337,83.99968104797993
27,92.30192571783375,89.94481759366549,2.6490652756856545,87.3331895108911,92.30192571783375,85.89968104797994,75.02262511898516,9.094697637487627,61.45115371740607,85.89968104797994
28,92.30192571783375,89.74467431212389,3.526101502013552,87.44255601434816,92.30192571783375,85.89968104797994,74.83849137817894,9.450752252838145,61.84044046238889,85.89968104797994
29,92.30192571783377,89.06144529792041,5.775043810396027,86.18262628216621,92.30192571783377,85.89968104797994,73.42726520752292,11.234715633372414,54.980192357205254,85.89968104797994
