gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,92.59605369405452,25.5866536790817,40.074432924391935,-5.801315242589068,91.25921897749303,82.98936470590374,15.894743546632824,29.626369808907505,-5.804334395361096,78.4953419040772
1,92.59605369405452,43.08858797444714,39.8404104803624,-5.796057750765372,91.49061166337202,82.98936470590374,27.13238445815023,29.61076842731252,-5.799092654460526,79.48657125383502
2,93.2070431491098,70.43537930017673,30.517722191147435,-5.548883603457298,92.13315995220626,86.80150296873417,48.5106102101013,25.97473658246473,-5.5527724240570056,81.02805311082305
3,93.2070431491098,86.63462740723986,11.083371414888314,66.11084538081576,93.13214184093668,86.80150296873417,65.4213718369887,15.926472987510383,34.30651158475302,86.72700044143625
4,93.33740496697304,90.89778573248957,2.008801128951537,87.62951600496184,93.2070431491098,86.93109579777976,75.54052909268366,10.16211557491139,58.823850267426174,86.80150296873417
5,93.33740496697304,90.8900851124194,9.953499762478293,87.624637197657,93.33740496697304,86.93109579777976,79.83674717679327,11.824811133580118,58.823850267426174,86.93109579777976
6,93.33740496697304,92.86991750802854,0.6778638704956674,92.09907159105938,93.33740496697304,86.93109579777976,85.03221726589646,3.234347000193543,80.85291343821962,86.93109579777976
7,93.33740496697304,92.96030634570828,0.7687088317557803,92.10006533205843,93.33740496697304,86.93109579777976,85.45858618992959,3.739094321607287,81.61497898205619,86.93109579777976
8,93.40956741322128,93.12319634584196,0.396593714168844,92.7912305050002,93.33740496697304,87.00278772623588,86.2294214420824,1.9770678108527289,84.70566188257223,86.93109579777976
9,93.40956741322128,93.16158169120084,0.2610375493942149,92.93740496697303,93.33740496697304,87.00278772623588,86.37173586379623,1.2333815365794012,84.93109579777976,86.93109579777976
10,93.40956741322128,92.47349643131514,7.101124757632823,92.93740496697303,93.33740496697304,87.00278772623588,85.69960846920122,7.703699224310443,84.93109579777976,86.93109579777976
11,93.40956741322128,92.17603927961686,9.843275274053468,92.93740496697303,93.33740496697304,87.00278772623588,85.43417614066985,9.318745984447002,84.93109579777976,86.93109579777976
12,93.40956741322128,93.12922494399658,0.6353418136848894,92.93740496697303,93.34101308928544,87.00278772623588,86.1472921230989,3.146982649981108,84.93109579777976,86.93468039420257
13,93.40956741322128,93.21443450018955,0.1461577391795961,92.93740496697303,93.40956741322128,87.00278772623588,86.53644643485262,0.7333182961272815,84.93109579777976,87.00278772623588
14,93.40956741322128,93.25027295088324,0.1342559149360248,92.93740496697303,93.40956741322128,87.00278772623588,86.65219058117485,0.6391810866680132,84.93109579777976,87.00278772623588
15,93.40956741322128,93.24960181170296,0.1386341767500295,92.93740496697303,93.40956741322128,87.00278772623588,86.63549935704032,0.6623283452525398,84.93109579777976,87.00278772623588
16,93.40956741322128,91.297922825581,13.82179865337456,92.93740496697303,93.40956741322128,87.00278772623588,84.92387885178519,12.91997720268035,84.93109579777976,87.00278772623588
17,93.40956741322128,93.26119810891508,0.1198457853197655,92.93740496697303,93.40956741322128,87.00278772623588,86.72714477829169,0.534497027842465,84.93109579777976,87.00278772623588
18,93.40956741322128,92.9031712930499,3.550103064688881,92.93740496697303,93.40956741322128,87.00278772623588,86.13711582236064,5.71035987230343,84.93109579777976,87.00278772623588
19,93.40956741322128,92.26653462091792,9.85637505949275,92.93740496697303,93.40956741322128,87.00278772623588,85.79653411790385,9.221128774627347,84.93109579777976,87.00278772623588
20,93.40956741322128,93.2296909571671,0.1491185677129367,92.93740496697303,93.40956741322128,87.00278772623588,86.55161157216897,0.7365810507035601,84.93109579777976,87.00278772623588
21,93.40956741322128,93.21261611519893,0.3370760391498111,92.93740496697303,93.40956741322128,87.00278772623588,86.4865657692858,1.6881633467260408,84.93109579777976,87.00278772623588
22,93.40956741322128,93.16720660993433,0.4384437705943699,92.93740496697303,93.40956741322128,87.00278772623588,86.2811890492872,2.178813750516964,84.93109579777976,87.00278772623588
23,93.40956741322128,93.20492221177308,0.330326918969096,92.93740496697303,93.40956741322128,87.00278772623588,86.52698893465032,1.663264405369532,84.93109579777976,87.00278772623588
24,93.40956741322128,92.27741895996247,9.830063802343329,93.19356124000296,93.40956741322128,87.00278772623588,85.87145518383059,9.194303868581278,86.70798261018645,87.00278772623588
25,93.40956741322128,93.26146554530736,0.1055138854898183,93.19356124000296,93.40956741322128,87.00278772623588,86.7754814236776,0.4296262850618473,86.70798261018645,87.00278772623588
26,93.40956741322128,93.2598440054542,0.1138440707985305,92.93740496697303,93.40956741322128,87.00278772623588,86.7418231548512,0.5018565453887949,84.93109579777976,87.00278772623588
27,93.40956741322128,93.29598027184984,0.0899389964704719,93.2070431491098,93.40956741322128,87.00278772623588,86.84184108821395,0.3420222752842165,86.80150296873417,87.00278772623588
28,93.40956741322128,93.29333437531068,0.1032333941560062,93.19356124000296,93.40956741322128,87.00278772623588,86.80716271165444,0.4349542455772064,86.70798261018645,87.00278772623588
29,93.40956741322127,93.29594161166796,0.10266575287870361,93.19356124000295,93.40956741322127,87.00278772623588,86.80975456823535,0.435298777356465,86.70798261018645,87.00278772623588
