gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,87.69289246928255,15.090297785387152,30.89512606435975,-5.752572638825633,75.2731522524128,59.84814186652407,6.653236018551203,17.796520510063083,-5.755742213586912,39.269900217026425
1,88.63402398497817,41.436078263623855,35.05496214636112,-5.425750356202422,86.67899522686164,64.62936197187248,21.80350058778218,20.64149610200748,-5.430150056419469,55.03053324368108
2,88.95289246928256,62.584044345732046,25.262498628088743,-2.70805020110221,88.18488925724543,66.14814186652407,34.46699139891277,16.63467505863588,-2.772588722239781,62.32015247060512
3,88.95289246928256,77.761437684627,9.76139183553688,65.58401519957906,88.41178773226721,66.14814186652407,45.1343784650449,10.73998106827178,33.78143920581104,63.23077811391912
4,89.18669517527555,83.67270300034801,6.292335778384675,75.27170752911282,88.51961225613917,67.10168263345211,52.6028101284236,9.644207044047812,39.26846011748124,63.82284752008923
5,89.61289246928257,86.37142222576635,4.684403906812437,75.3229048994782,89.07406953196154,69.44814186652408,57.85328768076586,7.635923823879898,39.31948725361679,66.76132717073433
6,89.61289246928257,87.93731893304216,1.5789707191548612,86.25282822853991,89.18676750983796,69.44814186652408,61.55505322272516,4.93500735231303,52.876343344064026,67.11376918804592
7,90.03289246928257,88.50371732924013,0.6910807696074535,87.38682822853991,89.36837939666188,71.54814186652409,63.93019419757927,3.3672769706028927,58.55835394814509,68.24365013238794
8,90.21289246928256,88.94158784917116,0.5757328312397562,87.93150071693522,90.03289246928257,72.44814186652408,66.08883091225539,2.848890281329993,61.28703228529169,71.54814186652409
9,90.75289246928256,88.91765121122991,3.2689174234863563,88.17359786912593,90.20837939666188,75.1481418665241,67.1801053724726,5.323908153800466,62.17952289920313,72.44365013238794
10,90.75289246928256,88.41205202811348,9.289138627394864,88.35002663067603,90.45289246928256,75.1481418665241,67.75711790251611,8.24430928353107,63.34952289920313,73.6481418665241
11,90.75289246928256,88.88881167617171,9.222924138785617,89.00989246928256,90.63565493914464,75.1481418665241,69.72666851143858,7.811552030044287,66.43314186652408,74.56290545946429
12,90.81289246928256,89.92555238977306,1.5774102147719056,89.31265493914464,90.75289246928256,75.4481418665241,71.4480375904376,4.112517159912611,67.94790545946428,75.1481418665241
13,90.87289246928256,90.05990379210678,1.605602900620771,89.47008753664804,90.81289246928256,75.7481418665241,72.12239198483869,4.303541397042082,69.25791625347749,75.4481418665241
14,90.87289246928256,90.35482003848249,0.6579005296490522,89.7853793966619,90.81289246928256,75.7481418665241,73.1660791535759,3.281674161410506,70.32865013238795,75.4481418665241
15,90.99289246928257,90.39552502642732,0.8061846575721116,90.02389246928257,90.81289246928256,76.3481418665241,73.36998459075198,4.017975454299789,71.50314186652409,75.4481418665241
16,90.99289246928257,90.60704040805362,0.5186849030881691,90.38089246928256,90.92814186652396,76.3481418665241,74.42629855896243,2.5949243929142,73.28814186652409,76.04341372532816
17,90.99289246928257,89.6462645124429,9.304789234927409,89.8370079991439,90.92365013238782,76.3481418665241,73.52253177650334,8.328481776007838,70.59628788689005,76.03894312884262
18,90.99289246928257,90.65018890298124,0.5460359872823436,90.43789246928256,90.93289246928256,76.3481418665241,74.64945539391921,2.7211375145286456,73.5731418665241,76.0481418665241
19,90.99289246928257,89.70687489506858,8.74807421396544,87.55489246928256,90.93589246928256,76.3481418665241,73.55095549427111,8.471381258377676,59.15814186652407,76.0631418665241
20,91.17289246928256,89.735178164972,4.771714364267073,87.19488925724544,90.99289246928257,77.2481418665241,72.90567602636071,8.229778579820996,57.37015247060511,76.3481418665241
21,91.17289246928256,90.69103957247,0.7124686177706749,90.44989246928256,91.05565493914465,77.2481418665241,74.85110324559804,3.530965764248096,73.6331418665241,76.6629054594643
22,91.17289246928256,89.45777484388844,9.43609979261998,87.08088925724543,91.10837939666187,77.2481418665241,72.99565771076908,9.64142145715289,56.80015247060511,76.94365013238796
23,91.22814186652396,90.22927853168422,2.6023532214477605,87.33289246928256,91.11565493914463,77.54341372532815,73.34454441955134,6.502439933902551,58.04814186652406,76.9629054594643
24,91.46814186652396,89.27176333585614,9.616140830385982,87.03289246928256,91.17289246928256,78.74341372532814,72.46084122888087,10.172971709827095,56.548141866524055,77.2481418665241
25,91.46814186652396,90.47851460130644,1.1653716987450669,87.08989246928256,91.17565493914464,78.74341372532814,73.78417327139665,5.820537722915947,56.83314186652406,77.26290545946429
26,91.523413725328,89.50321324390545,5.775330817651749,87.08689246928256,91.35414186652396,79.03870783429072,72.95051578856591,9.47194281396207,56.81814186652406,78.17341372532815
27,91.523413725328,90.85314873076052,0.7850900215222228,90.3823793966619,91.523413725328,79.03870783429072,75.66601755313563,3.904602440306504,73.31365013238795,79.03870783429072
28,91.82814186652396,88.52367382758193,11.086989489635958,84.1188418125095,91.523413725328,80.54341372532812,72.360795248813,12.77163777109219,46.4906562589816,79.03870783429072
29,91.82814186652395,91.03049561236516,0.6382473175644096,90.6253793966619,91.52365013238781,80.54341372532812,76.55376570191368,3.1802871834724353,74.52865013238795,79.03894312884259
