gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,20.706055873791808,-1.6399831117544608,7.5768181301770205,-6.831405668395204,15.539107159510255,33.376827324144145,7.87452381935949,16.961304455686165,-10.627946468368728,33.376827324144145
1,20.784222012653927,1.3538485336174402,8.38774966694277,-6.1833996129605975,18.32192248643836,33.418954610470614,15.183627427785709,16.30080401219178,-8.507653886213744,35.10074575450658
2,23.94444329375085,4.941870279686923,9.159107236126005,-6.161398580628353,20.57647689337034,34.18623112320917,21.78583154572992,14.648693967384665,-5.255260736517859,35.123648942175016
3,28.030923506019622,11.30912506288305,8.326907697703428,-3.622183709761572,20.87439671351217,35.5101170172675,30.76750806629918,7.070134850091932,20.791041864606523,39.24525839122826
4,30.023133347853832,15.84637696603834,6.772621772380152,1.8245682464913475,23.637011487376064,35.62242628841488,32.466223215322,4.63615525240629,21.70659695310063,40.53967695172953
5,31.753003096752,17.956155823869448,6.445099678471398,6.528201316739652,25.71941038930509,35.977846842714314,34.08484640059698,3.313210686721074,29.53608236036004,40.48313316307504
6,32.67487044945965,21.408345997183325,4.915667188790366,13.801356497022148,31.32873236357407,38.7164373284532,34.245612098756595,2.7354923251876366,30.17317326232677,38.818865296027326
7,32.67487044945965,22.52700620210121,4.4070986331581095,13.811172838749457,31.678479717251182,38.7164373284532,35.026476296485725,2.561143548504713,32.352227020290265,38.82014311668112
8,36.0162947581865,25.138855317277503,4.331834268002138,20.633357973944,32.25283192937465,40.71741214937898,36.05545482538374,2.585299818419507,33.32349486830045,40.15130216711843
9,36.0162947581865,26.41962020179135,4.033070079029418,20.778087881832302,32.25283192937465,40.71741214937898,36.37780404917215,2.432274945419858,33.42815139513986,38.9903931563668
10,36.0162947581865,26.730456072265888,4.487689489592174,20.655062981701345,32.76761115876244,40.71741214937898,36.8950809160145,2.0804631688692763,34.117480577233465,40.02064982861036
11,36.0162947581865,27.66515614851668,5.1417253989606895,21.73351568993218,32.40693867310908,40.71741214937898,37.46783133843997,1.8673480953709385,34.23534004038875,39.99801352004562
12,36.0162947581865,29.204160281966807,4.251076492336515,25.190965384390125,33.437076816586,40.71741214937898,37.73508442348441,4.828953046294527,35.08202649244389,40.71741214937898
13,36.0162947581865,29.256388955787312,4.669151184339755,23.07725493179832,34.85335892773606,40.71741214937898,37.59110276110973,5.173162674001014,34.93075051600617,40.71741214937898
14,36.0162947581865,29.163409164116825,4.925877694176488,23.06040033433641,34.792550028774315,40.71741214937898,37.63190667512327,4.83155507548284,34.0573426983786,40.71741214937898
15,36.0162947581865,29.842349163205927,3.0609416446118245,25.25196574838481,34.792550028774315,40.71741214937898,38.213928981844845,2.1384520379123804,34.648067196526185,40.71741214937898
16,36.0162947581865,29.47786021198868,4.504592682175075,24.82210502925417,34.86091060961921,40.71741214937898,38.39486258979498,1.7027623792844997,35.053598595104624,40.66603629683415
17,36.0162947581865,28.78264075548781,4.539468403986943,22.562010578305703,34.86091060961921,40.71741214937898,37.94976705222001,2.2779093772195647,33.678230956241,40.66603629683415
18,36.0162947581865,29.203524247678573,4.938251544530002,22.528396671029,36.01600846060058,40.71741214937898,37.94593044516364,4.666763831992711,35.00016717442826,40.71741214937898
19,36.0162947581865,29.734398458328823,3.983953384710754,24.90499653159491,36.0162947581865,40.71741214937898,38.354889106023286,1.7692370793570782,34.83838149627873,40.71741214937898
20,36.0162947581865,28.89517767994104,6.42356315445764,18.737966849225053,36.0162947581865,40.71741214937898,37.52779637316264,5.324827781973593,33.44301742090773,40.71741214937898
21,37.60953589594179,30.54805964708467,2.956937562617848,25.311223462097303,36.0162947581865,41.108689108206505,38.64566818021298,1.5912805521359916,35.53125433457848,40.71741214937898
22,37.60953589594179,31.049138383089293,2.715943817734183,27.19017819868087,36.0162947581865,41.108689108206505,38.8471016994707,1.763093872494501,35.385567299542586,40.717413606806936
23,37.60953589594179,30.36555910765293,3.054820665517527,25.304164967103183,36.01516804872169,41.108689108206505,38.93797888647018,1.5244698550408422,35.51252374962573,40.71741214937898
24,37.67948144437378,29.828074367556365,5.989940797683312,23.40370528267184,35.61237810619306,43.02210285599379,38.03671784234837,6.507507427431397,34.961439276375174,40.747484620792825
25,37.67948144437378,30.804548510953666,3.1362035248142903,25.32048641835921,36.01516804872169,43.02210285599379,39.08383445605276,1.574901493020897,36.0823532589456,41.11916318208738
26,37.67948144437378,30.205960442883192,5.350370026763774,22.534024859882816,36.095966010446105,43.02210285599379,38.42396025286739,5.27930107149245,34.96219010951003,41.40402364157281
27,37.67948144437378,30.92905942266612,3.323534426748088,25.21111330427708,36.10524593608548,43.02210285599379,39.05176019394972,1.992904036780727,35.46238616770887,41.971407834560736
28,37.67948144437378,31.171677974694717,2.8219449799707887,27.205895557846368,36.095966010446105,43.02210285599379,39.2327171532234,1.6525130630844092,37.31000642661631,43.02210285599379
29,37.67948144437378,29.686192303272243,5.398676698122572,23.000030137926988,36.01611648280245,43.02210285599379,38.65013351911895,2.609805112885373,34.18152370324908,41.15251924923678
