gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,74.77148899640882,11.888969955820732,20.32021914630675,-5.8261473828919375,56.74233241211736,38.76951855242152,4.299414722440718,11.196051186044052,-5.8290924605938725,28.74041853593508
1,84.24302101441445,25.42027254699107,22.77540347656069,-5.624556111036434,65.74512122908232,45.84090461150807,11.726858864129069,12.58764227840421,-5.628157791472792,33.74320199925295
2,85.21173587691742,42.85070505595868,20.6431507349327,4.581159392203402,74.74233241211736,50.80968459414685,21.39078959195697,11.630561127115651,0.5691832011566866,38.74041853593508
3,86.29520676758501,55.92508281781884,15.192231761663365,30.179768921391105,84.29145675753959,55.89297711225775,28.83462592178376,9.474741243146989,14.176806393922108,46.08934361063999
4,86.44090461150806,62.14246982063592,13.69510207598306,38.20921802644942,85.45786214567377,56.83879267830493,32.64438045882183,9.369614618473877,18.40744177153904,52.015797938684415
5,89.8137913760995,68.66049995551322,11.305366394508622,56.74233241211736,86.29520676758501,73.81173587691741,36.89045433499851,9.518127471937762,28.74041853593508,55.89297711225775
6,89.8137913760995,68.73674893689969,15.79232908261039,38.874787446012014,86.43889827496508,73.81173587691741,37.62267189095354,12.16996987879416,18.872602322456345,56.836790570082336
7,89.8137913760995,70.21629169749254,12.570490412169224,47.877507190485616,86.43889827496508,73.81173587691741,38.25424006527728,10.58465544255534,23.875316609105795,56.836790570082336
8,89.8137913760995,73.1216966386237,13.230896288531095,47.87970258104905,87.7821170219351,73.81173587691741,41.14362566710367,12.156543274236933,23.877507190485613,63.09975676828528
9,90.55736716631762,75.56937485520977,11.823827352213227,47.86874387017041,88.37325890392208,76.95499468596398,43.41532765624536,12.296066532595315,23.86657199538824,66.29103322305161
10,90.55736716631762,78.20202932190291,11.544168525351363,56.299091151035775,89.8137913760995,76.95499468596398,46.55997409274852,12.683466517782511,28.497163439593614,73.81173587691741
11,90.55736716631762,82.26665618888798,8.044381943900058,65.8564678580393,89.84428426182963,76.95499468596398,51.24057868413466,11.667491123433392,33.85432217329739,73.92220479482648
