gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced,best_default_explore,mean_default_explore,std_default_explore,Q5_default_explore,Q95_default_explore,best_balanced_explore,mean_balanced_explore,std_balanced_explore,Q5_balanced_explore,Q95_balanced_explore
0,24.74423773260887,-0.0744986729863255,8.934326880642043,-6.599793026592272,20.103992233560056,40.184262877925846,11.06479047828301,19.23824420301965,-10.200894782244308,38.118426830518494,22.47804133605642,-1.44245968779435,7.3316742947490035,-6.725333048118527,13.801356497022148,42.089538520048414,12.89805460156628,18.974953516617845,-11.498137679878145,35.35089140847459
1,24.74423773260887,7.6481759012693,10.195877926342908,-6.013532122333702,22.510798021953224,38.1261727050333,23.79343427635779,15.26521929181115,-8.303761366356675,38.0684483630864,31.33984720715929,4.399523523162138,8.835616192476508,-5.286147209684917,20.10233609186194,42.089538520048414,25.17294729736695,10.284799056450185,-0.7709586661605123,36.29916243066975
2,24.74423773260887,12.876008629683309,8.44678854459622,-1.8732142879993523,22.558435804339737,38.37042513348531,30.494992046746347,9.030120021778671,18.900284039665426,37.941020346311234,31.33984720715929,8.51178177519504,8.876781495829851,-3.616052572784737,24.976329320968496,38.9079014587419,25.87257101289641,10.464669718101284,2.428126878504417,32.35835521991443
3,26.66957342989025,18.150846391166304,5.605977389455745,5.385257276008679,25.00845919356896,39.39206795115677,34.2300773898248,2.961194347179629,30.666833726156703,38.60891839126729,31.33984720715929,11.364105527779598,7.544609102012291,-1.450042102519657,24.99103215685748,37.77896209314446,28.319992412572752,8.392451477033157,7.265516008107783,34.14306833343094
4,27.17133761077527,21.19154407600337,3.4333385153043627,15.209051296476622,25.34653549810184,39.39206795115677,34.74946458932073,1.6148058899225834,32.420808295698855,37.71248262568483,31.33984720715929,14.785161859289271,5.635138189891907,5.828868275554906,31.33984720715929,37.77896209314446,31.2173189308198,3.609901570585822,23.063499155267515,33.411972451685166
5,27.96311449621621,22.427534058364007,2.695324427928855,18.13814085248772,27.15656992506511,38.76524871380861,35.1068494086901,1.907628383748956,32.91080916177495,38.320598106986026,31.33984720715929,15.76187340748304,6.290721254004262,8.665247723185564,31.33984720715929,36.884029441532746,30.419349504359047,5.579458980133098,20.38309254587484,33.411972451685166
6,27.96311449621621,23.08362705185364,1.95808330821148,20.004657831741067,26.58094976277381,38.84286473924761,35.58377192567835,1.7054866126041743,33.09130391727082,38.38368461141047,37.67471375219171,16.98790787524284,7.622275626986565,11.42424094092107,31.33984720715929,38.54143644444122,31.516074768567265,4.666710434134575,27.18697443634752,37.046525535734666
7,27.96311449621621,23.666729232223947,1.727651311258808,20.806702392696653,27.044049698872584,38.9551928565258,36.025784625230465,1.7709060096788545,33.4302485920853,38.7876529475009,37.67471375219171,16.596231760485026,8.103956097899701,5.31170474272825,34.8240238069271,44.23888641296992,31.248438315256504,6.066209481325346,18.644157392587864,38.54143644444122
8,27.96311449621621,24.04324899571301,1.5693258354942716,22.56823390455084,27.96311449621621,39.06022490340136,36.58730078502235,1.5537848746687677,34.91892584437711,38.94325035136897,37.67471375219171,17.07483109164807,9.575340673929198,1.7295287158548218,37.67471375219171,44.23888641296992,31.03733150105156,7.182788239211722,16.996990188863215,38.5726901416977
9,27.96311449621621,23.96536477568929,2.2324098387198443,21.728857189180548,27.96311449621621,39.06022490340136,36.35260115614263,1.7337018703107183,34.10010327691412,38.96041564850349,38.40281582000164,17.89142922434026,10.871076358927022,-1.160021664151127,37.67471375219171,44.23888641296992,32.17178354663893,8.889582308253019,16.130564528096983,41.84367487972442
10,28.972815038963407,23.45929517784818,3.253377048959871,15.506119420207668,27.96311449621621,40.31102144819489,36.17281944902021,2.088476691605381,32.69886393088204,39.01666163955028,38.40281582000164,20.91453928078768,10.136112760984338,5.915333657726856,38.07516988948717,44.25328400225256,33.53761116006773,7.176958355557745,26.930325739858542,42.776195068293255
11,32.55246793502502,24.50938382611498,2.9476250777254163,19.60933494756596,29.66551317227417,42.56063880428837,36.78950384737049,2.313068640554399,32.774897860746606,39.7481630030378,38.40281582000164,19.11403134058822,11.270454456874043,3.7027559656751694,38.40281582000164,44.25700447663298,32.199320481155766,10.151929853827902,10.527186653903414,43.16104122300944
12,32.55246793502502,24.68904773144213,3.408478762739524,19.71628097964389,29.972656675911093,42.56063880428837,36.92227612478061,2.232966875255578,34.37648707200458,40.76519706708717,38.40281582000164,19.324628205325592,12.431927451060982,-0.9202790275422416,38.40281582000164,44.25700447663298,32.36987954293125,10.13519778793233,11.38247902332127,41.84367487972442
13,32.55246793502502,26.3732701770565,3.126379556334694,22.50504345534756,32.19850641063214,42.56063880428837,37.50429219278375,2.7434255227760804,33.13734911863079,42.4854530386109,38.40281582000164,20.232269109073243,11.697701782692295,2.31126259120738,38.40281582000164,44.25700447663298,34.22134072620437,7.182682575322339,20.8164723405371,43.2489361090848
14,32.55246793502502,27.259613095400283,3.8002728364063616,20.50013826144165,32.55246793502502,45.1027944976346,38.44352084543561,3.347779958011643,33.0065238295879,42.56063880428837,38.40281582000164,18.316407766490148,11.571598204936173,0.8305823669881616,38.07516988948717,44.25700447663298,33.38434370981792,7.307954932222138,17.23931789475328,42.82973578884143
15,38.40281582000164,27.11027410915955,6.349334686584869,14.536986297744782,38.40281582000164,45.1027944976346,37.84165399815522,4.767283388888522,31.354817255495835,43.002097248421,13.805316770117772,-2.467437270323679,5.598449329874086,-6.589138635254298,11.602153610097814,41.62086946293493,11.204908103496733,18.77439799320089,-10.38012581809473,36.40527410308089
16,38.40281582000164,27.12972583975235,6.233755139416209,14.809231414458177,38.07516988948717,45.1027944976346,38.15209188646008,3.169268352408421,32.19430917774276,42.4544450088057,20.126427423430204,2.0678531731152203,7.523770969927309,-6.029689369415824,13.805316770117772,45.459967024102575,24.55856391050112,14.371207579639774,-5.225828881525798,42.3645567862588
17,38.40281582000164,26.02504373867633,6.374721289837507,14.704314132071222,38.07516988948717,45.1027944976346,37.67510628719667,3.506498096676022,31.80888847950697,42.61080275654892,20.48269976991947,4.770272853514692,7.739796393451825,-6.004794972056713,15.32654133023964,45.459967024102575,26.57114151262042,13.319623773144077,-5.268100275029794,42.28514555587835
18,38.40281582000164,26.838457252125973,6.141477051258142,16.27176072064432,38.07516988948717,45.1027944976346,37.59353723054916,3.6027378252660243,31.251238629572807,42.4544450088057,22.271550032752486,10.37468165543538,6.899025215892992,-2.492655280726602,20.56559858913813,45.459967024102575,31.67071905676443,9.795872662026769,20.721199927026618,42.34450292051733
19,38.40281582000164,26.733471069223665,6.795161679574674,13.089034639297058,38.40281582000164,43.22400377945455,37.63838364525162,3.6151772848532056,31.34222593173996,42.06471775031125,25.25596012945323,14.035512273555474,6.20046536701494,2.8123521857765232,23.26801268925028,44.78156796522236,35.11472726233312,5.440886535546525,26.54959639567473,43.99802334435506
20,38.40281582000164,26.903963001273432,7.172495652418753,14.93970721411779,38.40281582000164,43.22400377945455,37.18750852589445,5.195124674848644,31.403692664002683,42.23800503823459,26.34690413031813,17.74721389654815,4.844330995023063,11.780340995544348,26.33617781789825,45.366003153737886,37.5447134863001,4.878385302938404,32.046117918581345,45.04827411219138
21,38.40281582000164,21.508117668061075,10.811786488838822,4.04325775827117,38.40281582000164,41.84367487972442,36.23547358456494,4.213324366568473,28.8220141820426,41.84367487972442,26.81874372287903,20.018183912122883,4.565330928928071,13.80011522133554,26.370944407616363,46.71639322168423,39.46525695194813,4.565110080594006,32.35062017021541,45.366003153737886
22,38.40281582000164,22.632386089065108,9.643774324623545,3.370499341484144,38.40281582000164,41.979372498264745,36.13577116603552,4.808815503693951,27.190210605143573,41.84367487972442,28.04574729654519,21.73366336928513,4.0759704099714025,13.817882965338296,26.37853529567285,46.71639322168423,40.01519553314327,3.97360051405384,32.37064970617957,45.439369107249085
23,38.40281582000164,24.17650388834792,8.621710872813749,8.498685958127172,38.40281582000164,44.44132563882826,37.43073262618797,4.21584115101001,30.327157959120395,42.148725422738046,28.04574729654519,23.510916994522105,2.952057118134309,17.4544652601753,27.29679343058115,46.71639322168423,40.25333079146717,3.644386448223065,34.562905632825604,45.91858235772487
24,38.40281582000164,25.79769805206229,7.657910435665209,13.65580116894778,38.40281582000164,43.70571088206834,37.61440134363736,4.391985659031649,30.24926569432592,41.92233200816368,29.033096928677253,24.44169576970529,3.0290510110060005,16.950945045789034,28.04574729654519,46.71639322168423,40.19939743613613,3.2965755407859665,35.53556455495682,45.91858235772487
25,38.40281582000164,24.27034745948015,9.392890774731908,7.357853481821031,38.40281582000164,44.01634200707532,36.36008609075514,7.20613399329868,28.29957543508276,42.3797057042255,30.808134100394973,25.679608459143694,2.9297789103167537,20.97564705911008,29.033096928677253,46.71639322168423,40.31778238555009,3.143622126706872,35.71348866907677,45.81366828508053
26,38.40281582000164,24.317832944205698,9.253342738019915,7.865117523505454,38.40281582000164,44.01634200707532,36.34479131207922,7.11237859540319,27.606716803687178,41.982216385223175,30.808134100394973,26.386842209687902,2.748278332921667,20.732032860713865,30.319064146933577,46.71639322168423,40.35529461715997,3.133044968602956,35.322003525531514,45.95738357970277
27,38.40281582000164,25.77844572633264,8.931142387655202,10.047170552894952,38.40281582000164,45.06290702503785,36.99454910691192,7.145160495826244,29.61292587542048,43.15952288773579,30.808134100394973,25.92196324261696,3.696506182688014,17.2068374702567,30.319064146933577,46.13424948244302,39.95294653831842,3.0761807260429523,34.824248444159046,45.64297677055519
