gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,87.9662779964458,66.3367078983386,18.11282481848204,12.59732261812772,87.15105438238983,61.56192069107695,45.62494496083958,6.765951043850024,39.739981654782696,58.674883388127554
1,89.03699002086162,73.29292670450997,12.937198179574414,57.055523048164744,87.18088162462297,66.47212383121057,48.04738513071169,6.984334994457294,43.94532646126501,59.55434184612633
2,89.10322890233346,78.9365395441492,13.850095319397685,66.00681538155617,89.03699002086162,67.04814186652408,52.19489109131703,8.51274154422538,44.13822643838739,66.47212383121057
3,89.13289246928255,86.20269038207549,4.712719621851532,75.00681538155617,89.10322890233346,67.04814186652408,58.85338480933599,6.2432857433998565,44.19486503108351,67.04814186652408
4,89.37289246928256,83.87244878478266,15.483977364405757,64.8802682033658,89.10471208068091,68.24814186652408,59.59067470928064,8.326796607277222,44.57964170737856,67.04814186652408
5,89.54669517527554,88.5300575835947,0.8983667371531496,86.99646619252306,89.37289246928256,68.90168263345213,64.44688093639878,3.790135648554469,57.85693953965871,68.24814186652408
6,89.66661051127251,86.36355156398231,14.165853703702515,87.05788162462298,89.3815826045822,70.04814186652408,64.64164032223597,8.08354051875117,58.91848509561596,68.28081890487049
7,89.66661051127251,84.783059355219,16.861480033022627,63.77682049059606,89.54669517527554,70.04814186652408,64.33780496368904,6.73389572870446,44.648141866523936,68.90168263345213
8,89.66661051127251,82.924808631765,18.83824425124127,12.357915937726627,89.54669517527554,70.04814186652408,63.43003239260341,7.170018289711649,44.648141866523936,68.90168263345213
9,89.66661051127251,84.5051609122418,16.337468310123732,48.35907238904231,89.54669517527554,70.04814186652408,64.32722381293732,6.863002386527953,44.648141866523936,68.90168263345213
10,89.66661051127251,84.48795296701469,16.333287453600448,48.3590723890423,89.54669517527554,70.04814186652408,64.2569924653021,7.098212880474058,44.648141866523936,68.90168263345213
11,89.66661051127251,85.06826090014583,14.960224030375658,65.12035006284634,89.54669517527554,70.04814186652408,63.98704247196285,8.791934956504305,44.56675902988615,68.90168263345213
12,89.66661051127251,85.06826090014583,14.960224030375658,65.12035006284634,89.54669517527554,70.04814186652408,63.98704247196285,8.791934956504305,44.56675902988615,68.90168263345213
13,89.66661051127251,83.92653776917338,18.002001011508078,29.38588110610859,89.54669517527554,70.04814186652408,64.12505899050267,8.99983490576114,44.588131230627496,68.90168263345213
14,89.66661051127251,79.93963045980313,24.730565769243434,12.340170560622736,89.54669517527554,70.04814186652408,62.83654336090279,11.353537924373123,44.588131230627496,68.90168263345213
15,89.66661051127251,80.26723196038698,24.918404678107652,12.339997848879332,89.54669517527554,70.04814186652408,63.118334609598286,11.272194538349556,44.58835394814496,68.90168263345213
16,89.66661051127251,80.89150899805065,22.19151255862026,12.35455310235676,89.49558260458221,70.04814186652408,62.10647730160583,10.764098100220554,44.32530052242902,68.90168263345213
17,89.66661051127251,77.92479944424291,24.289713384286753,12.343833668933156,89.49289246928257,70.04814186652408,60.32374333706846,10.23980170490651,44.15645558296864,68.8508189048705
18,89.66661051127251,80.65475069256424,21.58371863362464,12.35455310235676,89.54669517527554,70.04814186652408,61.342735984371245,10.699940491526885,44.15645558296864,68.90168263345213
19,89.66661051127251,80.6801013506428,22.72434070077857,12.35455310235676,89.54669517527554,70.04814186652408,62.18833171527195,10.046121068863394,44.58835394814496,68.90168263345213
20,89.66661051127251,83.14889457502787,18.514294115099247,21.069309044090264,89.54669517527554,70.04814186652408,63.53650570403092,7.751424270663029,44.64537618462473,68.90168263345213
21,89.66661051127251,81.80966714316253,21.11210424566231,12.33669349772182,89.54669517527554,70.04814186652408,62.31891170049191,10.534521917129233,44.588131230627496,68.90168263345213
22,89.66661051127251,81.80966714316253,21.11210424566231,12.33669349772182,89.54669517527554,70.04814186652408,62.31891170049191,10.534521917129233,44.588131230627496,68.90168263345213
23,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
24,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
25,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
26,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
27,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
28,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
29,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
30,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
31,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
32,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
33,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
34,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
35,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
36,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
37,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
38,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
39,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
40,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
41,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
42,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
43,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
44,89.9066105112725,83.7282858995924,17.65121020306482,21.50754163775479,89.54669517527554,71.72353644806864,63.53681647302812,6.951093106690075,44.585956975030506,68.90168263345213
