gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced,best_default_explore,mean_default_explore,std_default_explore,Q5_default_explore,Q95_default_explore,best_balanced_explore,mean_balanced_explore,std_balanced_explore,Q5_balanced_explore,Q95_balanced_explore
0,23.0903170818451,-2.6390659827562133,8.194462843161958,-6.796047028692969,21.440583564543022,37.7460675930724,4.0978228327040975,16.943767498839424,-11.077808148109412,33.01407360156083,20.693344319265005,-3.362720868648702,6.393893842769389,-7.383232102082146,11.165971807863702,39.10144290812893,5.577121742025729,17.64557169863768,-11.501744059377442,33.34424518009627
1,23.17588765007461,-0.031874974897483,9.089395005022505,-6.353113490466114,21.44411820317929,37.82930942959567,13.109762812054322,16.953978596302044,-10.117730475982464,33.01811583500055,20.693344319265005,-0.8475758100775386,7.423954995688188,-6.523890297568372,17.5919497992557,36.42048398862479,12.578528055179714,17.176911399746935,-10.208406510796808,32.961915082988746
2,27.13373355781317,6.859926052159286,10.67408230272867,-6.050228223525208,23.92470567167944,38.10710828869911,24.97051173637789,10.972657140696484,-5.036478889992061,37.84184436497769,20.693344319265005,2.143965043998288,8.78669975681137,-6.366765804513446,20.626419878294595,42.00650049962586,18.994259064966368,17.530809045762666,-8.499892840279516,39.00656702188715
3,33.49165181949655,13.234058114551814,10.288903357712194,-0.8506149304778079,25.965372189734765,38.480248073666246,29.4208976075999,8.082309484235319,16.290061015685243,37.92436358685181,20.77355114584917,4.462754017163483,9.004822461047315,-6.109422860320957,20.693344319265005,42.49599107859403,24.28476504681247,14.116025836664946,-5.253846179603035,38.58241214214909
4,33.49165181949655,20.63049574566925,6.319194974842509,13.242460447163586,31.36759032957433,38.480248073666246,34.07337253101542,4.837265087012601,30.943104149108954,38.37818667272315,25.46447708293272,8.471246984718807,9.74728994327508,-6.1775741382065785,23.14158901560865,42.46552042278799,26.417892632681284,13.606442253920656,-8.049815196147101,38.17919515073741
5,33.49165181949655,22.285195131592687,5.246185967302346,13.801356497022148,32.79293122614495,40.44514728073235,35.488841778046975,2.662326998193376,32.09761883794195,38.480248073666246,26.999579678181767,15.606965242608585,7.283841606975309,2.234532242000281,25.46447708293272,42.9068175922417,32.96220938387857,4.255173523000712,25.83673606250968,40.57403050203096
6,33.49165181949655,23.928405810768176,3.535404451038972,19.427627040506348,31.120331997561884,40.44514728073235,36.56588518102149,2.287204080082468,32.58176174121343,38.65207854111205,27.872835505866902,19.55727143303743,5.472276735236363,8.723534256094467,26.999579678181767,47.26115730926458,34.176069994024544,3.7059605494852894,30.4706980593803,40.62768293625061
7,33.49165181949655,23.932459043034992,4.460858271943258,17.280913256898703,31.15431220233291,41.10813021599565,36.48294906770344,3.187284006722558,32.277658407149296,39.1758040064271,28.024122913675207,19.669306740682927,6.438133061497949,6.678130419009585,27.32651446306032,42.9068175922417,34.431957084114735,3.800418508718011,29.05679437731241,41.73554435699726
8,33.49165181949655,24.928721526261803,3.870800796284183,20.027604093922747,32.21482207381502,41.81748958328524,37.0475705409144,2.153538597371358,32.868060791056074,38.81167255202256,28.024122913675207,21.6406506960083,5.020283787447609,10.78761746183595,27.749136070744942,44.7093601929419,34.88718118120056,3.853696343535799,30.907646982898463,42.443658688723865
9,33.49165181949655,26.142368130517283,3.453148947107137,22.186922127659788,32.99669160545257,41.8938518066539,37.62272499847335,1.7690328461593896,34.12108224724998,39.238188883455365,28.024122913675207,22.1224352530243,4.449219356941219,12.6561006139012,27.749136070744942,44.7093601929419,35.02323399563109,3.88051001795156,29.629243563043108,42.51066531396122
10,33.49165181949655,24.59489394466164,6.536829037952501,12.645644201480316,33.49165181949655,41.8938518066539,36.95119280126485,2.6281669844367137,32.075945941693604,39.36760554675823,30.241428147377786,23.06791297916927,3.7102235253881473,16.537372077230643,28.024122913675207,44.34177489716082,34.99973289497724,3.398549388752744,29.8017757413456,42.65352523885539
11,33.49165181949655,26.620819351131967,3.317204211003625,22.22628750672484,32.99669160545257,44.03939087196764,37.84103732416499,2.2288938376211123,34.123854217470935,41.5764157333055,30.241428147377786,23.47447860637011,3.741829243970229,17.665324449743174,28.024122913675207,44.34177489716082,34.84904110478754,2.798698172962077,30.24080063106204,39.89351369210149
12,33.49165181949655,25.964087699144347,4.652836443187591,16.38985879225751,32.99669160545257,41.8938518066539,37.20921647255887,2.498623412566163,32.82412356006495,41.5764157333055,30.241428147377786,24.642965859656933,2.9585758612839363,19.594748248494515,28.90767448949691,44.34177489716082,35.469196753363256,2.8550043026372287,32.62446183701662,41.11923692920477
