gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced,best_default_explore,mean_default_explore,std_default_explore,Q5_default_explore,Q95_default_explore,best_balanced_explore,mean_balanced_explore,std_balanced_explore,Q5_balanced_explore,Q95_balanced_explore
0,13.801356497022148,-4.225646340190578,4.872545415683255,-7.531804427680219,6.565026111156254,35.15922740673489,0.8970665258683479,15.24928371134204,-14.074809965612763,32.35172127387702,13.801356497022148,-3.6099751213731137,5.682793651185702,-6.849687338253829,13.249624291542162,33.976313109834855,5.826919347739376,16.619840156615247,-11.503560195087136,33.23490442939567
1,14.53580122097111,-1.6072349720503505,6.719883853837298,-6.658212530172387,12.92635271146054,41.818095240728645,6.881420468325497,16.645253474121066,-9.034051263520514,33.23490442939567,13.819169893318474,0.0560547470917256,7.824483677108151,-6.40504148056107,13.801356497022148,33.976313109834855,13.791986423058544,16.62695687740617,-9.63079783012662,32.3611545976185
2,21.29286972016936,2.012086930511829,7.4656323580541954,-6.068092393490253,15.029241922217544,41.818095240728645,18.414246604429152,14.906487788654712,-5.269515243417276,37.74034041944746,22.963453954562432,4.831548781088809,8.77276444176521,-6.002740412555079,13.81773778176113,39.42533797907557,22.791861970022527,13.683811382104649,-5.255068892231207,33.96785118362364
3,29.23254984476871,7.869231264240613,8.524664274273327,-3.925023202667751,24.59034265481652,41.818095240728645,26.441277774010526,10.957473728303455,-1.3316160777901365,39.92816628681821,31.2760741815852,10.516337533071496,7.792935989404271,-3.515778697815498,18.870800217882,41.24552927167357,30.900303922141035,5.308473860648222,19.722561279250183,36.97327678791724
4,30.63833507815584,15.446694887014566,8.488397479174433,0.8689913336771289,29.11026080211106,42.52479234695005,33.34051744493378,5.7476686730635285,21.58904477948824,40.55744668300916,32.00794509509263,15.127637968135314,6.671702552136911,7.114586769101034,30.79374641982392,42.240375778808186,32.839468560602924,4.23164711700622,27.248788659272428,40.81398577524159
5,34.82846229877443,22.16169132305828,7.145893104348969,9.528133706369198,33.348638595910955,42.14428336675304,36.292360462315386,4.395116995629162,27.65503439529605,40.194658919717575,32.00794509509263,18.119614919735643,6.869960433457635,13.801356497022148,31.64346284087217,42.240375778808186,34.515406402902464,3.508709520097516,32.35172127387702,41.40804439833928
6,34.82846229877443,22.73062149974184,7.585052415732926,10.407603126025194,33.769607124392586,43.123871108628855,36.81234456764313,3.552169465866004,30.9624961187327,40.50523980615178,32.495912071502175,22.285118756455017,6.910394652525473,13.82904053958138,32.01080566205017,43.92413886859906,36.625554943650194,3.6367377013420255,32.43946714193172,42.315629197387
7,34.82846229877443,26.980149969907664,5.3737459827794165,17.956006812317845,34.82846229877443,43.123871108628855,37.78693055083439,2.821286776281658,33.4407360405061,42.45148308300023,32.51750821978564,27.74036605486188,5.160703915290092,15.653907708204974,32.495912071502175,43.97737722905506,38.32377866453856,3.0768539558787262,32.98824671606059,43.92413886859906
8,35.579733036181786,27.01280233978853,5.64860159070541,18.422092689489613,34.82846229877443,43.59363272269204,37.96737337109639,3.256969626603653,32.59863033164646,42.692995398379885,32.51750821978564,26.85900763689,7.490166030554502,11.183507030975058,32.50778995305808,43.97737722905506,38.03021670602161,4.038172721104584,32.19394223703321,43.95341996684986
9,38.35279358159701,29.07108667520477,5.119779510138591,19.138920431286063,35.990480624536346,43.59363272269204,38.80517355925394,2.512968252755068,33.96653782649932,41.892557136542905,32.51750821978564,28.955117977869143,5.576566901028319,21.44825317784341,32.51750821978564,44.07830161265888,38.8390374481068,6.0864878317095314,34.49185213860427,43.97737722905506
10,38.35279358159701,30.291562210456764,4.522890717953686,21.543422407039102,35.990480624536346,43.59363272269204,39.18887115834573,2.545524058323788,33.73996014682571,41.892557136542905,32.51750821978564,28.3424390868653,4.620753067820085,19.06926378845281,32.51750821978564,44.07830161265888,39.01424323726335,2.8560809591409493,34.40620891973473,43.97737722905506
11,38.35279358159701,29.17003256251665,6.198590861585237,17.958195690760007,37.440982544813885,43.123871108628855,38.33035773934219,2.894291502343447,32.99681222541929,40.721210828662855,32.93111381059375,27.473801209292265,5.391807855250847,15.472877463119406,32.469443289775704,43.97737722905506,38.277412596632914,2.917058461692686,32.37080632525496,42.42819075503539
12,39.93136262082989,31.09287033047423,4.187175239141372,24.101343938287307,38.35279358159701,43.123871108628855,39.00816067235823,2.2708111280799503,34.26702271861481,40.721210828662855,36.527100637775575,28.975333385739543,5.802711839481428,22.62753472924991,32.764384463986744,44.52418607865208,39.10542656005882,3.0507994893574093,35.250007604887706,44.18591135369712
13,42.66279318716235,30.5408398853736,6.016376218187069,19.15382449792829,39.93136262082989,43.42263086136202,38.63467612215484,2.500073351925216,34.19046333027133,40.721210828662855,36.527100637775575,28.76358033916837,5.7862721773756975,17.135454321186316,33.83725790460146,44.52418607865208,39.31741826541158,2.8580716502212447,34.18829222410599,44.18591135369712
14,42.66279318716235,30.70575929604101,6.1660960552533615,20.899241888411865,41.433649432312734,43.048745942806846,38.9024438670858,2.4000146228438526,34.77909313079213,42.06349345455208,48.50244672168428,30.643578524183976,5.405655713846323,21.4354587507399,36.527100637775575,44.52418607865208,39.445379274272426,2.7299261031833075,35.44519639287847,43.9085041685846
15,48.50244672168428,30.978466313992104,6.176606318022123,21.78785005710308,40.01134056504561,44.52418607865208,38.940567341520165,2.7647981752287984,34.44527085120586,43.02738204410934,18.634364782902622,-2.6442417437705337,6.577659661826435,-7.076296271685198,13.801356497022148,37.727562502915234,7.387419106770501,17.37381129041487,-10.889414357729446,32.35172127387702
16,48.50244672168428,32.41450047848744,5.623595272661569,23.64679800053825,44.21117584347434,45.82248878090121,39.34895259061612,2.4680843736890195,35.06441046966995,43.18143528092989,22.789016806344307,3.392952647144931,9.675839644123892,-6.284455105355504,20.24859328949864,41.65379046210132,16.055255981413747,17.201816765644917,-9.531813862685016,33.935284936615666
17,48.50244672168428,32.15278651128535,6.769332665042271,18.38909679531236,42.74702906583476,45.82248878090121,39.35256829748953,2.9888632093782648,33.7772413311535,43.41879821451271,33.67321504121635,6.828020335434072,9.810598295198512,-6.6632150599545135,21.88205725912149,46.05273807250833,22.33858370078024,15.57894516809206,-10.588229579983834,39.75745497998976
18,48.50244672168428,30.64349574937957,8.037764214611244,16.27374058069534,42.77961947756541,45.82248878090121,39.32027482086173,3.0982948628468816,34.765798990508245,44.40720813473436,33.67321504121635,9.999244121985164,9.235807172017465,-4.559700469394906,22.789016806344307,46.05273807250833,27.05056995645008,12.78557213601242,-2.096197046564004,41.65379046210132
19,48.50244672168428,33.0192215039293,7.444244647234023,22.568912104130565,47.141461168131954,49.44515726697006,39.84071526076952,3.2183265055187333,34.629685577943214,44.58881512342697,33.67321504121635,14.040129332468291,9.313869290846268,-0.3833141738386495,32.18382402687738,46.05273807250833,32.075597404554685,9.14064720354114,21.265720628703978,45.151762619975976
20,48.50244672168428,33.33631311937393,7.305450510914293,20.56745986324381,48.50244672168428,49.44515726697006,39.61914978624789,3.5320970685795503,34.33886394045247,44.29161470174184,34.51995195658726,20.160531913596007,7.673482388204714,13.801356497022148,33.76686925549617,46.49572206244914,35.98711344083772,5.646669400839693,29.2374574008327,46.05273807250833
21,48.50244672168428,32.86600282531132,7.379311388811346,22.36105805718281,48.50244672168428,49.44515726697006,39.3020773594546,3.633065997384384,33.31149990946436,44.28455906589057,35.08643645526979,25.552114611151914,6.758719734034851,13.801356497022148,34.20713352803276,46.49572206244914,38.967548756376935,5.777475610142193,29.505057584938616,46.05273807250833
22,48.50244672168428,31.72465704264036,6.856029204283614,19.633758832090027,46.707041493401576,45.95129485840442,39.41117473596376,3.222118742415712,34.479113410078114,44.61664857373133,35.52297631985256,30.19745103602422,4.728724794424553,20.77355114584917,35.40842594205401,49.01421821280227,41.76854787417154,4.85835703794319,31.78351356017875,46.05273807250833
23,50.17108953866574,31.58848555890657,7.772453429252862,17.184093799903867,48.50244672168428,45.95129485840442,38.993383013701006,3.221090781914352,34.6238818482131,44.61664857373133,41.18748465443636,32.52245931886836,3.894809933712804,26.39980665258829,37.899017770911584,49.01421821280227,42.9951931318807,3.411076259826479,37.317832440921954,46.610531886355545
24,50.17108953866574,28.40090962737625,10.608036093520862,10.887554352132852,49.42020027102408,45.95129485840442,37.83783482027607,4.702898576582516,32.49054356383831,44.61664857373133,41.18748465443636,32.45074240521392,5.618784771432445,27.5957502225554,39.37081054045638,47.36755122544614,42.88812768030499,3.968978706004816,38.02975676323376,46.1510648533935
25,50.17108953866574,30.36156568799297,9.358164705575298,16.310538943485557,50.17108953866574,45.95129485840442,37.61741281476203,4.116124654740852,31.708714823752544,43.91309512696022,41.18748465443636,34.23810927189953,3.4718134050610234,29.012921097708205,41.18748465443636,49.59425087374544,43.28082915160094,2.9491288340562294,36.991893237594205,46.87367456604552
26,50.8099589294238,33.94753360257564,8.377659118020054,22.78849446478589,50.17108953866574,44.5011323789075,38.0969234654334,3.777219340765533,31.75010599818959,43.440596915097046,41.18748465443636,33.18560450893406,5.122865268459322,23.273286172271387,41.18748465443636,49.59425087374544,43.42952652016276,4.114135195265357,35.367907149133416,47.459912846275735
27,50.8099589294238,34.56089174425892,8.256358754108058,22.309935567664123,50.3996661853577,47.83727492151024,39.20288285728608,3.574820587119637,34.308996054656426,44.47416273401108,41.204486097116025,35.43024995155178,4.175458902819956,28.07812154141461,41.18748465443636,50.50101374595349,44.16101691769628,3.2754718790726813,40.88105061716092,48.80419581234194
28,50.8099589294238,32.130681999502215,11.937220019209583,12.444345361257268,50.70948495996701,46.677393909534544,37.46219455638146,5.272317116056915,29.73359524092432,44.34150966596241,41.204486097116025,35.08336477782843,5.176680278364279,24.61762709716027,41.19124940082352,50.50101374595349,42.49203723104365,4.546749888244212,32.42208662054167,48.80419581234194
29,50.8099589294238,36.33292473234167,8.503388353506411,21.722141925662527,50.8099589294238,46.677393909534544,39.58489577541823,3.1543164842602534,34.63809306227253,44.47153735664351,41.204486097116025,33.64327530230776,5.417509719797805,24.976254272551785,41.19927816962082,50.50101374595349,42.54744524627809,5.20949471590048,29.077329765828843,49.26483225557
30,50.8099589294238,36.840998375608656,7.132923926548741,27.311535002664584,50.8099589294238,50.50101374595349,41.478807976221006,3.745204714492072,35.33114390448935,48.57019509764037,20.683617524759235,-4.136999328998644,5.447937227733443,-6.535971936695436,4.69300610514363,39.94001704942462,5.430374094335067,17.016401543272337,-10.200894782244308,36.54716009490776
31,50.8099589294238,35.637809859997944,8.612039625692772,21.11505800314364,50.8099589294238,50.50101374595349,40.56633247091253,4.775588256743622,34.17604146129776,48.57019509764037,24.855269342116905,-0.8711179104685637,7.825421585948815,-6.012849117338764,16.419036977950707,41.6437807118069,14.359570852326664,16.99631936623911,-6.651296621337744,39.914088033549625
32,50.8099589294238,35.432449589137875,8.054461514034891,23.8442079914811,50.8099589294238,50.50101374595349,40.60925329440877,4.333095672003949,32.43160195523592,46.56098604815421,24.855269342116905,1.5419545642582475,9.582804262922709,-6.543411878831703,21.629302576296176,42.33711094445247,19.1666763364766,16.425653410996375,-7.226045910977782,41.6437807118069
33,50.8099589294238,35.83180875914386,8.391578876650984,23.05291229765647,50.8099589294238,46.88135124378943,40.02683856506809,3.763130358092031,33.800872593927856,45.74456077093877,24.855269342116905,5.901193502164486,9.874586798082971,-5.922709363034134,24.855269342116905,44.56137337705121,27.112308091314823,13.529137498178658,-3.819420264864343,41.6437807118069
34,50.8099589294238,34.880274620230544,9.27106063670678,22.423347228594164,50.8099589294238,46.88135124378943,40.05223916114343,3.645970829268594,34.289881358129975,46.45082674149692,31.131918242485806,10.333478806869945,10.61625341471018,-3.706564096704232,26.642676484667025,45.88079075772948,32.35063269131957,9.381373353398764,17.42760988613805,43.948530569825536
